专爱	zhuanai,za
专案	zhuanan,za
专案经理	zhuananjingli,zajl
专案小组	zhuananxiaozu,zaxz
专案组	zhuananzu,zaz
专八	zhuanba,zb
专版	zhuanban,zb
专逼	zhuanbi,zb
专比	zhuanbi,zb
专必	zhuanbi,zb
专愎	zhuanbi,zb
专兵	zhuanbing,zb
专柄	zhuanbing,zb
专才	zhuancai,zc
专策	zhuance,zc
专差	zhuanchai,zc
专常	zhuanchang,zc
专场	zhuanchang,zc
专朝	zhuanchao,zc
专车	zhuanche,zc
专臣	zhuanchen,zc
专诚	zhuancheng,zc
专城	zhuancheng,zc
专城伯	zhuanchengbo,zcb
专程	zhuancheng,zc
专宠	zhuanchong,zc
专祠	zhuanci,zc
专辞	zhuanci,zc
专达	zhuanda,zd
专道	zhuandao,zd
专地	zhuandi,zd
专递	zhuandi,zd
专电	zhuandian,zd
专独	zhuandu,zd
专断	zhuanduan,zd
专对	zhuandui,zd
专房	zhuanfang,zf
专访	zhuanfang,zf
专封	zhuanfeng,zf
专肤	zhuanfu,zf
专稿	zhuangao,zg
专功	zhuangong,zg
专攻	zhuangong,zg
专供	zhuangong,zg
专固	zhuangu,zg
专管	zhuanguan,zg
专柜	zhuangui,zg
专贵	zhuangui,zg
专国	zhuanguo,zg
专悍	zhuanhan,zh
专号	zhuanhao,zh
专狠	zhuanhen,zh
专横	zhuanheng,zh
专横跋扈	zhuanhengbahu,zhbh
专横地	zhuanhengde,zhd
专机	zhuanji,zj
专集	zhuanji,zj
专辑	zhuanji,zj
专己	zhuanji,zj
专家	zhuanjia,zj
专家评价	zhuanjiaping,zjp
专家评论	zhuanjiapinglun,zjpl
专家系统	zhuanjiaxitong,zjxt
专僭	zhuanjian,zj
专节	zhuanjie,zj
专谨	zhuanjin,zj
专经	zhuanjing,zj
专精	zhuanjing,zj
专精覃思	zhuanjingtansi,zjts
专敬	zhuanjing,zj
专静	zhuanjing,zj
专居	zhuanju,zj
专据	zhuanju,zj
专决	zhuanjue,zj
专君	zhuanjun,zj
专刊	zhuankan,zk
专科	zhuanke,zk
专科辞典	zhuankecidian,zkcd
专科生	zhuankesheng,zks
专科学校	zhuankexuexiao,zkxx
专科院校	zhuankeyuanxiao,zkyx
专控	zhuankong,zk
专款	zhuankuan,zk
专阃	zhuankun,zk
专栏	zhuanlan,zl
专栏作家	zhuanlanzuojia,zlzj
专力	zhuanli,zl
专厉	zhuanli,zl
专吏	zhuanli,zl
专利	zhuanli,zl
专利法	zhuanlifa,zlf
专利局	zhuanliju,zlj
专利权	zhuanliquan,zlq
专利药品	zhuanliyaopin,zlyp
专列	zhuanlie,zl
专陋	zhuanlou,zl
专鲁	zhuanlu,zl
专戮	zhuanlu,zl
专録	zhuanlu,zl
专乱	zhuanluan,zl
专论	zhuanlun,zl
专卖	zhuanmai,zm
专卖店	zhuanmaidian,zmd
专美	zhuanmei,zm
专美于前	zhuanmeiyuqian,zmyq
专门	zhuanmen,zm
专门地	zhuanmende,zmd
专门化	zhuanmenhua,zmh
专门机构	zhuanmenjigou,zmjg
专门家	zhuanmenjia,zmj
专门利人	zhuanmenliren,zmlr
专门列车	zhuanmenlieche,zmlc
专门名家	zhuanmenmingjia,zmmj
专门人民法院	zhuanmenrenminfayuan,zmrmfy
专门人民检察院	zhuanmenrenminjianchayuan,zmrmjcy
专门人员	zhuanmenrenyuan,zmry
专门性地	zhuanmenxingde,zmxd
专门学校	zhuanmenxuexiao,zmxx
专蒙	zhuanmeng,zm
专名	zhuanming,zm
专名词	zhuanmingci,zmc
专名号	zhuanminghao,zmh
专命	zhuanming,zm
专佞	zhuanning,zn
专弄	zhuannong,zn
专平	zhuanping,zp
专气	zhuanqi,zq
专气致柔	zhuanqizhirou,zqzr
专切	zhuanqie,zq
专区	zhuanqu,zq
专权	zhuanquan,zq
专悫	zhuanque,zq
专人	zhuanren,zr
专任	zhuanren,zr
专杀	zhuansha,zs
专擅	zhuanshan,zs
专赦	zhuanshe,zs
专神	zhuanshen,zs
专生	zhuansheng,zs
专史	zhuanshi,zs
专使	zhuanshi,zs
专事	zhuanshi,zs
专势	zhuanshi,zs
专室	zhuanshi,zs
专授	zhuanshou,zs
专书	zhuanshu,zs
专属	zhuanshu,zs
专属经济区	zhuanshujingjiqu,zsjjq
专属渔区	zhuanshuyuqu,zsyq
专署	zhuanshu,zs
专司	zhuansi,zs
专肆	zhuansi,zs
专题	zhuanti,zt
专题报导	zhuantibaodao,ztbd
专题地图	zhuantiditu,ztdt
专题片	zhuantipian,ztp
专条	zhuantiao,zt
专威	zhuanwei,zw
专屋	zhuanwu,zw
专务	zhuanwu,zw
专习	zhuanxi,zx
专席	zhuanxi,zx
专线	zhuanxian,zx
专项	zhuanxiang,zx
专心	zhuanxin,zx
专心地	zhuanxinde,zxd
专心一意	zhuanxinyi,zxy
专心一志	zhuanxinyizhi,zxyz
专心一致	zhuanxinyizhi,zxyz
专心致志	zhuanxinzhi,zxz
专心致志地	zhuanxinzhide,zxzd
专信	zhuanxin,zx
专刑	zhuanxing,zx
专行	zhuanxing,zx
专修	zhuanxiu,zx
专修科	zhuanxiuke,zxk
专许	zhuanxu,zx
专勋	zhuanxun,zx
专业	zhuanye,zy
专业村	zhuanyecun,zyc
专业地	zhuanyede,zyd
专业户	zhuanyehu,zyh
专业化	zhuanyehua,zyh
专业教育	zhuanyejiaoyu,zyjy
专业课	zhuanyeke,zyk
专业人才	zhuanyerencai,zyrc
专业人士	zhuanyerenshi,zyrs
专业性	zhuanyexing,zyx
专业银行	zhuanyeyinhang,zyyh
专页	zhuanye,zy
专夜	zhuanye,zy
专一	zhuanyi,zy
专壹	zhuanyi,zy
专意	zhuanyi,zy
专营	zhuanying,zy
专营店	zhuanyingdian,zyd
专颙	zhuanyong,zy
专用	zhuanyong,zy
专用集成电路	zhuanyongjichengdianlu,zyjcdl
专用网路	zhuanyongwanglu,zywl
专有	zhuanyou,zy
专有地	zhuanyoude,zyd
专有名词	zhuanyoumingci,zymc
专愚	zhuanyu,zy
专欲难成	zhuanyunancheng,zync
专员	zhuanyuan,zy
专员公署	zhuanyuangongshu,zygs
专责	zhuanze,zz
专长	zhuanchang,zc
专掌	zhuanzhang,zz
专折	zhuanshe,zs
专辄	zhuanzhe,zz
专征	zhuanzheng,zz
专政	zhuanzheng,zz
专知	zhuanzhi,zz
专执	zhuanzhi,zz
专直	zhuanzhi,zz
专职	zhuanzhi,zz
专指	zhuanzhi,zz
专至	zhuanzhi,zz
专志	zhuanzhi,zz
专制	zhuanzhi,zz
专制地	zhuanzhide,zzd
专制君主制	zhuanzhijunzhu,zzjz
专制主义	zhuanzhizhuyi,zzzy
专治	zhuanzhi,zz
专州	zhuanzhou,zz
专诛	zhuanzhu,zz
专诸	zhuanzhu,zz
专主	zhuanzhu,zz
专注	zhuanzhu,zz
专注地	zhuanzhude,zzd
专著	zhuanzhu,zz
专专	zhuan,z
专恣	zhuanzi,zz
专综	zhuanzong,zz
专总	zhuanzong,zz
专足	zhuanzu,zz
专座	zhuanzuo,zz
