丽寳	libao,lb
丽璧	libi,lb
丽兵	libing,lb
丽采	licai,lc
丽彩	licai,lc
丽藏	licang,lc
丽草	licao,lc
丽册	lice,lc
丽唱	lichang,lc
丽朝	lichao,lc
丽池卡登	lichikadeng,lckd
丽侈	lichi,lc
丽川	lichuan,lc
丽春	lichun,lc
丽春草	lichuncao,lcc
丽春园	lichunyuan,lcy
丽春院	lichunyuan,lcy
丽词	lici,lc
丽辞	lici,lc
丽妲	lida,ld
丽典	lidian,ld
丽都	lidu,ld
丽娥	lie,le
丽蕚	lie,le
丽尔	lier,le
丽法	lifa,lf
丽芳	lifang,lf
丽妃	lifei,lf
丽风	lifeng,lf
丽服	lifu,lf
丽富	lifu,lf
丽格	lige,lg
丽古	ligu,lg
丽观	liguan,lg
丽馆	liguan,lg
丽光	liguang,lg
丽圭襂	liguishan,lgs
丽龟	ligui,lg
丽轨	ligui,lg
丽汉	lihan,lh
丽好	lihao,lh
丽华	lihua,lh
丽黄	lihuang,lh
丽祸	lihuo,lh
丽姬	liji,lj
丽级	liji,lj
丽迹	liji,lj
丽佳	lijia,lj
丽佳娜	lijiana,ljn
丽箭	lijian,lj
丽江	lijiang,lj
丽江地区	lijiangdiqu,ljdq
丽江古城	lijianggucheng,ljgc
丽江纳西族自治县	lijiangnaxizuzizhixian,ljnxzzzx
丽江市	lijiangshi,ljs
丽锦	lijin,lj
丽精	lijing,lj
丽景	lijing,lj
丽句	liju,lj
丽句清词	lijuqingci,ljqc
丽句清辞	lijuqingci,ljqc
丽娟	lijuan,lj
丽康	likang,lk
丽空	likong,lk
丽口	likou,lk
丽丽	li,l
丽廔	lilou,ll
丽美	limei,lm
丽靡	limi,lm
丽密	limi,lm
丽妙	limiao,lm
丽名	liming,lm
丽明	liming,lm
丽木	limu,lm
丽目	limu,lm
丽女	linu,ln
丽偶	liou,lo
丽葩	lipa,lp
丽魄	lipo,lp
丽崎	liqi,lq
丽气	liqi,lq
丽谯	liqiao,lq
丽樵	liqiao,lq
丽巧	liqiao,lq
丽妾	liqie,lq
丽情	liqing,lq
丽曲	liqu,lq
丽人	liren,lr
丽人天	lirentian,lrt
丽日	liri,lr
丽容	lirong,lr
丽柔	lirou,lr
丽缛	liru,lr
丽蕊	lirui,lr
丽蘂	lirui,lr
丽色	lise,ls
丽色奇鹛	liseqimei,lsqm
丽色艳妆	liseyanzhuang,lsyz
丽色噪鹛	lisezaomei,lszm
丽刹	lisha,ls
丽山	lishan,ls
丽什	lishi,ls
丽神	lishen,ls
丽牲	lisheng,ls
丽牲之石	lishengzhishi,lszs
丽䴓	lishi,ls
丽实	lishi,ls
丽食	lishi,ls
丽史	lishi,ls
丽事	lishi,ls
丽饰	lishi,ls
丽室	lishi,ls
丽姝	lishu,ls
丽属	lishu,ls
丽水	lishui,ls
丽水地区	lishuidiqu,lsdq
丽水市	lishuishi,lss
丽硕	lishuo,ls
丽思	lisi,ls
丽天	litian,lt
丽徒	litu,lt
丽土	litu,lt
丽文	liwen,lw
丽舞	liwu,lw
丽物	liwu,lw
丽席	lixi,lx
丽黠	lixia,lx
丽限	lixian,lx
丽响	lixiang,lx
丽想	lixiang,lx
丽象	lixiang,lx
丽霄	lixiao,lx
丽星鹩鹛	lixingliaomei,lxlm
丽星噪鹛	lixingzaomei,lxzm
丽刑	lixing,lx
丽形	lixing,lx
丽玄	lixuan,lx
丽雅	liya,ly
丽颜	liyan,ly
丽养	liyang,ly
丽冶	liye,ly
丽亿	liyi,ly
丽逸	liyi,ly
丽淫	liyin,ly
丽影	liying,ly
丽邮	liyou,ly
丽友	liyou,ly
丽宇	liyu,ly
丽语	liyu,ly
丽玉	liyu,ly
丽月	liyue,ly
丽藻	lizao,lz
丽藻春葩	lizaochunpa,lzcp
丽则	lize,lz
丽泽	lize,lz
丽章	lizhang,lz
丽着	lizhe,lz
丽整	lizheng,lz
丽正	lizheng,lz
丽正门	lizhengmen,lzm
丽正书院	lizhengshuyuan,lzsy
丽正修书院	lizhengxiushuyuan,lzxsy
丽质	lizhi,lz
丽致	lizhi,lz
丽瞩	lizhu,lz
丽状	lizhuang,lz
丽姿	lizi,lz
丽紫	lizi,lz
丽组	lizu,lz
丽罪	lizui,lz
