九阿	jiua,ja
九奥	jiuao,ja
九隩	jiuyu,jy
九巴	jiuba,jb
九白之贡	jiubaizhigong,jbzg
九百	jiubai,jb
九拜	jiubai,jb
九班	jiuban,jb
九般	jiuban,jb
九斑虬	jiubanqiu,jbq
九苞	jiubao,jb
九苞奴	jiubaonu,jbn
九苞禽	jiubaoqin,jbq
九宝	jiubao,jb
九背向	jiubeixiang,jbx
九倍地	jiubeide,jbd
九本	jiuben,jb
九壁	jiubi,jb
九边	jiubian,jb
九边形	jiubianxing,jbx
九变	jiubian,jb
九变十化	jiubianshihua,jbsh
九辩	jiubian,jb
九宾	jiubin,jb
九傧	jiubin,jb
九滨	jiubin,jb
九冰	jiubing,jb
九伯	jiubo,jb
九伯风魔	jiubofengmo,jbfm
九部	jiubu,jb
九部乐	jiubule,jbl
九参	jiucan,jc
九参官	jiucanguan,jcg
九苍	jiucang,jc
九藏	jiucang,jc
九草	jiucao,jc
九层	jiuceng,jc
九层塔	jiucengta,jct
九阊	jiuchang,jc
九宸	jiuchen,jc
九成	jiucheng,jc
九成宫	jiuchenggong,jcg
九成宫碑	jiuchenggongbei,jcgb
九成宫醴泉铭	jiuchenggongliquanming,jcglqm
九成台	jiuchengtai,jct
九城	jiucheng,jc
九城陌	jiuchengmo,jcm
九齿钉耙	jiuchidingpa,jcdp
九虫	jiuchong,jc
九畴	jiuchou,jc
九愁	jiuchou,jc
九丑	jiuchou,jc
九川	jiuchuan,jc
九陲	jiuchui,jc
九春	jiuchun,jc
九摧	jiucui,jc
九达	jiuda,jd
九大	jiuda,jd
九大经	jiudajing,jdj
九大行星	jiudaxing,jdx
九代	jiudai,jd
九带	jiudai,jd
九丹	jiudan,jd
九道	jiudao,jd
九德	jiude,jd
九地	jiudi,jd
九等	jiudeng,jd
九等人表	jiudengrenbiao,jdrb
九典	jiudian,jd
九点烟	jiudianyan,jdy
九点圆	jiudianyuan,jdy
九叠篆	jiudiezhuan,jdz
九鼎	jiuding,jd
九鼎不足为重	jiudingbuzuweizhong,jdbzwz
九鼎大吕	jiudingdalu,jddl
九鼎一丝	jiudingyisi,jdys
九鼎鱼	jiudingyu,jdy
九饤盘	jiudingpan,jdp
九冬	jiudong,jd
九酘	jiudou,jd
九厄	jiue,je
九二	jiuer,je
九二共识	jiuergongshi,jegs
九伐	jiufa,jf
九法	jiufa,jf
九灋	jiufa,jf
九饭	jiufan,jf
九方	jiufang,jf
九方皋	jiufanggao,jfg
九方堙	jiufangyin,jfy
九房	jiufang,jf
九飞	jiufei,jf
九妃	jiufei,jf
九沸	jiufei,jf
九分之一	jiufenzhiyi,jfzy
九份	jiufen,jf
九风	jiufeng,jf
九峰	jiufeng,jf
九凤	jiufeng,jf
九夫	jiufu,jf
九拂	jiufu,jf
九服	jiufu,jf
九符	jiufu,jf
九府	jiufu,jf
九复	jiufu,jf
九赋	jiufu,jf
九腹	jiufu,jf
九陔	jiugai,jg
九垓	jiugai,jg
九垓八埏	jiugaibayan,jgby
九畡	jiugai,jg
九纲	jiugang,jg
九皋	jiugao,jg
九皋处士	jiugaochushi,jgcs
九皋禽	jiugaoqin,jgq
九皐	jiugao,jg
九歌	jiuge,jg
九工	jiugong,jg
九功	jiugong,jg
九功舞	jiugongwu,jgw
九攻	jiugong,jg
九宫	jiugong,jg
九宫格	jiugongge,jgg
九宫格数独	jiugonggeshudu,jggsd
九宫三命	jiugongsanming,jgsm
九宫山	jiugongshan,jgs
九宫山镇	jiugongshanzhen,jgsz
九宫十三调	jiugongshisandiao,jgssd
九宫真人	jiugongzhenren,jgzr
九共	jiugong,jg
九贡	jiugong,jg
九姑课	jiuguke,jgk
九谷	jiugu,jg
九股索	jiugusuo,jgs
九故十亲	jiugushiqin,jgsq
九雇	jiugu,jg
九寡	jiugua,jg
九关	jiuguan,jg
九关虎豹	jiuguanhubao,jghb
九官	jiuguan,jg
九官鸟	jiuguanniao,jgn
九馆仙	jiuguanxian,jgx
九光	jiuguang,jg
九光履	jiuguanglu,jgl
九光杏	jiuguangxing,jgx
九归	jiugui,jg
九规	jiugui,jg
九闺	jiugui,jg
九轨	jiugui,jg
九过	jiuguo,jg
九还	jiuhai,jh
九还丹	jiuhuandan,jhd
九还药	jiuhaiyao,jhy
九貉	jiumo,jm
九号球	jiuhaoqiu,jhq
九合	jiuhe,jh
九合一匡	jiuheyikuang,jhyk
九和	jiuhe,jh
九河	jiuhe,jh
九阂	jiuhe,jh
九纮	jiuhong,jh
九闳	jiuhong,jh
九鸿	jiuhong,jh
九侯	jiuhou,jh
九虎	jiuhu,jh
九户	jiuhu,jh
九扈	jiuhu,jh
九鳸	jiuhu,jh
九花	jiuhua,jh
九花虬	jiuhuaqiu,jhq
九花树	jiuhuashu,jhs
九华	jiuhua,jh
九华殿	jiuhuadian,jhd
九华菊	jiuhuaju,jhj
九华门	jiuhuamen,jhm
九华山	jiuhuashan,jhs
九华扇	jiuhuashan,jhs
九华英	jiuhuaying,jhy
九华玉	jiuhuayu,jhy
九华云	jiuhuayun,jhy
九华帐	jiuhuazhang,jhz
九环带	jiuhuandai,jhd
九寰	jiuhuan,jh
九荒	jiuhuang,jh
九皇	jiuhuang,jh
九回	jiuhui,jh
九回肠	jiuhuichang,jhc
九回肠断	jiuhuichangduan,jhcd
九回曲	jiuhuiqu,jhq
九会	jiuhui,jh
九浍	jiuhui,jh
九惠	jiuhui,jh
九阍	jiuhun,jh
九阍虎豹	jiuhunhubao,jhhb
