争霸	zhengba,zb
争辨	zhengbian,zb
争辩	zhengbian,zb
争标	zhengbiao,zb
争伯	zhengbo,zb
争不	zhengbu,zb
争差	zhengcha,zc
争朝夕	zhengzhaoxi,zzx
争吵	zhengchao,zc
争臣	zhengchen,zc
争驰	zhengchi,zc
争持	zhengchi,zc
争宠	zhengchong,zc
争筹	zhengchou,zc
争春	zhengchun,zc
争道	zhengdao,zd
争得	zhengde,zd
争地	zhengdi,zd
争弟	zhengdi,zd
争点	zhengdian,zd
争斗	zhengdou,zd
争妬	zhengdu,zd
争端	zhengduan,zd
争短论长	zhengduanlunchang,zdlc
争多论少	zhengduolunshao,zdls
争夺	zhengduo,zd
争夺战	zhengduozhan,zdz
争敚	zhengduo,zd
争恶	zhenge,ze
争分夺秒	zhengfenduomiao,zfdm
争奋	zhengfen,zf
争风	zhengfeng,zf
争风吃醋	zhengfengchicu,zfcc
争锋	zhengfeng,zf
争锋吃醋	zhengfengchicu,zfcc
争赴	zhengfu,zf
争敢	zhenggan,zg
争功	zhenggong,zg
争构	zhenggou,zg
争购	zhenggou,zg
争光	zhengguang,zg
争国	zhengguo,zg
争衡	zhengheng,zh
争回	zhenghui,zh
争鸡失羊	zhengjishiyang,zjsy
争技	zhengji,zj
争谏	zhengjian,zj
争交	zhengjiao,zj
争教	zhengjiao,zj
争斤论两	zhengjinlunliang,zjll
争进	zhengjin,zj
争竞	zhengjing,zj
争抗	zhengkang,zk
争可	zhengke,zk
争肯	zhengken,zk
争口	zhengkou,zk
争口气	zhengkouqi,zkq
争理	zhengli,zl
争立	zhengli,zl
争利	zhengli,zl
争利于市	zhengliyushi,zlys
争脸	zhenglian,zl
争列	zhenglie,zl
争烈	zhenglie,zl
争流	zhengliu,zl
争鹿	zhenglu,zl
争路	zhenglu,zl
争论	zhenglun,zl
争论点	zhenglundian,zld
争猫丢牛	zhengmaodiuniu,zmdn
争门	zhengmen,zm
争盟	zhengmeng,zm
争面子	zhengmianzi,zmz
争名	zhengming,zm
争名夺利	zhengmingduoli,zmdl
争名竞利	zhengmingjingli,zmjl
争名于朝	zhengmingyuchao,zmyc
争鸣	zhengming,zm
争那	zhengna,zn
争奈	zhengnai,zn
争耐	zhengnai,zn
争譊	zhengnao,zn
争闹	zhengnao,zn
争能	zhengneng,zn
争年	zhengnian,zn
争辔	zhengpei,zp
争辟	zhengpi,zp
争奇	zhengqi,zq
争奇斗艳	zhengqidouyan,zqdy
争棊	zhengqi,zq
争棋	zhengqi,zq
争气	zhengqi,zq
争前恐后	zhengqiankonghou,zqkh
争钱	zhengqian,zq
争强	zhengqiang,zq
争强斗狠	zhengqiangdouhen,zqdh
争强斗胜	zhengqiangdousheng,zqds
争强好胜	zhengqianghaosheng,zqhs
争强显胜	zhengqiangxiansheng,zqxs
争抢	zhengqiang,zq
争勍	zhengqing,zq
争求	zhengqiu,zq
争球线	zhengqiuxian,zqx
争驱	zhengqu,zq
争取	zhengqu,zq
争取时间	zhengqushijian,zqsj
争趣	zhengqu,zq
争权	zhengquan,zq
争权夺利	zhengquanduoli,zqdl
争权攘利	zhengquanrangli,zqrl
争让	zhengrang,zr
争忍	zhengren,zr
争如	zhengru,zr
争桑	zhengsang,zs
争上游	zhengshangyou,zsy
争涉	zhengshe,zs
争胜	zhengsheng,zs
争守	zhengshou,zs
争说	zhengshuo,zs
争死	zhengsi,zs
争似	zhengsi,zs
争讼	zhengsong,zs
争诉	zhengsu,zs
争头	zhengtou,zt
争涂	zhengtu,zt
争途	zhengtu,zt
争湍	zhengtuan,zt
争骛	zhengwu,zw
争席	zhengxi,zx
争先	zhengxian,zx
争先恐后	zhengxiankonghou,zxkh
争闲气	zhengxianqi,zxq
争相	zhengxiang,zx
争向	zhengxiang,zx
争校	zhengxiao,zx
争些	zhengxie,zx
争些儿	zhengxieer,zxe
争些子	zhengxiezi,zxz
争心	zhengxin,zx
争雄	zhengxiong,zx
争悬	zhengxuan,zx
争妍	zhengyan,zy
争妍斗艳	zhengyandou,zyd
争言	zhengyan,zy
争艳	zhengyan,zy
争一口气	zhengyikouqi,zykq
争议	zhengyi,zy
争议性	zhengyixing,zyx
争引	zhengyin,zy
争瀯	zhengying,zy
争友	zhengyou,zy
争语	zhengyu,zy
争占	zhengzhan,zz
争战	zhengzhan,zz
争张	zhengzhang,zz
争长	zhengzhang,zz
争长竞短	zhengchangjingduan,zcjd
争长论短	zhengchanglunduan,zcld
争长相雄	zhengzhangxiangxiong,zzxx
争政	zheng,z
争知	zhengzhi,zz
争执	zhengzhi,zz
争执不下	zhengzhibuxia,zzbx
争职	zhengzhi,zz
争秩	zhengzhi,zz
争重	zhengzhong,zz
争逐	zhengzhu,zz
争子	zhengzi,zz
争嘴	zhengzui,zz
