互爱	huai,ha
互保	hubao,hb
互备	hubei,hb
互剥痛疮	hubotongchuang,hbtc
互补	hubu,hb
互不侵犯	hubuqinfan,hbqf
互不侵犯条约	hubuqinfantiaoyue,hbqfty
互不相欠	hubuxiangqian,hbxq
互不相让	hubuxiangrang,hbxr
互不相容	hubuxiangrong,hbxr
互操性	hucaoxing,hcx
互插	hucha,hc
互斥	huchi,hc
互出	huchu,hc
互词	huci,hc
互辞	huci,hc
互错	hucuo,hc
互代	hudai,hd
互导	hudao,hd
互动	hudong,hd
互动电视	hudongdianshi,hdds
互讹	hue,he
互反	hufan,hf
互访	hufang,hf
互粉	hufen,hf
互感	hugan,hg
互卦	hugua,hg
互跪	hugui,hg
互合	huhe,hh
互换	huhuan,hh
互惠	huhui,hh
互惠互利	huhuili,hhl
互济	huji,hj
互见	hujian,hj
互交	hujiao,hj
互讦	hujie,hj
互结	hujie,hj
互经	hujing,hj
互敬互爱	hujingai,hja
互郎	hulang,hl
互利	huli,hl
互连	hulian,hl
互联	hulian,hl
互联网	hulianwang,hlw
互联网络	hulianwangluo,hlwl
互联网站	hulianwangzhan,hlwz
互谅	huliang,hl
互谅互让	huliangrang,hlr
互勉	humian,hm
互名	huming,hm
互明	huming,hm
互派	hupai,hp
互歧	huqi,hq
互契	huqi,hq
互让	hurang,hr
互扔	hureng,hr
互丧	husang,hs
互扇	hushan,hs
互生	husheng,hs
互生叶	hushengye,hsy
互施恩惠	hushienhui,hseh
互市	hushi,hs
互市郎	hushilang,hsl
互市牙郎	hushiyalang,hsyl
互爽	hushuang,hs
互诉衷肠	husuzhongchang,hszc
互素	husu,hs
互体	huti,ht
互通	hutong,ht
互通性	hutongxing,htx
互通有无	hutongyouwu,htyw
互为	huwei,hw
互为表里	huweibiaoli,hwbl
互为因果	huweiyinguo,hwyg
互文	huwen,hw
互物	huwu,hw
互相	huxiang,hx
互相标榜	huxiangbiaobang,hxbb
互相扯皮	huxiangchepi,hxcp
互相地	huxiangde,hxd
互相监督	huxiangjiandu,hxjd
互相连接	huxianglianjie,hxlj
互相联系	huxianglianxi,hxlx
互相推诿	huxiangtuiwei,hxtw
互相依存	huxiangyicun,hxyc
互校	huxiao,hx
互信	huxin,hx
互训	huxun,hx
互言	huyan,hy
互异	huyi,hy
互译	huyi,hy
互易	huyi,hy
互用	huyong,hy
互折	hushe,hs
互证	huzheng,hz
互质	huzhi,hz
互助	huzhu,hz
互助地	huzhude,hzd
互助会	huzhuhui,hzh
互助社	huzhushe,hzs
互助土族自治县	huzhutuzuzizhixian,hztzzzx
互助县	huzhuxian,hzx
互助组	huzhuzu,hzz
互走	huzou,hz
