亿变	yibian,yb
亿测	yice,yc
亿昌	yichang,yc
亿逞	yicheng,yc
亿丑	yichou,yc
亿出	yichu,yc
亿代	yidai,yd
亿度	yidu,yd
亿福	yifu,yf
亿负	yifu,yf
亿垓	yigai,yg
亿恨	yihen,yh
亿计	yiji,yj
亿忌	yiji,yj
亿劫	yijie,yj
亿康	yikang,yk
亿类	yilei,yl
亿廪	yilin,yl
亿龄	yiling,yl
亿逆	yini,yn
亿年	yinian,yn
亿宁	yining,yn
亿品	yipin,yp
亿千	yiqian,yq
亿仞	yiren,yr
亿事	yishi,ys
亿庶	yishu,ys
亿祀	yisi,ys
亿探	yitan,yt
亿万	yiwan,yw
亿万富豪	yiwanfuhao,ywfh
亿万富翁	yiwanfuweng,ywfw
亿万斯年	yiwansinian,ywsn
亿辛万苦	yixinwanku,yxwk
亿姓	yixing,yx
亿亿	yi,y
亿盈	yiying,yy
亿庾	yiyu,yy
亿载	yizai,yz
亿丈	yizhang,yz
亿兆	yizhao,yz
亿兆一心	yizhaoxin,yzx
亿中	yizhong,yz
亿众	yizhong,yz
