价傧	jiabin,jb
价层	jiaceng,jc
价钞	jiachao,jc
价称	jiacheng,jc
价等连城	jiadengliancheng,jdlc
价电子	jiadianzi,jdz
价藩	jiafan,jf
价妇	jiafu,jf
价格	jiage,jg
价格标签	jiagebiaoqian,jgbq
价格表	jiagebiao,jgb
价购	jiagou,jg
价键	jiajian,jj
价款	jiakuan,jk
价例	jiali,jl
价廉物美	jialianwumei,jlwm
价码	jiama,jm
价末	jiamo,jm
价目	jiamu,jm
价目表	jiamubiao,jmb
价签	jiaqian,jq
价钱	jiaqian,jq
价人	jiaren,jr
价色	jiase,js
价位	jiawei,jw
价银	jiayin,jy
价原	jiayuan,jy
价增一顾	jiazengyigu,jzyg
价直	jiazhi,jz
价值	jiazhi,jz
价值标准	jiazhibiaozhun,jzbz
价值工程	jiazhigongcheng,jzgc
价值观	jiazhiguan,jzg
价值规律	jiazhiguilu,jzgl
价值连城	jiazhiliancheng,jzlc
价值量	jiazhiliang,jzl
价值增殖	jiazhizeng,jzz
