企迟	qichi,qc
企崇	qichong,qc
企逮	qidai,qd
企待	qidai,qd
企祷	qidao,qd
企鹅	qie,qe
企附	qifu,qf
企管	qiguan,qg
企管硕士	qiguanshuoshi,qgss
企户	qihu,qh
企划	qihua,qh
企怀	qihuai,qh
企及	qiji,qj
企冀	qiji,qj
企脚	qijiao,qj
企警	qijing,qj
企矩	qiju,qj
企立	qili,ql
企慕	qimu,qm
企拟	qini,qn
企盼	qipan,qp
企佩	qipei,qp
企求	qiqiu,qq
企事业	qishiye,qsy
企竦	qisong,qs
企投	qitou,qt
企图	qitu,qt
企图心	qituxin,qtx
企望	qiwang,qw
企羡	qixian,qx
企想	qixiang,qx
企向	qixiang,qx
企效	qixiao,qx
企仰	qiyang,qy
企业	qiye,qy
企业管理	qiyeguanli,qygl
企业管理硕士	qiyeguanlishuoshi,qyglss
企业化	qiyehua,qyh
企业集团	qiyejituan,qyjt
企业家	qiyejia,qyj
企业间网路	qiyejianwanglu,qyjwl
企业界	qiyejie,qyj
企业经营权	qiyejingyingquan,qyjyq
企业联合组织	qiyelianhezuzhi,qylhzz
企业内网路	qiyeneiwanglu,qynwl
企业社会责任	qiyeshehuizeren,qyshzr
企业形象	qiyexingxiang,qyxx
企业主	qiyezhu,qyz
企咏	qiyong,qy
企予	qiyu,qy
企喻	qiyu,qy
企喻歌	qiyuge,qyg
企瞻	qizhan,qz
企至	qizhi,qz
企踵	qizhong,qz
企踵可待	qizhongkedai,qzkd
企伫	qizhu,qz
企足	qizu,qz
企足而待	qizuerdai,qzed
