伪薄	weibao,wb
伪本	weiben,wb
伪币	weibi,wb
伪蔽	weibi,wb
伪辩	weibian,wb
伪蚕	weican,wc
伪钞	weichao,wc
伪朝	weichao,wc
伪臣	weichen,wc
伪称	weicheng,wc
伪传	weichuan,wc
伪辞	weici,wc
伪从	weicong,wc
伪代码	weidaima,wdm
伪怠	weidai,wd
伪党	weidang,wd
伪道	weidao,wd
伪顶	weiding,wd
伪定	weiding,wd
伪端	weiduan,wd
伪方	weifang,wf
伪凤	weifeng,wf
伪夫	weifu,wf
伪服	weifu,wf
伪国	weiguo,wg
伪化	weihua,wh
伪惑	weihuo,wh
伪基百科	weijibaike,wjbk
伪迹	weiji,wj
伪金钱	weijinqian,wjq
伪经	weijing,wj
伪荆卿	weijingqing,wjq
伪局	weiju,wj
伪军	weijun,wj
伪君子	weijunzi,wjz
伪科学	weikexue,wkx
伪客	weike,wk
伪孔	weikong,wk
伪孔传	weikongchuan,wkc
伪戾	weili,wl
伪廉	weilian,wl
伪劣	weilie,wl
伪论	weilun,wl
伪满	weiman,wm
伪冒	weimao,wm
伪貌	weimao,wm
伪民	weimin,wm
伪名	weiming,wm
伪命	weiming,wm
伪命题	weimingti,wmt
伪谬	weimiu,wm
伪缪	weimiu,wm
伪钱	weiqian,wq
伪巧	weiqiao,wq
伪情	weiqing,wq
伪让	weirang,wr
伪人	weiren,wr
伪善	weishan,ws
伪善地	weishande,wsd
伪善者	weishanzhe,wsz
伪师	weishi,ws
伪史	weishi,ws
伪饰	weishi,ws
伪书	weishu,ws
伪说	weishuo,ws
伪俗	weisu,ws
伪笋	weisun,ws
伪态	weitai,wt
伪体	weiti,wt
伪廷	weiting,wt
伪庭	weiting,wt
伪偷	weitou,wt
伪涂	weitu,wt
伪讬	weituo,wt
伪托	weituo,wt
伪妄	weiwang,ww
伪物	weiwu,ww
伪心	weixin,wx
伪行	weixing,wx
伪学	weixue,wx
伪言	weiyan,wy
伪阳性	weiyangxing,wyx
伪议	weiyi,wy
伪易	weiyi,wy
伪意	weiyi,wy
伪阴性	weiyinxing,wyx
伪造	weizao,wz
伪造地	weizaode,wzd
伪造品	weizaopin,wzp
伪造者	weizaozhe,wzz
伪诈	weizha,wz
伪真	weizhen,wz
伪证	weizheng,wz
伪政权	weizhengquan,wzq
伪撰	weizhuan,wz
伪装	weizhuang,wz
伪字	weizi,wz
伪作	weizuo,wz
