傻白	shabai,sb
傻白甜	shabaitian,sbt
傻屄	shabi,sb
傻逼	shabi,sb
傻不楞登	shabulengdeng,sbld
傻不愣登	shabulengdeng,sbld
傻叉	shacha,sc
傻大个	shadage,sdg
傻大个儿	shadageer,sdge
傻大黑粗	shadaheicu,sdhc
傻大头	shadatou,sdt
傻呆呆地	shadaide,sdd
傻蛋	shadan,sd
傻地	shade,sd
傻登登	shadeng,sd
傻敦敦	shadun,sd
傻儿凹	shaerao,sea
傻瓜	shagua,sg
傻瓜蛋	shaguadan,sgd
傻瓜相机	shaguaxiangji,sgxj
傻汉	shahan,sh
傻呵呵	shahe,sh
傻呵呵地	shahede,shd
傻喝喝	shahe,sh
傻乎乎	shahu,sh
傻呼呼	shahu,sh
傻虎虎	shahu,sh
傻话	shahua,sh
傻角	shajiao,sj
傻劲	shajin,sj
傻劲儿	shajiner,sje
傻乐	shale,sl
傻楞楞	shaleng,sl
傻愣愣	shaleng,sl
傻里八机	shalibaji,slbj
傻里巴机	shalibaji,slbj
傻里傻气	shaliqi,slq
傻冒	shamao,sm
傻冒儿	shamaoer,sme
傻帽	shamao,sm
傻帽儿	shamaoer,sme
傻眉楞眼	shameilengyan,smly
傻气	shaqi,sq
傻人	sharen,sr
傻人有傻福	sharenyoufu,sryf
傻傻地	shade,sd
傻傻忽忽	shahu,sh
傻头傻脑	shatounao,stn
傻相	shaxiang,sx
傻小子	shaxiaozi,sxz
傻笑	shaxiao,sx
傻笑地	shaxiaode,sxd
傻心眼	shaxinyan,sxy
傻眼	shayan,sy
傻子	shazi,sz
