具案	juan,ja
具白	jubai,jb
具保	jubao,jb
具报	jubao,jb
具备	jubei,jb
具草	jucao,jc
具臣	juchen,jc
具陈	juchen,jc
具呈	jucheng,jc
具茨	juci,jc
具存	jucun,jc
具带	judai,jd
具道	judao,jd
具尔	juer,je
具耳	juer,je
具发	jufa,jf
具伏	jufu,jf
具服	jufu,jf
具告	jugao,jg
具格	juge,jg
具供	jugong,jg
具官	juguan,jg
具剑	jujian,jj
具结	jujie,jj
具戒	jujie,jj
具具	ju,j
具君	jujun,jj
具考	jukao,jk
具乐	jule,jl
具礼	juli,jl
具理	juli,jl
具理解地	julijiede,jljd
具僚	juliao,jl
具寮	juliao,jl
具列	julie,jl
具领	juling,jl
具论	julun,jl
具美	jumei,jm
具名	juming,jm
具明	juming,jm
具圃	jupu,jp
具器食	juqishi,jqs
具庆	juqing,jq
具庆下	juqingxia,jqx
具区	juqu,jq
具全	juquan,jq
具然	juran,jr
具人	juren,jr
具设	jushe,js
具食与乐	jushiyule,jsyl
具疏	jushu,js
具述	jushu,js
具数	jushu,js
具题	juti,jt
具体	juti,jt
具体到	jutidao,jtd
具体地	jutide,jtd
具体地说	jutideshuo,jtds
具体而微	jutierwei,jtew
具体化	jutihua,jth
具体计划	jutijihua,jtjh
具体劳动	jutilaodong,jtld
具体说明	jutishuoming,jtsm
具体问题	jutiwen,jtw
具位	juwei,jw
具文	juwen,jw
具闻	juwen,jw
具物	juwu,jw
具悉	juxi,jx
具衔	juxian,jx
具详	juxiang,jx
具象	juxiang,jx
具修	juxiu,jx
具叙	juxu,jx
具言	juyan,jy
具眼	juyan,jy
具有	juyou,jy
具有主权	juyouzhuquan,jyzq
具囿	juyou,jy
具狱	juyu,jy
具在	juzai,jz
具载	juzai,jz
具造	juzao,jz
具瞻	juzhan,jz
具折	jushe,js
具装	juzhuang,jz
具自陈道	juzhichengdao,jzcd
具奏	juzou,jz
具足	juzu,jz
具足戒	juzujie,jzj
具罪	juzui,jz
