冠斑犀鸟	guanbanxiniao,gbxn
冠弁	guanbian,gb
冠部	guanbu,gb
冠蝉	guanchan,gc
冠场	guanchang,gc
冠词	guanci,gc
冠辞	guanci,gc
冠代	guandai,gd
冠带	guandai,gd
冠德	guande,gd
冠珥	guaner,ge
冠凫	guanfu,gf
冠服	guanfu,gf
冠绂	guanfu,gf
冠盖	guangai,gg
冠盖场	guangaichang,ggc
冠盖里	guangaili,ggl
冠盖如云	guangairuyun,ggry
冠盖相属	guangaixiangzhu,ggxz
冠盖相望	guangaixiangwang,ggxw
冠盖云集	guangaiyunji,ggyj
冠狗	guangou,gg
冠古	guangu,gg
冠挂	guangua,gg
冠海雀	guanhaique,ghq
冠昏	guanhun,gh
冠婚	guanhun,gh
冠鸡	guanji,gj
冠笄	guanji,gj
冠剑	guanjian,gj
冠醮	guanjiao,gj
冠巾	guanjin,gj
冠裾	guanju,gj
冠具	guanju,gj
冠屦	guanju,gj
冠屦倒施	guanjudaoshi,gjds
冠绝	guanjue,gj
冠绝一时	guanjueyishi,gjys
冠军	guanjun,gj
冠军赛	guanjunsai,gjs
冠礼	guanli,gl
冠醴	guanli,gl
冠履	guanlu,gl
冠履倒易	guanludaoyi,gldy
冠履倒置	guanludaozhi,gldz
冠伦	guanlun,gl
冠麻鸭	guanmaya,gmy
冠脉	guanmai,gm
冠脉循环	guanmaixunhuan,gmxh
冠缦	guanman,gm
冠冒	guanmao,gm
冠帽	guanmao,gm
冠冕	guanmian,gm
冠冕堂皇	guanmiantanghuang,gmth
冠絻	guanwen,gw
冠名	guanming,gm
冠年	guannian,gn
冠袍带履	guanpaodailu,gpdl
冠佩	guanpei,gp
冠帔	guanpei,gp
冠篇	guanpian,gp
冠雀	guanque,gq
冠群	guanqun,gq
冠緌	guanrui,gr
冠山戴粒	guanshandaili,gsdl
冠上加冠	guanshangjia,gsj
冠上履下	guanshangluxia,gslx
冠裳	guanchang,gc
冠绅	guanshen,gs
冠石	guanshi,gs
冠时	guanshi,gs
冠士	guanshi,gs
冠世	guanshi,gs
冠事	guanshi,gs
冠饰	guanshi,gs
冠首	guanshou,gs
冠绶	guanshou,gs
冠岁	guansui,gs
冠纹柳莺	guanwenliuying,gwly
冠霞	guanxia,gx
冠县	guanxian,gx
冠心病	guanxinbing,gxb
冠形词	guanxingci,gxc
冠序	guanxu,gx
冠以	guanyi,gy
冠轶	guanyi,gy
冠缨	guanying,gy
冠鱼狗	guanyugou,gyg
冠玉	guanyu,gy
冠簪	guanzan,gz
冠豸	guanzhi,gz
冠栉	guanzhi,gz
冠胄	guanzhou,gz
冠状	guanzhuang,gz
冠状病毒	guanzhuangbingdu,gzbd
冠状动脉	guanzhuangdongmai,gzdm
冠状动脉旁路移植手术	guanzhuangdongmaipangluyizhishoushu,gzdmplyzss
冠状动脉旁通手术	guanzhuangdongmaipangtongshoushu,gzdmptss
冠状动脉血栓形成	guanzhuangdongmaixueshuanxingcheng,gzdmxsxc
冠状动脉硬化	guanzhuangdongmaiyinghua,gzdmyh
冠状动脉阻塞	guanzhuangdongmaizuse,gzdmzs
冠状静脉	guanzhuangjingmai,gzjm
冠子	guanzi,gz
冠族	guanzu,gz
冠组	guanzu,gz
冠座	guanzuo,gz
