冢嬖	zhongbi,zb
冢藏	zhongcang,zc
冢臣	zhongchen,zc
冢竁	zhongcui,zc
冢地	zhongdi,zd
冢嫡	zhongdi,zd
冢弟	zhongdi,zd
冢妇	zhongfu,zf
冢君	zhongjun,zj
冢圹	zhongkuang,zk
冢庐	zhonglu,zl
冢木已拱	zhongmuyigong,zmyg
冢墓	zhongmu,zm
冢卿	zhongqing,zq
冢人	zhongren,zr
冢舍	zhongshe,zs
冢社	zhongshe,zs
冢室	zhongshi,zs
冢适	zhongshi,zs
冢司	zhongsi,zs
冢祀	zhongsi,zs
冢嗣	zhongsi,zs
冢遂	zhongsui,zs
冢孙	zhongsun,zs
冢堂	zhongtang,zt
冢田	zhongtian,zt
冢土	zhongtu,zt
冢息	zhongxi,zx
冢茔	zhongying,zy
冢园	zhongyuan,zy
冢宰	zhongzai,zz
冢宅	zhongzhai,zz
冢中枯骨	zhongkugu,zkg
冢子	zhongzi,zz
