凋败	diaobai,db
凋敝	diaobi,db
凋弊	diaobi,db
凋蔽	diaobi,db
凋獘	diaobi,db
凋变	diaobian,db
凋兵	diaobing,db
凋剥	diaobao,db
凋残	diaocan,dc
凋惨	diaocan,dc
凋徂	diaocu,dc
凋摧	diaocui,dc
凋悴	diaocui,dc
凋瘁	diaocui,dc
凋讹	diaoe,de
凋废	diaofei,df
凋槁	diaogao,dg
凋固	diaogu,dg
凋寡	diaogua,dg
凋耗	diaohao,dh
凋胡	diaohu,dh
凋换	diaohuan,dh
凋荒	diaohuang,dh
凋毁	diaohui,dh
凋瘠	diaoji,dj
凋歼	diaojian,dj
凋尽	diaojin,dj
凋剧	diaoju,dj
凋窭	diaoju,dj
凋枯	diaoku,dk
凋匮	diaokui,dk
凋困	diaokun,dk
凋零	diaoling,dl
凋沦	diaolun,dl
凋落	diaoluo,dl
凋年	diaonian,dn
凋疲	diaopi,dp
凋槭	diaoqi,dq
凋罄	diaoqing,dq
凋缺	diaoque,dq
凋散	diaosan,ds
凋丧	diaosang,ds
凋伤	diaoshang,ds
凋逝	diaoshi,ds
凋疎	diaoshu,ds
凋疏	diaoshu,ds
凋衰	diaoshuai,ds
凋霜	diaoshuang,ds
凋索	diaosuo,ds
凋替	diaoti,dt
凋颓	diaotui,dt
凋刓	diaowan,dw
凋翫	diaowan,dw
凋亡	diaowang,dw
凋微	diaowei,dw
凋萎	diaowei,dw
凋歇	diaoxie,dx
凋谢	diaoxie,dx
凋朽	diaoxiu,dx
凋严	diaoyan,dy
凋渝	diaoyu,dy
凋陨	diaoyun,dy
凋殒	diaoyun,dy
凋瘵	diaozhai,dz
凋坠	diaozhui,dz
