分爱	fenai,fa
分白	fenbai,fb
分班	fenban,fb
分颁	fenban,fb
分谤	fenbang,fb
分包	fenbao,fb
分北	fenbei,fb
分贝	fenbei,fb
分背	fenbei,fb
分崩	fenbeng,fb
分崩离析	fenbenglixi,fblx
分辨	fenbian,fb
分辨率	fenbianlu,fbl
分辩	fenbian,fb
分镳	fenbiao,fb
分表	fenbiao,fb
分裱	fenbiao,fb
分俵	fenbiao,fb
分别	fenbie,fb
分别部居	fenbiebuju,fbbj
分别门户	fenbiemenhu,fbmh
分兵	fenbing,fb
分兵把守	fenbingbashou,fbbs
分拨	fenbo,fb
分波多工	fenboduogong,fbdg
分擘	fenbo,fb
分布	fenbu,fb
分布控制	fenbukongzhi,fbkz
分布式	fenbushi,fbs
分布式环境	fenbushihuanjing,fbshj
分布式结构	fenbushijiegou,fbsjg
分布式拒绝服务	fenbushijujuefuwu,fbsjjfw
分布式网络	fenbushiwangluo,fbswl
分布图	fenbutu,fbt
分步骤	fenbuzhou,fbz
分部	fenbu,fb
分财	fencai,fc
分飡	fencan,fc
分餐	fencan,fc
分餐制	fencanzhi,fcz
分曹	fencao,fc
分册	fence,fc
分层	fenceng,fc
分叉	fencha,fc
分杈	fencha,fc
分茶	fencha,fc
分茶店	fenchadian,fcd
分岔	fencha,fc
分拆	fenchai,fc
分钗	fenchai,fc
分钗断带	fenchaiduandai,fcdd
分钗劈凤	fenchaipifeng,fcpf
分钗破镜	fenchaipojing,fcpj
分产主义	fenchanzhuyi,fczy
分厂	fenchang,fc
分彻	fenche,fc
分成	fencheng,fc
分驰	fenchi,fc
分处	fenchu,fc
分传	fenchuan,fc
分床同梦	fenchuangtongmeng,fctm
分春	fenchun,fc
分词	fenci,fc
分次	fenci,fc
分窜	fencuan,fc
分爨	fencuan,fc
分刌	fencun,fc
分寸	fencun,fc
分寸之末	fencunzhimo,fczm
分错	fencuo,fc
分大小	fendaxiao,fdx
分担	fendan,fd
分当	fendang,fd
分档	fendang,fd
分祷	fendao,fd
分道	fendao,fd
分道线	fendaoxian,fdx
分道扬镳	fendaoyangbiao,fdyb
分得	fende,fd
分地	fendi,fd
分灯	fendeng,fd
分墬	fendi,fd
分点	fendian,fd
分佃	fendian,fd
分店	fendian,fd
分掉	fendiao,fd
分鼎	fending,fd
分定	fending,fd
分度	fendu,fd
分段	fenduan,fd
分段身	fenduanshen,fds
分断	fenduan,fd
分队	fendui,fd
分剟	fenduo,fd
分儿	fener,fe
分而治之	fenerzhi,fez
分发	fenfa,ff
分番	fenfan,ff
分藩	fenfan,ff
分方	fenfang,ff
分房	fenfang,ff
分房减口	fenfangjiankou,ffjk
分飞	fenfei,ff
分非	fenfei,ff
分肥	fenfei,ff
分分	fen,f
分风	fenfeng,ff
分风劈流	fenfengpiliu,ffpl
分封	fenfeng,ff
分封制	fenfengzhi,ffz
分缝	fenfeng,ff
分服	fenfu,ff
分符	fenfu,ff
分福	fenfu,ff
分付	fenfu,ff
分赴	fenfu,ff
分甘	fengan,fg
分甘共苦	fengangongku,fggk
分甘绝少	fenganjueshao,fgjs
分甘同苦	fengantongku,fgtk
分割	fenge,fg
分割包围	fengebaowei,fgbw
分割区	fengequ,fgq
分隔	fenge,fg
分给	fengei,fg
分羹	fengeng,fg
分工	fengong,fg
分工合作	fengonghezuo,fghz
分公司	fengongsi,fgs
分功	fengong,fg
分乖	fenguai,fg
分关	fenguan,fg
分管	fenguan,fg
分光	fenguang,fg
分光光度法	fenguangdufa,fgdf
分光镜地	fenguangjingde,fgjd
分圭	fengui,fg
分珪	fengui,fg
分锅	fenguo,fg
分国	fenguo,fg
分过	fenguo,fg
分毫	fenhao,fh
分毫不差	fenhaobucha,fhbc
分毫不取	fenhaobuqu,fhbq
分毫不爽	fenhaobushuang,fhbs
分毫不值	fenhaobuzhi,fhbz
分毫无爽	fenhaowushuang,fhws
分毫析厘	fenhaoxili,fhxl
分毫之差	fenhaozhicha,fhzc
分好	fenhao,fh
分号	fenhao,fh
分耗	fenhao,fh
分合	fenhe,fh
分红	fenhong,fh
分红利	fenhongli,fhl
分洪	fenhong,fh
分虎	fenhu,fh
分虎节	fenhujie,fhj
分虎竹	fenhuzhu,fhz
分户	fenhu,fh
分花拂柳	fenhuafuliu,fhfl
分花约柳	fenhuayueliu,fhyl
分华丽地	fenhualide,fhld
分化	fenhua,fh
分化瓦解	fenhuawajie,fhwj
分化与整合	fenhuayuzhenghe,fhyzh
分划	fenhua,fh
分画	fenhua,fh
分会	fenhui,fh
分会场	fenhuichang,fhc
分惠	fenhui,fh
分豁	fenhuo,fh
分机	fenji,fj
分肌劈理	fenjipili,fjpl
分级	fenji,fj
分级救治	fenjijiuzhi,fjjz
分际	fenji,fj
分剂	fenji,fj
分济	fenji,fj
分家	fenjia,fj
分家析产	fenjiaxichan,fjxc
分歼战	fenjianzhan,fjz
分间	fenjian,fj
分拣	fenjian,fj
分减	fenjian,fj
分建	fenjian,fj
分疆	fenjiang,fj
分交	fenjiao,fj
分角器	fenjiaoqi,fjq
分阶段地	fenjieduande,fjdd
分节	fenjie,fj
分节歌	fenjiege,fjg
分截	fenjie,fj
分解	fenjie,fj
分解代谢	fenjiedaixie,fjdx
分解反应	fenjiefanying,fjfy
分解者	fenjiezhe,fjz
分解作用	fenjiezuoyong,fjzy
分界	fenjie,fj
分界线	fenjiexian,fjx
分斤掰两	fenjinbailiang,fjbl
分斤拨两	fenjinboliang,fjbl
分金	fenjin,fj
分金掰两	fenjinbailiang,fjbl
分衿	fenjin,fj
分襟	fenjin,fj
分进	fenjin,fj
分进合击	fenjinheji,fjhj
分荆	fenjing,fj
分境	fenjing,fj
分镜	fenjing,fj
分镜头	fenjingtou,fjt
分镜头剧本	fenjingtoujuben,fjtjb
分久必合	fenjiubihe,fjbh
分居	fenju,fj
分居异爨	fenjuyicuan,fjyc
分裾	fenju,fj
分局	fenju,fj
分句	fenju,fj
分决	fenjue,fj
分绝	fenjue,fj
分均	fenjun,fj
分卡	fenka,fk
分开	fenkai,fk
分科	fenke,fk
分克	fenke,fk
分口	fenkou,fk
分扣	fenkou,fk
分暌	fenkui,fk
分阃	fenkun,fk
分赉	fenlai,fl
分朗	fenlang,fl
分朗朗	fenlang,fl
分劳赴功	fenlaofugong,flfg
分了	fenle,fl
分类	fenlei,fl
分类理论	fenleililun,flll
分类学	fenleixue,flx
分类帐	fenleizhang,flz
分厘	fenli,fl
分厘毫丝	fenlihaosi,flhs
分厘卡	fenlika,flk
分剓	fenli,fl
分离	fenli,fl
分离地	fenlide,fld
分离分子	fenlizi,flz
分离器	fenliqi,flq
分离主义	fenlizhuyi,flzy
分理	fenli,fl
分理处	fenlichu,flc
分力	fenli,fl
分立	fenli,fl
分利	fenli,fl
分例	fenli,fl
分隶	fenli,fl
分两	fenliang,fl
分量	fenliang,fl
分列	fenlie,fl
分列式	fenlieshi,fls
分裂	fenlie,fl
分裂情感性障碍	fenlieqingganxingzhangai,flqgxza
分裂生殖	fenlieshengzhi,flsz
分裂主义	fenliezhuyi,flzy
分裂组织	fenliezuzhi,flzz
分岭	fenling,fl
分领	fenling,fl
分另	fenling,fl
分流	fenliu,fl
分流电路	fenliudianlu,fldl
分流电阻	fenliudianzu,fldz
分馏	fenliu,fl
分龙	fenlong,fl
分龙兵	fenlongbing,flb
分龙节	fenlongjie,flj
分龙日	fenlongri,flr
分龙雨	fenlongyu,fly
分录	fenlu,fl
分鹿	fenlu,fl
分路	fenlu,fl
分路扬镳	fenluyangbiao,flyb
分率	fenlu,fl
分鸾	fenluan,fl
分茅	fenmao,fm
分茅赐土	fenmaocitu,fmct
分茅列土	fenmaolietu,fmlt
分茅裂土	fenmaolietu,fmlt
分茅岭	fenmaoling,fml
分茅锡土	fenmaoxitu,fmxt
分茅胙土	fenmaozuotu,fmzt
分袂	fenmei,fm
分门别户	fenmenbiehu,fmbh
分门别类	fenmenbielei,fmbl
分门书	fenmenshu,fms
分米	fenmi,fm
