刳剥	kubao,kb
刳肠	kuchang,kc
刳剒	kucuo,kc
刳斮	kuzhuo,kz
刳刀	kudao,kd
刳腹	kufu,kf
刳肝	kugan,kg
刳肝沥胆	kuganlidan,kgld
刳割	kuge,kg
刳精呕血	kujingouxue,kjox
刳精鉥心	kujingjiuxin,kjjx
刳脔	kuluan,kl
刳木	kumu,km
刳剖	kupou,kp
刳腔	kuqiang,kq
刳剡	kuyan,ky
刳兽食胎	kushoushitai,ksst
刳松	kusong,ks
刳胎	kutai,kt
刳胎焚郊	kutaifenjiao,ktfj
刳胎焚夭	kutaifenyao,ktfy
刳胎杀夭	kutaishayao,ktsy
刳剔	kuti,kt
刳艇	kuting,kt
刳心	kuxin,kx
刳心雕肾	kuxindiaoshen,kxds
刳形去皮	kuxingqupi,kxqp
刳削	kuxue,kx
刳羊	kuyang,ky
刳磔	kuzhe,kz
刳脂剔膏	kuzhitigao,kztg
刳舟	kuzhou,kz
刳舟剡楫	kuzhouyanji,kzyj
