刺柏	cibai,cb
刺胞	cibao,cb
刺胞动物	cibaodongwu,cbdw
刺背	cibei,cb
刺鼻	cibi,cb
刺臂	cibi,cb
刺彪	cibiao,cb
刺兵	cibing,cb
刺拨	cibo,cb
刺参	cican,cc
刺草	cicao,cc
刺察	cicha,cc
刺柴	cichai,cc
刺齿	cichi,cc
刺充	cichong,cc
刺触	cichu,cc
刺穿	cichuan,cc
刺舩	cichuan,cc
刺船	cichuan,cc
刺戳	cichuo,cc
刺刺	ci,c
刺刺不休	cibuxiu,cbx
刺刺挠挠	cinao,cn
刺促	cicu,cc
刺蹙	cicu,cc
刺答	cida,cd
刺打	cida,cd
刺旦	cidan,cd
刺刀	cidao,cd
刺的一声	cideyisheng,cdys
刺钉	ciding,cd
刺肚	cidu,cd
刺断	ciduan,cd
刺剟	ciduo,cd
刺儿	cier,ce
刺儿菜	ciercai,cec
刺儿话	cierhua,ceh
刺儿李	cierli,cel
刺儿头	ciertou,cet
刺耳	cier,ce
刺耳地	cierde,ced
刺访	cifang,cf
刺蜚	cifei,cf
刺蜚绣	cifeixiu,cfx
刺凤描鸾	cifengmiaoluan,cfml
刺干	cigan,cg
刺钢丝	cigangsi,cgs
刺股	cigu,cg
刺股读书	cigudushu,cgds
刺股悬梁	ciguxuanliang,cgxl
刺骨	cigu,cg
刺骨地	cigude,cgd
刺骨贫	cigupin,cgp
刺骨语	ciguyu,cgy
刺规	cigui,cg
刺闺	cigui,cg
刺候	cihou,ch
刺呼	cihu,ch
刺虎	cihu,ch
刺虎持鹬	cihuchiyu,chcy
刺唬疖	cihujie,chj
刺花	cihua,ch
刺花纹	cihuawen,chw
刺槐	cihuai,ch
刺环	cihuan,ch
刺讥	ciji,cj
刺击	ciji,cj
刺笄	ciji,cj
刺激	ciji,cj
刺激地	cijide,cjd
刺激剂	ciji,cj
刺激素	cijisu,cjs
刺激物	cijiwu,cjw
刺激性	cijixing,cjx
刺几	ciji,cj
刺戟	ciji,cj
刺蓟	ciji,cj
刺奸	cijian,cj
刺剑	cijian,cj
刺戒	cijie,cj
刺径	cijing,cj
刺灸	cijiu,cj
刺举	ciju,cj
刺客	cike,ck
刺孔	cikong,ck
刺口	cikou,ck
刺啦	cila,cl
刺詈	cili,cl
刺临	cilin,cl
刺溜	ciliu,cl
刺芒	cimang,cm
刺蝥	cimou,cm
刺莓	cimei,cm
刺梅	cimei,cm
刺美	cimei,cm
刺蜜	cimi,cm
刺面	cimian,cm
刺目	cimu,cm
刺挠	cinao,cn
刺恼	cinao,cn
刺闹	cinao,cn
刺涅	cinie,cn
刺配	cipei,cp
刺喷	cipen,cp
刺篷	cipeng,cp
刺破	cipo,cp
刺启	ciqi,cq
刺芡	ciqian,cq
刺枪弄棒	ciqiangnongbang,cqnb
刺枪使棒	ciqiangshibang,cqsb
刺切	ciqie,cq
刺芹菇	ciqingu,cqg
刺青	ciqing,cq
刺请	ciqing,cq
刺楸	ciqiu,cq
刺取	ciqu,cq
刺人	ciren,cr
刺爇	ciruo,cr
刺杀	cisha,cs
刺杀旦	cishadan,csd
刺山	cishan,cs
刺伤	cishang,cs
刺上化下	cishanghuaxia,cshx
刺舌	cishe,cs
刺身	cishen,cs
刺审	cishen,cs
刺诗	cishi,cs
刺史	cishi,cs
刺史州	cishizhou,csz
刺世	cishi,cs
刺事	cishi,cs
刺螫	cishi,cs
刺手	cishou,cs
刺丝胞	cisibao,csb
刺丝胞动物	cisibaodongwu,csbdw
刺丝囊	cisinang,csn
刺死	cisi,cs
刺宋案	cisongan,csa
刺探	citan,ct
刺慝	cite,ct
刺天	citian,ct
刺填	citian,ct
刺桐	citong,ct
刺痛	citong,ct
刺痛地	citongde,ctd
刺头	citou,ct
刺头泥里陷	citounilixian,ctnlx
刺透	citou,ct
刺透地	citoude,ctd
刺网	ciwang,cw
刺猬	ciwei,cw
刺文	ciwen,cw
刺文裤	ciwenku,cwk
刺问	ciwen,cw
刺五加	ciwujia,cwj
刺苋	cixian,cx
刺邪	cixie,cx
刺邪里	cixieli,cxl
刺斜里	cixieli,cxl
刺心	cixin,cx
刺心刻骨	cixinkegu,cxkg
刺心裂肝	cixinliegan,cxlg
刺心切骨	cixinqiegu,cxqg
刺绣	cixiu,cx
刺绣品	cixiupin,cxp
刺血	cixue,cx
刺眼	ciyan,cy
刺谳	ciyan,cy
刺痒	ciyang,cy
刺谒	ciye,cy
刺宥	ciyou,cy
刺语	ciyu,cy
刺棹	cizhao,cz
刺针	cizhen,cz
刺纸	cizhi,cz
刺中	cizhong,cz
刺舟	cizhou,cz
刺竹	cizhu,cz
刺竹笋	cizhusun,czs
刺斫	cizhuo,cz
刺字	cizi,cz
