副板	fuban,fb
副榜	fubang,fb
副本	fuben,fb
副标题	fubiaoti,fbt
副部长	fubuzhang,fbz
副产品	fuchanpin,fcp
副产物	fuchanwu,fcw
副车	fuche,fc
副乘	fucheng,fc
副词	fuci,fc
副次	fuci,fc
副倅	fucui,fc
副旦	fudan,fd
副档名	fudangming,fdm
副地级市	fudijishi,fdjs
副东	fudong,fd
副端	fuduan,fd
副二	fuer,fe
副贰	fuer,fe
副法向量	fufaxiangliang,ffxl
副封	fufeng,ff
副服	fu,f
副高	fugao,fg
副歌	fuge,fg
副贡	fugong,fg
副贡生	fugongsheng,fgs
副官	fuguan,fg
副国务卿	fuguowuqing,fgwq
副虹	fuhong,fh
副后	fuhou,fh
副袆	fuhui,fh
副笄	fuji,fj
副甲状腺	fujiazhuangxian,fjzx
副甲状腺素	fujiazhuangxiansu,fjzxs
副驾驶	fujiashi,fjs
副驾驶员	fujiashiyuan,fjsy
副驾驶座	fujiashizuo,fjsz
副将	fujiang,fj
副教授	fujiaoshou,fjs
副经理	fujingli,fjl
副净	fujing,fj
副浄	fujing,fj
副靖	fujing,fj
副君	fujun,fj
副刊	fukan,fk
副科	fuke,fk
副郎	fulang,fl
副理	fuli,fl
副流感	fuliugan,flg
副辂	fulu,fl
副马	fuma,fm
副秘书长	fumishuzhang,fmsz
副末	fumo,fm
副墨	fumo,fm
副能	funeng,fn
副黏液病毒	funianyebingdu,fnybd
副品	fupin,fp
副启	fuqi,fq
副妾	fuqie,fq
副热带	furedai,frd
副伤寒	fushanghan,fsh
副神经	fushenjing,fsj
副肾	fushen,fs
副省级	fushengji,fsj
副省级城市	fushengjichengshi,fsjcs
副食	fushi,fs
副食品	fushipin,fsp
副使	fushi,fs
副市长	fushizhang,fsz
副室	fushi,fs
副手	fushou,fs
副书记	fushuji,fsj
副署	fushu,fs
副顺	fushun,fs
副司令	fusiling,fsl
副题	futi,ft
副王	fuwang,fw
副尉	fuwei,fw
副宪	fuxian,fx
副相	fuxiang,fx
副校长	fuxiaozhang,fxz
副行长	fuhangzhang,fhz
副性征	fuxingzheng,fxz
副修	fuxiu,fx
副研	fuyan,fy
副研究员	fuyanjiuyuan,fyjy
副爷	fuye,fy
副业	fuye,fy
副叶	fuye,fy
副页	fuye,fy
副议长	fuyizhang,fyz
副翼	fuyi,fy
副油箱	fuyouxiang,fyx
副余	fuyu,fy
副院长	fuyuanzhang,fyz
副着	fuzhe,fz
副职	fuzhi,fz
副州长	fuzhouzhang,fzz
副主	fuzhu,fz
副主任	fuzhuren,fzr
副主席	fuzhuxi,fzx
副总	fuzong,fz
副总裁	fuzongcai,fzc
副总理	fuzongli,fzl
副总统	fuzongtong,fzt
副作用	fuzuoyong,fzy
