办案	banan,ba
办报	banbao,bb
办备	banbei,bb
办不到	banbudao,bbd
办差	banchai,bc
办到	bandao,bd
办道	bandao,bd
办得到	bandedao,bdd
办东	bandong,bd
办法	banfa,bf
办房	banfang,bf
办稿	bangao,bg
办给	bangei,bg
办公	bangong,bg
办公大楼	bangongdalou,bgdl
办公地址	bangongdizhi,bgdz
办公会议	bangonghuiyi,bghy
办公楼	bangonglou,bgl
办公时间	bangongshijian,bgsj
办公室	bangongshi,bgs
办公室自动化	bangongshizidonghua,bgszdh
办公厅	bangongting,bgt
办公桌	bangongzhuo,bgz
办公桌轮用	bangongzhuolunyong,bgzly
办公自动化	bangongzidonghua,bgzdh
办好	banhao,bh
办护	banhu,bh
办货	banhuo,bh
办集	banji,bj
办济	banji,bj
办解	banjie,bj
办酒席	banjiuxi,bjx
办具	banju,bj
办课	banke,bk
办理	banli,bl
办吏	banli,bl
办买	banmai,bm
办纳	banna,bn
办年货	bannianhuo,bnh
办取	banqu,bq
办事	banshi,bs
办事处	banshichu,bsc
办事大臣	banshidachen,bsdc
办事员	banshiyuan,bsy
办艇	banting,bt
办妥	bantuo,bt
办学	banxue,bx
办严	banyan,by
办造	banzao,bz
办治	banzhi,bz
办装	banzhuang,bz
办桌	banzhuo,bz
办梓	banzi,bz
办罪	banzui,bz
