加百列	jiabailie,jbl
加班	jiaban,jb
加班地	jiabande,jbd
加班费	jiabanfei,jbf
加班加点	jiabandian,jbd
加备	jiabei,jb
加倍	jiabei,jb
加倍地	jiabeide,jbd
加被	jiabei,jb
加俾额尔	jiabieer,jbee
加笾	jiabian,jb
加鞭	jiabian,jb
加冰	jiabing,jb
加冰块	jiabingkuai,jbk
加兵	jiabing,jb
加餐	jiacan,jc
加仓	jiacang,jc
加查	jiacha,jc
加查县	jiachaxian,jcx
加车	jiache,jc
加持	jiachi,jc
加粗	jiacu,jc
加达里	jiadali,jdl
加大	jiada,jd
加大力度	jiadalidu,jdld
加大努力	jiadanuli,jdnl
加大油门	jiadayoumen,jdym
加德满都	jiademandu,jdmd
加德纳	jiadena,jdn
加德士	jiadeshi,jds
加德西	jiadexi,jdx
加地夫	jiadefu,jdf
加的夫	jiadefu,jdf
加的斯	jiadisi,jds
加点	jiadian,jd
加多宝	jiaduobao,jdb
加额	jiae,je
加尔各答	jiaergeda,jegd
加尔文	jiaerwen,jew
加二	jiaer,je
加法	jiafa,jf
加饭	jiafan,jf
加非	jiafei,jf
加菲猫	jiafeimao,jfm
加分	jiafen,jf
加封	jiafeng,jf
加封官阶	jiafengguanjie,jfgj
加俸	jiafeng,jf
加氟	jiafu,jf
加腹	jiafu,jf
加盖	jiagai,jg
加格达奇	jiagedaqi,jgdq
加格达奇区	jiagedaqiqu,jgdqq
加工	jiagong,jg
加工厂	jiagongchang,jgc
加工成本	jiagongchengben,jgcb
加工贸易	jiagongmaoyi,jgmy
加工时序	jiagongshixu,jgsx
加工效率	jiagongxiaolu,jgxl
加功	jiagong,jg
加估	jiagu,jg
加固	jiagu,jg
加官	jiaguan,jg
加官进爵	jiaguanjinjue,jgjj
加官进禄	jiaguanjinlu,jgjl
加官进位	jiaguanjinwei,jgjw
加官晋级	jiaguanjinji,jgjj
加官晋爵	jiaguanjinjue,jgjj
加官脸	jiaguanlian,jgl
加冠	jiaguan,jg
加国	jiaguo,jg
加害	jiahai,jh
加害地	jiahaide,jhd
加航	jiahang,jh
加号	jiahao,jh
加耗	jiahao,jh
加护	jiahu,jh
加惠	jiahui,jh
加笄	jiaji,jj
加吉鱼	jiajiyu,jjy
加级鱼	jiajiyu,jjy
加急	jiaji,jj
加加林	jialin,jl
加价	jia,j
加减	jiajian,jj
加减乘除	jiajianchengchu,jjcc
加减号	jiajianhao,jjh
加阶	jiajie,jj
加紧	jiajin,jj
加劲	jiajin,jj
加劲儿	jiajiner,jje
加进	jiajin,jj
加剧	jiaju,jj
加爵	jiajue,jj
加快	jiakuai,jk
加快地	jiakuaide,jkd
加宽	jiakuan,jk
加拉巴哥斯	jialabagesi,jlbgs
加拉巴哥斯群岛	jialabagesiqundao,jlbgsqd
加拉罕	jialahan,jlh
加拉加斯	jialasi,jls
加拉帕戈斯群岛	jialapagesiqundao,jlpgsqd
加拉太书	jialataishu,jlts
加来海峡	jialaihaixia,jlhx
加勒比	jialebi,jlb
加勒比国家联盟	jialebiguolianmeng,jlbglm
加勒比海	jialebihai,jlbh
加哩	jiali,jl
加礼	jiali,jl
加里	jiali,jl
加里波第	jialibodi,jlbd
加里肋亚	jialileiya,jlly
加里肋亚海	jialileiyahai,jllyh
加里曼丹	jialimandan,jlmd
加里曼丹岛	jialimandandao,jlmdd
加里宁格勒	jialininggele,jlngl
加里宁格勒州	jialininggelezhou,jlnglz
加厉	jiali,jl
加利福尼亚	jialifuniya,jlfny
加利福尼亚大学	jialifuniyadaxue,jlfnydx
加利福尼亚大学洛杉矶分校	jialifuniyadaxueluoshanjifenxiao,jlfnydxlsjfx
加利福尼亚理工学院	jialifuniyagongxueyuan,jlfnygxy
加利福尼亚州	jialifuniyazhou,jlfnyz
加利肋亚	jialileiya,jlly
加利利	jiali,jl
加利西亚	jialixiya,jlxy
加料	jialiao,jl
加料钢琴	jialiaogangqin,jlgq
加率	jialu,jl
加仑	jialun,jl
加伦	jialun,jl
加罗林群岛	jialuolinqundao,jllqd
加码	jiama,jm
加满	jiaman,jm
加盟	jiameng,jm
加密	jiami,jm
加密货币	jiamihuobi,jmhb
加密套接字协议层	jiamitaojiezixieyiceng,jmtjzxyc
加冕	jiamian,jm
加缪	jiamiu,jm
加拿大	jianada,jnd
加拿大皇家	jianadahuang,jndh
加拿大皇家海军	jianadahuanghaijun,jndhhj
加拿大太平洋铁路	jianadataipingyangtielu,jndtpytl
加拿大雁	jianadayan,jndy
加那利群岛	jianaliqundao,jnlqd
加纳	jiana,jn
加年	jianian,jn
加农	jianong,jn
加农炮	jianongpao,jnp
加派	jiapai,jp
加彭	jiapeng,jp
加蓬	jiapeng,jp
加气	jiaqi,jq
加钱	jiaqian,jq
加强	jiaqiang,jq
加强地	jiaqiangde,jqd
加强管制	jiaqiangguanzhi,jqgz
加强针	jiaqiangzhen,jqz
加氢油	jiaqingyou,jqy
加权	jiaquan,jq
加权平均	jiaquanpingjun,jqpj
加热	jiare,jr
加人	jiaren,jr
加人一等	jiarenyideng,jryd
加日	jiari,jr
加入	jiaru,jr
加塞儿	jiasaier,jse
加赛	jiasai,js
加颡	jiasang,js
加沙	jiasha,js
加沙地带	jiashadidai,jsdd
加膳	jiashan,js
加上	jiashang,js
加深	jiashen,js
加深理解	jiashenlijie,jslj
加深印象	jiashenyinxiang,jsyx
加湿器	jiashiqi,jsq
加时	jiashi,js
加时赛	jiashisai,jss
加食	jiashi,js
加试	jiashi,js
加数	jiashu,js
加速	jiasu,js
加速地	jiasude,jsd
加速度	jiasudu,jsd
加速器	jiasuqi,jsq
加速踏板	jiasutaban,jstb
加速运动	jiasuyundong,jsyd
加损	jiasun,js
加索尔	jiasuoer,jse
加泰罗尼亚	jiatailuoniya,jtlny
加特林	jiatelin,jtl
加特林机枪	jiatelinjiqiang,jtljq
加藤	jiateng,jt
加添	jiatian,jt
加甜	jiatian,jt
加委	jiawei,jw
加温	jiawen,jw
加沃特	jiawote,jwt
加诬	jiawu,jw
加西亚	jiaxiya,jxy
