勾碍	gouai,ga
勾拨	goubo,gb
勾剥	goubao,gb
勾补	goubu,gb
勾捕	goubu,gb
勾差	goucha,gc
勾陈	gouchen,gc
勾抽	gouchou,gc
勾出	gouchu,gc
勾除	gouchu,gc
勾串	gouchuan,gc
勾垂	gouchui,gc
勾搭	gouda,gd
勾达甲坼	goudajiache,gdjc
勾担	goudan,gd
勾当	goudang,gd
勾刀	goudao,gd
勾点	goudian,gd
勾牒	goudie,gd
勾钉	gouding,gd
勾动	goudong,gd
勾断	gouduan,gd
勾兑	goudui,gd
勾盾	goudun,gd
勾缝	goufeng,gf
勾赴	goufu,gf
勾覆	goufu,gf
勾干	gougan,gg
勾勾搭搭	gouda,gd
勾股	gougu,gg
勾股定理	gougudingli,ggdl
勾股数	gougushu,ggs
勾股形	gouguxing,ggx
勾号	gouhao,gh
勾合	gouhe,gh
勾核	gouhe,gh
勾哄	gouhong,gh
勾呼	gouhu,gh
勾划	gouhua,gh
勾画	gouhua,gh
勾唤	gouhuan,gh
勾绘	gouhui,gh
勾魂	gouhun,gh
勾魂摄魄	gouhunshepo,ghsp
勾稽	gouji,gj
勾集	gouji,gj
勾甲	goujia,gj
勾肩搭背	goujiandabei,gjdb
勾检	goujian,gj
勾践	goujian,gj
勾绞	goujiao,gj
勾接	goujie,gj
勾结	goujie,gj
勾决	goujue,gj
勾军	goujun,gj
勾考	goukao,gk
勾括	goukuo,gk
勾栏	goulan,gl
勾阑	goulan,gl
勾勒	goule,gl
勾连	goulian,gl
勾联	goulian,gl
勾镰腿	gouliantui,glt
勾脸	goulian,gl
勾留	gouliu,gl
勾龙	goulong,gl
勾屚	goulou,gl
勾漏	goulou,gl
勾罗	gouluo,gl
勾芒	goumang,gm
勾萌	goumeng,gm
勾面	goumian,gm
勾描	goumiao,gm
勾抹	goumo,gm
勾牌	goupai,gp
勾配	goupei,gp
勾批	goupi,gp
勾破	goupo,gp
勾起	gouqi,gq
勾讫	gouqi,gq
勾迁	gouqian,gq
勾牵	gouqian,gq
勾芡	gouqian,gq
勾曲	gouqu,gq
勾瞿	gouqu,gq
勾取	gouqu,gq
勾拳	gouquan,gq
勾却	gouque,gq
勾染	gouran,gr
勾扰	gourao,gr
勾惹	goure,gr
勾人	gouren,gr
勾三搭四	gousandasi,gsds
勾煽	goushan,gs
勾摄	goushe,gs
勾神	goushen,gs
勾使	goushi,gs
勾手	goushou,gs
勾死鬼	gousigui,gsg
勾死人	gousiren,gsr
勾肆	gousi,gs
勾索	gousuo,gs
勾提	gouti,gt
勾填	goutian,gt
勾挑	goutiao,gt
勾通	goutong,gt
勾头	goutou,gt
勾头探脑	goutoutannao,gttn
勾问	gouwen,gw
勾吴	gouwu,gw
勾戏	gouxi,gx
勾消	gouxiao,gx
勾销	gouxiao,gx
勾校	gouxiao,gx
勾心斗角	gouxindoujiao,gxdj
勾选	gouxuan,gx
勾押	gouya,gy
勾乙	gouyi,gy
勾引	gouyin,gy
勾引地	gouyinde,gyd
勾玉	gouyu,gy
勾越	gouyue,gy
勾针	gouzhen,gz
勾征	gouzheng,gz
勾致	gouzhi,gz
勾中	gouzhong,gz
勾注	gouzhu,gz
勾拽	gouzhuai,gz
勾追	gouzhui,gz
勾捉	gouzhuo,gz
勾子	gouzi,gz
勾子军	gouzijun,gzj
勾走	gouzou,gz
勾卒	gouzu,gz
