包办	baoban,bb
包办代替	baobandaiti,bbdt
包办婚姻	baobanhunyin,bbhy
包包	bao,b
包背装	baobeizhuang,bbz
包被	baobei,bb
包庇	baobi,bb
包菜	baocai,bc
包藏	baocang,bc
包藏祸心	baocanghuoxin,bchx
包藏奸心	baocangjianxin,bcjx
包层	baoceng,bc
包缠	baochan,bc
包产	baochan,bc
包产到户	baochandaohu,bcdh
包产到户制	baochandaohuzhi,bcdhz
包场	baochang,bc
包抄	baochao,bc
包钞	baochao,bc
包车	baoche,bc
包承制	baochengzhi,bcz
包承组	baochengzu,bcz
包乘	baocheng,bc
包乘制	baochengzhi,bcz
包乘组	baochengzu,bcz
包程	baocheng,bc
包吃包住	baochizhu,bcz
包畜	baochu,bc
包船	baochuan,bc
包打天下	baodatianxia,bdtx
包打听	baodating,bdt
包待制	baodaizhi,bdz
包袋	baodai,bd
包单	baodan,bd
包弹	baodan,bd
包尔	baoer,be
包二奶	baoernai,ben
包法利夫人	baofalifuren,bflfr
包饭	baofan,bf
包房	baofang,bf
包篚	baofei,bf
包封	baofeng,bf
包袱	baofu,bf
包袱底	baofudi,bfd
包袱底儿	baofudier,bfde
包袱皮	baofupi,bfp
包袱皮儿	baofupier,bfpe
包复	baofu,bf
包覆	baofu,bf
包干	baogan,bg
包干儿	baoganer,bge
包干分配	baoganfenpei,bgfp
包干制	baoganzhi,bgz
包戈	baoge,bg
包亘	baogen,bg
包工	baogong,bg
包工头	baogongtou,bgt
包公	baogong,bg
包公赔情	baogongpeiqing,bgpq
包贡	baogong,bg
包谷	baogu,bg
包瓜	baogua,bg
包管	baoguan,bg
包贯	baoguan,bg
包匦	baogui,bg
包裹	baoguo,bg
包含	baohan,bh
包函	baohan,bh
包涵	baohan,bh
包豪斯	baohaosi,bhs
包河	baohe,bh
包河区	baohequ,bhq
包虎	baohu,bh
包换	baohuan,bh
包巟	baohuang,bh
包荒	baohuang,bh
包慌	baohuang,bh
包馄饨	baohuntun,bht
包活	baohuo,bh
包活儿	baohuoer,bhe
包伙	baohuo,bh
包机	baoji,bj
包髻	baoji,bj
包价	baojia,bj
包价旅游	baojialuyou,bjly
包间	baojian,bj
包剪锤	baojianchui,bjc
包浆	baojiang,bj
包饺子	baojiaozi,bjz
包剿	baojiao,bj
包巾	baojin,bj
包金	baojin,bj
包茎	baojing,bj
包苴	baoju,bj
包橘	baoju,bj
包举	baoju,bj
包举宇内	baojuyunei,bjyn
包括	baokuo,bk
包括地	baokuode,bkd
包兰铁路	baolantielu,bltl
包揽	baolan,bl
包揽词讼	baolancisong,blcs
包里斯	baolisi,bls
包龙图	baolongtu,blt
包笼	baolong,bl
包拢	baolong,bl
包罗	baoluo,bl
包罗万象	baoluowanxiang,blwx
包罗万有	baoluowanyou,blwy
包络	baoluo,bl
包茅	baomao,bm
包蒙	baomeng,bm
包米	baomi,bm
包纳	baona,bn
包囊	baonang,bn
包赔	baopei,bp
包皮	baopi,bp
包皮过长	baopiguochang,bpgc
包皮环切	baopihuanqie,bphq
包皮环切术	baopihuanqieshu,bphqs
包片儿	baopianer,bpe
包票	baopiao,bp
包青天	baoqingtian,bqt
包容	baorong,br
包柔氏螺旋体	baoroushiluoxuanti,brslxt
包桑	baosang,bs
包山租	baoshanzu,bsz
包身工	baoshengong,bsg
包氏父子	baoshifuzi,bsfz
包氏螺旋体	baoshiluoxuanti,bslxt
包世臣	baoshichen,bsc
包书皮	baoshupi,bsp
包宿	baosu,bs
包粟	baosu,bs
包探	baotan,bt
包头	baotou,bt
包头地区	baotoudiqu,btdq
包头市	baotoushi,bts
包退	baotui,bt
包退换	baotuihuan,bth
包吞	baotun,bt
包围	baowei,bw
包围圈	baoweiquan,bwq
包牺氏	baoxishi,bxs
包席	baoxi,bx
包厢	baoxiang,bx
包销	baoxiao,bx
包心菜	baoxincai,bxc
包芯线	baoxinxian,bxx
包修	baoxiu,bx
包羞	baoxiu,bx
包羞忍耻	baoxiurenchi,bxrc
包胥	baoxu,bx
包蓄	baoxu,bx
包养	baoyang,by
包夜	baoye,by
包衣	baoyi,by
包衣种子	baoyizhongzi,byzz
包银	baoyin,by
包邮	baoyou,by
包元	baoyuan,by
包圆儿	baoyuaner,bye
包月	baoyue,by
包孕	baoyun,by
包韫	baoyun,by
包蕴	baoyun,by
包藴	baoyun,by
包在我身上	baozaiwoshenshang,bzwss
包扎	baoza,bz
包长	baochang,bc
包拯	baozheng,bz
包治百病	baozhibaibing,bzbb
包竹	baozhu,bz
包住	baozhu,bz
包装	baozhuang,bz
包装物	baozhuangwu,bzw
包装箱	baozhuangxiang,bzx
包装纸	baozhuangzhi,bzz
包准儿	baozhuner,bze
包子	baozi,bz
包子有肉不在褶上	baoziyouroubuzaizheshang,bzyrbzzs
包租	baozu,bz
