匠班	jiangban,jb
匠班银	jiangbanyin,jby
匠笔	jiangbi,jb
匠伯	jiangbo,jb
匠成	jiangcheng,jc
匠费	jiangfei,jf
匠工	jianggong,jg
匠户	jianghu,jh
匠化	jianghua,jh
匠画	jianghua,jh
匠籍	jiangji,jj
匠军	jiangjun,jj
匠骊	jiangli,jl
匠黎	jiangli,jl
匠理	jiangli,jl
匠丽	jiangli,jl
匠门弃材	jiangmenqicai,jmqc
匠气	jiangqi,jq
匠人	jiangren,jr
匠师	jiangshi,js
匠石	jiangshi,js
匠石运金	jiangshiyunjin,jsyj
匠氏	jiangshi,js
匠世	jiangshi,js
匠手	jiangshou,js
匠思	jiangsi,js
匠心	jiangxin,jx
匠心独具	jiangxinduju,jxdj
匠心独妙	jiangxindumiao,jxdm
匠心独运	jiangxinduyun,jxdy
匠学	jiangxue,jx
匠衙	jiangya,jy
匠役	jiangyi,jy
匠意	jiangyi,jy
匠营	jiangying,jy
匠郢	jiangying,jy
匠宰	jiangzai,jz
匠者	jiangzhe,jz
匠指	jiangzhi,jz
匠质	jiangzhi,jz
匠斲	jiangzhuo,jz
匠资	jiangzi,jz
匠作	jiangzuo,jz
