升拔	shengba,sb
升班	shengban,sb
升补	shengbu,sb
升擦	shengca,sc
升差	shengcha,sc
升常	shengchang,sc
升超	shengchao,sc
升朝	shengchao,sc
升朝官	shengchaoguan,scg
升车	shengche,sc
升沉	shengchen,sc
升除	shengchu,sc
升储	shengchu,sc
升绌	shengchu,sc
升黜	shengchu,sc
升船机	shengchuanji,scj
升第	shengdi,sd
升殿	shengdian,sd
升调	shengdiao,sd
升斗	shengdou,sd
升斗小民	shengdouxiaomin,sdxm
升陑	shenger,se
升发	shengfa,sf
升封	shengfeng,sf
升扶	shengfu,sf
升幅	shengfu,sf
升祔	shengfu,sf
升高	shenggao,sg
升高能赋	shenggaonengfu,sgnf
升歌	shengge,sg
升格	shengge,sg
升工	shenggong,sg
升汞	shenggong,sg
升官	shengguan,sg
升官发财	shengguanfacai,sgfc
升官图	shengguantu,sgt
升冠	shengguan,sg
升过	shengguo,sg
升号	shenghao,sh
升合	shenghe,sh
升恒	shengheng,sh
升斛	shenghu,sh
升花水	shenghuashui,shs
升华	shenghua,sh
升化	shenghua,sh
升火	shenghuo,sh
升跻	shengji,sj
升级	shengji,sj
升级换代	shengjihuandai,sjhd
升极	shengji,sj
升济	shengji,sj
升甲	shengjia,sj
升假	shengjia,sj
升降	shengjiang,sj
升降舵	shengjiangduo,sjd
升降机	shengjiangji,sjj
升阶	shengjie,sj
升结肠	shengjiechang,sjc
升进	shengjin,sj
升举	shengju,sj
升科	shengke,sk
升课	shengke,sk
升空	shengkong,sk
升力	shengli,sl
升俪	shengli,sl
升炼	shenglian,sl
升燎	shengliao,sl
升列	shenglie,sl
升龙	shenglong,sl
升没	shengmei,sm
升幂	shengmi,sm
升灭	shengmie,sm
升名	shengming,sm
升年	shengnian,sn
升瓯	shengou,so
升攀	shengpan,sp
升平	shengping,sp
升平帖	shengpingtie,spt
升魄	shengpo,sp
升旗	shengqi,sq
升旗仪式	shengqiyishi,sqys
升起	shengqi,sq
升气	shengqi,sq
升迁	shengqian,sq
升迁桥	shengqianqiao,sqq
升缺	shengque,sq
升任	shengren,sr
升荣	shengrong,sr
升入	shengru,sr
升山采珠	shengshancaizhu,sscz
升觞	shengshang,ss
升赏	shengshang,ss
升上	shengshang,ss
升勺	shengshao,ss
升市	shengshi,ss
升势	shengshi,ss
升首	shengshou,ss
升受	shengshou,ss
升授	shengshou,ss
升水	shengshui,ss
升耸	shengsong,ss
升汰	shengtai,st
升泰	shengtai,st
升堂	shengtang,st
升堂拜母	shengtangbaimu,stbm
升堂入室	shengtangrushi,strs
升腾	shengteng,st
升提	shengti,st
升天	shengtian,st
升眺	shengtiao,st
升厅	shengting,st
升统	shengtong,st
升望	shengwang,sw
升位	shengwei,sw
升温	shengwen,sw
升闻	shengwen,sw
升屋	shengwu,sw
升西天	shengxitian,sxt
升息	shengxi,sx
升曦	shengxi,sx
升遐	shengxia,sx
升霞	shengxia,sx
升仙	shengxian,sx
升仙桥	shengxianqiao,sxq
升仙太子	shengxiantaizi,sxtz
升险	shengxian,sx
升献	shengxian,sx
升晓	shengxiao,sx
升行	shengxing,sx
升虚	shengxu,sx
升序	shengxu,sx
升叙	shengxu,sx
升玄	shengxuan,sx
升学	shengxue,sx
升学率	shengxuelu,sxl
升压	shengya,sy
升压剂	shengyaji,syj
升扬	shengyang,sy
升阳殿	shengyangdian,syd
升药	shengyao,sy
升耀	shengyao,sy
升荫	shengyin,sy
升音	shengyin,sy
升引	shengyin,sy
升用	shengyong,sy
升侑	shengyou,sy
升舆	shengyu,sy
升踰	shengyu,sy
升驭	shengyu,sy
升元帖	shengyuantie,syt
升越	shengyue,sy
升云	shengyun,sy
升造	shengzao,sz
升则	shengze,sz
升涨	shengzhang,sz
升帐	shengzhang,sz
升值	shengzhi,sz
升职	shengzhi,sz
升帜	shengzhi,sz
升陟	shengzhi,sz
升秩	shengzhi,sz
升中	shengzhong,sz
升注	shengzhu,sz
升翥	shengzhu,sz
升转	shengzhuan,sz
升擢	shengzhuo,sz
升资	shengzi,sz
升子	shengzi,sz
升阻比	shengzubi,szb
升坐	shengzuo,sz
升祚	shengzuo,sz
升座	shengzuo,sz
