厚爱	houai,ha
厚薄	houbo,hb
厚薄规	houbogui,hbg
厚报	houbao,hb
厚币	houbi,hb
厚藏	houcang,hc
厚诚	houcheng,hc
厚此薄彼	houcibobi,hcbb
厚答	houda,hd
厚大	houda,hd
厚待	houdai,hd
厚道	houdao,hd
厚德	houde,hd
厚德载福	houdezaifu,hdzf
厚德载物	houdezaiwu,hdzw
厚地	houdi,hd
厚底鞋	houdixie,hdx
厚毒	houdu,hd
厚笃笃	houdu,hd
厚度	houdu,hd
厚敦敦	houdun,hd
厚墩墩	houdun,hd
厚墩儿	houduner,hde
厚恩	houen,he
厚非	houfei,hf
厚费	houfei,hf
厚奉	houfeng,hf
厚俸	houfeng,hf
厚福	houfu,hf
厚古薄今	hougubojin,hgbj
厚厚	hou,h
厚厚地	houde,hd
厚厚地涂	houdetu,hdt
厚厚地涂抹	houdetumo,hdtm
厚厚敦敦	houdun,hd
厚货	houhuo,hh
厚积	houji,hj
厚积薄发	houjibofa,hjbf
厚交	houjiao,hj
厚结	houjie,hj
厚今薄古	houjinbogu,hjbg
厚款	houkuan,hk
厚贶	houkuang,hk
厚坤	houkun,hk
厚礼	houli,hl
厚利	houli,hl
厚敛	houlian,hl
厚脸	houlian,hl
厚脸皮	houlianpi,hlp
厚脸皮地	houlianpide,hlpd
厚禄	houlu,hl
厚禄高官	houlugaoguan,hlgg
厚貌深辞	houmaoshenci,hmsc
厚貌深情	houmaoshenqing,hmsq
厚貌深文	houmaoshenwen,hmsw
厚密	houmi,hm
厚貎深辞	hounishenci,hnsc
厚皮馒头	houpimantou,hpmt
厚片	houpian,hp
厚泊	houbo,hb
厚朴	houpo,hp
厚情	houqing,hq
厚扰	hourao,hr
厚善	houshan,hs
厚生	housheng,hs
厚生劳动省	houshenglaodong,hsld
厚生利用	houshengliyong,hsly
厚生省	housheng,hs
厚生相	houshengxiang,hsx
厚施	houshi,hs
厚实	houshi,hs
厚死薄生	housibosheng,hsbs
厚土	houtu,ht
厚亡	houwang,hw
厚往薄来	houwangbaolai,hwbl
厚望	houwang,hw
厚味	houwei,hw
厚味腊毒	houweixidu,hwxd
厚问	houwen,hw
厚诬	houwu,hw
厚下	houxia,hx
厚谢	houxie,hx
厚幸	houxing,hx
厚言	houyan,hy
厚颜	houyan,hy
厚颜地	houyande,hyd
厚颜无耻	houyanwuchi,hywc
厚养	houyang,hy
厚养薄葬	houyangbozang,hybz
厚夜	houye,hy
厚谊	houyi,hy
厚意	houyi,hy
厚遇	houyu,hy
厚载	houzai,hz
厚葬	houzang,hz
厚泽	houze,hz
厚直	houzhi,hz
厚秩	houzhi,hz
厚重	houzhong,hz
厚重地	houzhongde,hzd
厚嘴绿鸠	houzuilujiu,hzlj
厚嘴苇莺	houzuiweiying,hzwy
厚嘴啄花鸟	houzuizhuohuaniao,hzzhn
