原案	yuanan,ya
原班人马	yuanbanrenma,ybrm
原板	yuanban,yb
原版	yuanban,yb
原爆	yuanbao,yb
原爆点	yuanbaodian,ybd
原被	yuanbei,yb
原被告	yuanbeigao,ybg
原本	yuanben,yb
原璧归赵	yuanbiguizhao,ybgz
原伯	yuanbo,yb
原材料	yuancailiao,ycl
原蚕	yuancan,yc
原察	yuancha,yc
原产	yuanchan,yc
原产地	yuanchandi,ycd
原产国	yuanchanguo,ycg
原尝	yuanchang,yc
原唱	yuanchang,yc
原虫	yuanchong,yc
原畴	yuanchou,yc
原初	yuanchu,yc
原除	yuanchu,yc
原处	yuanchu,yc
原创	yuanchuang,yc
原创性	yuanchuangxing,ycx
原词	yuanci,yc
原辞	yuanci,yc
原贷	yuandai,yd
原荡	yuandang,yd
原道	yuandao,yd
原地	yuandi,yd
原地踏步	yuanditabu,ydtb
原底	yuandi,yd
原底子	yuandizi,ydz
原典版	yuandianban,ydb
原点	yuandian,yd
原点矩	yuandianju,ydj
原定	yuanding,yd
原动力	yuandongli,ydl
原度	yuandu,yd
原对	yuandui,yd
原额	yuane,ye
原发性	yuanfaxing,yfx
原发性进行性失语	yuanfaxingjinshiyu,yfxjsy
原防	yuanfang,yf
原放	yuanfang,yf
原封	yuanfeng,yf
原封不动	yuanfengbudong,yfbd
原封货	yuanfenghuo,yfh
原封头	yuanfengtou,yft
原封未动	yuanfengweidong,yfwd
原稿	yuangao,yg
原告	yuangao,yg
原鸽	yuange,yg
原隔	yuange,yg
原供	yuangong,yg
原沟	yuangou,yg
原故	yuangu,yg
原官	yuanguan,yg
原函数	yuanhanshu,yhs
原何	yuanhe,yh
原核	yuanhe,yh
原核生物	yuanheshengwu,yhsw
原核生物界	yuanheshengwujie,yhswj
原核细胞	yuanhexibao,yhxb
原核细胞型微生物	yuanhexibaoxingweishengwu,yhxbxwsw
原话	yuanhua,yh
原活	yuanhuo,yh
原籍	yuanji,yj
原价	yuanjia,yj
原件	yuanjian,yj
原浆	yuanjiang,yj
原降	yuanjiang,yj
原旧	yuanjiu,yj
原居	yuanju,yj
原卷	yuanjuan,yj
原刻	yuanke,yk
原来	yuanlai,yl
原来地	yuanlaide,yld
原来如此	yuanlairuci,ylrc
原理	yuanli,yl
原粮	yuanliang,yl
原亮	yuanliang,yl
原谅	yuanliang,yl
原谅色	yuanliangse,yls
原燎	yuanliao,yl
原料	yuanliao,yl
原陵	yuanling,yl
原鸰	yuanling,yl
原流	yuanliu,yl
原陆	yuanlu,yl
原路	yuanlu,yl
原马	yuanma,ym
原毛	yuanmao,ym
原貌	yuanmao,ym
原媒	yuanmei,ym
原煤	yuanmei,ym
原梦	yuanmeng,ym
原棉	yuanmian,ym
原免	yuanmian,ym
原庙	yuanmiao,ym
原名	yuanming,ym
原谋	yuanmou,ym
原木	yuanmu,ym
原南斯拉夫	yuannansilafu,ynslf
原年	yuannian,yn
原念	yuannian,yn
原牛	yuanniu,yn
原判	yuanpan,yp
原配	yuanpei,yp
原品休致	yuanpinxiuzhi,ypxz
原平	yuanping,yp
原平市	yuanpingshi,yps
原圃	yuanpu,yp
原起	yuanqi,yq
原气	yuanqi,yq
原契	yuanqi,yq
原遣	yuanqian,yq
原禽	yuanqin,yq
原情	yuanqing,yq
原情定过	yuanqingdingguo,yqdg
原曲	yuanqu,yq
原泉	yuanquan,yq
原悫	yuanque,yq
原人	yuanren,yr
原任	yuanren,yr
原色	yuanse,ys
原赦	yuanshe,ys
原身	yuanshen,ys
原审	yuanshen,ys
原肾管	yuanshenguan,ysg
