变暗	bianan,ba
变把戏	bianbaxi,bbx
变豹	bianbao,bb
变本加厉	bianbenjiali,bbjl
变褊	bian,b
变兵	bianbing,bb
变裁	biancai,bc
变察	biancha,bc
变产	bianchan,bc
变常	bianchang,bc
变场	bianchang,bc
变成	biancheng,bc
变丑	bianchou,bc
变除	bianchu,bc
变辞	bianci,bc
变缞	bianshuai,bs
变大雅	biandaya,bdy
变蛋	biandan,bd
变道	biandao,bd
变得	biande,bd
变电	biandian,bd
变电器	biandianqi,bdq
变电站	biandianzhan,bdz
变调	biandiao,bd
变调夹	biandiaojia,bdj
变动	biandong,bd
变动不居	biandongbuju,bdbj
变端	bianduan,bd
变法	bianfa,bf
变法儿	bianfaer,bfe
变分	bianfen,bf
变分法	bianfenfa,bff
变分学	bianfenxue,bfx
变分原理	bianfenyuanli,bfyl
变风	bianfeng,bf
变风改俗	bianfenggaisu,bfgs
变风易俗	bianfengyisu,bfys
变服	bianfu,bf
变复	bianfu,bf
变改	biangai,bg
变柑	biangan,bg
变告	biangao,bg
变革	biange,bg
变革管理	biangeguanli,bggl
变格	biange,bg
变隔	biange,bg
变更	biangeng,bg
变工	biangong,bg
变工队	biangongdui,bgd
变宫	biangong,bg
变躬迁席	biangongqianxi,bgqx
变古乱常	bianguluanchang,bglc
变古易常	bianguyichang,bgyc
变古易俗	bianguyisu,bgys
变故	biangu,bg
变故易常	bianguyichang,bgyc
变卦	biangua,bg
变怪	bianguai,bg
变贯	bianguan,bg
变轨	biangui,bg
变骇	bianhai,bh
变号	bianhao,bh
变黑	bianhei,bh
变红	bianhong,bh
变后掠翼飞机	bianhoulueyifeiji,bhlyfj
变厚	bianhou,bh
变互	bianhu,bh
变化	bianhua,bh
变化不测	bianhuabuce,bhbc
变化不穷	bianhuabuqiong,bhbq
变化多端	bianhuaduoduan,bhdd
变化莫测	bianhuamoce,bhmc
变化如神	bianhuarushen,bhrs
变化身	bianhuashen,bhs
变化无常	bianhuawuchang,bhwc
变化无穷	bianhuawuqiong,bhwq
变化音	bianhuayin,bhy
变坏	bianhuai,bh
变坏地	bianhuaide,bhd
变幻	bianhuan,bh
变幻不测	bianhuanbuce,bhbc
变幻莫测	bianhuanmoce,bhmc
变幻无常	bianhuanwuchang,bhwc
变幻无穷	bianhuanwuqiong,bhwq
变换	bianhuan,bh
变换群	bianhuanqun,bhq
变换设备	bianhuanshebei,bhsb
变回	bianhui,bh
变悔	bianhui,bh
变活	bianhuo,bh
变火	bianhuo,bh
变惑	bianhuo,bh
变机	bianji,bj
变急	bianji,bj
变几	bianji,bj
变计	bianji,bj
变记号	bianjihao,bjh
变价	bianjia,bj
变见	bianjian,bj
变焦	bianjiao,bj
变焦环	bianjiaohuan,bjh
变焦距镜头	bianjiaojujingtou,bjjjt
变揭	bianjie,bj
变节	bianjie,bj
变警	bianjing,bj
变咎	bianjiu,bj
变局	bianju,bj
变橘	bianju,bj
变矩器	bianjuqi,bjq
变口	biankou,bk
变苦	bianku,bk
变快地	biankuaide,bkd
变亏	biankui,bk
变老	bianlao,bl
变泐	bianle,bl
变醨养瘠	bianliyangji,blyj
变礼	bianli,bl
变理	bianli,bl
变例	bianli,bl
变脸	bianlian,bl
变脸变色	bianlianse,bls
变量	bianliang,bl
变流器	bianliuqi,blq
变律	bianlu,bl
变率	bianlu,bl
变乱	bianluan,bl
变卖	bianmai,bm
变卖典质	bianmaidianzhi,bmdz
变貌	bianmao,bm
变面	bianmian,bm
变灭	bianmie,bm
变名易姓	bianmingyixing,bmyx
变魔术	bianmoshu,bms
变谋	bianmou,bm
变难	biannan,bn
变弄	biannong,bn
变暖	biannuan,bn
变频	bianpin,bp
变齐	bianqi,bq
变气	bianqi,bq
变弃	bianqi,bq
变迁	bianqian,bq
变迁地	bianqiande,bqd
变巧	bianqiao,bq
变趋	bianqu,bq
变权	bianquan,bq
变人	bianren,br
变容	bianrong,br
变容二极管	bianrongerjiguan,brejg
变容改俗	bianronggaisu,brgs
变软	bianruan,br
变色	bianse,bs
变色镜	biansejing,bsj
变色龙	bianselong,bsl
变色漆	bianseqi,bsq
变色眼镜	bianseyanjing,bsyj
变色易容	bianseyirong,bsyr
变色之言	biansezhiyan,bszy
变商	bianshang,bs
变身	bianshen,bs
变生不测	bianshengbuce,bsbc
变生肘腋	bianshengzhouye,bszy
变声	biansheng,bs
变省	biansheng,bs
变眚	biansheng,bs
变时	bianshi,bs
变食	bianshi,bs
变事	bianshi,bs
变势	bianshi,bs
变饰	bianshi,bs
变术	bianshu,bs
变数	bianshu,bs
变数器	bianshuqi,bsq
变死	biansi,bs
变颂	biansong,bs
变俗	biansu,bs
变俗易教	biansuyijiao,bsyj
变速	biansu,bs
变速传动	biansuchuandong,bscd
变速杆	biansugan,bsg
变速器	biansuqi,bsq
变速箱	biansuxiang,bsx
变速运动	biansuyundong,bsyd
变态	biantai,bt
