台安	taian,ta
台安县	taianxian,tax
台巴子	taibazi,tbz
台磅	taibang,tb
台胞	taibao,tb
台胞证	taibaozheng,tbz
台堡	taipu,tp
台北	taibei,tb
台北捷运	taibeijieyun,tbjy
台北金马影展	taibeijinmayingzhan,tbjmyz
台北市	taibeishi,tbs
台北县	taibeixian,tbx
台背	taibei,tb
台币	taibi,tb
台弼	taibi,tb
台兵	taibing,tb
台伯河	taibohe,tbh
台布	taibu,tb
台步	taibu,tb
台菜	taicai,tc
台臣	taichen,tc
台城	taicheng,tc
台秤	taicheng,tc
台勑	tailai,tl
台词	taici,tc
台从	taicong,tc
台大	taida,td
台骀	taidai,td
台地	taidi,td
台灯	taideng,td
台谍	taidie,td
台鼎	taiding,td
台东	taidong,td
台东市	taidongshi,tds
台东县	taidongxian,tdx
台斗	taidou,td
台独	taidu,td
台端	taiduan,td
台儿庄	taierzhuang,tez
台儿庄区	taierzhuangqu,tezq
台儿庄战役	taierzhuangzhanyi,tezzy
台坊	taifang,tf
台风	taifeng,tf
台符	taifu,tf
台甫	taifu,tf
台府	taifu,tf
台辅	taifu,tf
台傅	taifu,tf
台纲	taigang,tg
台阁	taige,tg
台阁生风	taigeshengfeng,tgsf
台阁体	taigeti,tgt
台格	taige,tg
台估	taigu,tg
台股	taigu,tg
台观	taiguan,tg
台官	taiguan,tg
台馆	taiguan,tg
台光	taiguang,tg
台衮	taigun,tg
台孩	taihai,th
台海	taihai,th
台翰	taihan,th
台衡	taiheng,th
台候	taihou,th
台虎钳	taihuqian,thq
台槐	taihuai,th
台宦	taihuan,th
台讳	taihui,th
台积电	taijidian,tjd
台基	taiji,tj
台吉	taiji,tj
台家	taijia,tj
台驾	taijia,tj
台检	taijian,tj
台谏	taijian,tj
台鉴	taijian,tj
台江	taijiang,tj
台江区	taijiangqu,tjq
台江县	taijiangxian,tjx
台教	taijiao,tj
台阶	taijie,tj
台阶地	taijiede,tjd
台阶平	taijieping,tjp
台斤	taijin,tj
台禁	taijin,tj
台军	taijun,tj
台客	taike,tk
台览	tailan,tl
台郎	tailang,tl
台历	taili,tl
台吏	taili,tl
台隶	taili,tl
台笠	taili,tl
台令	tailing,tl
台罗字	tailuozi,tlz
台媒	taimei,tm
台妹	taimei,tm
台门	taimen,tm
台盟	taimeng,tm
台面	taimian,tm
台面呢	taimianni,tmn
台命	taiming,tm
台南	tainan,tn
台南府	tainanfu,tnf
台南市	tainanshi,tns
台盘	taipan,tp
台盆	taipen,tp
台评	taiping,tp
台屏	taiping,tp
台仆	taipu,tp
台启	taiqi,tq
台前	taiqian,tq
台前县	taiqianxian,tqx
台遣使	taiqianshi,tqs
台球	taiqiu,tq
台球桌	taiqiuzhuo,tqz
台任	tairen,tr
台桑	taisang,ts
台山	taishan,ts
台山话	taishanhua,tsh
台山市	taishanshi,tss
台扇	taishan,ts
台商	taishang,ts
台上	taishang,ts
台尚	taishang,ts
台省	taisheng,ts
台使	taishi,ts
台式	taishi,ts
台式电脑	taishidiannao,tsdn
台式机	taishiji,tsj
台视	taishi,ts
台室	taishi,ts
台属	taishu,ts
台司	taisi,ts
台宿	taisu,ts
台所	taisuo,ts
台台	tai,t
台庭	taiting,tt
台湾	taiwan,tw
台湾白喉噪鹛	taiwanbaihouzaomei,twbhzm
台湾斑翅鹛	taiwanbanchimei,twbcm
台湾斑胸钩嘴鹛	taiwanbanxionggouzuimei,twbxgzm
台湾鹎	taiwanbei,twb
台湾大学	taiwandaxue,twdx
台湾戴菊	taiwandaiju,twdj
台湾岛	taiwandao,twd
台湾短翅莺	taiwanduanchiying,twdcy
台湾关系法	taiwanguanxifa,twgxf
台湾海峡	taiwanhaixia,twhx
台湾画眉	taiwanhuamei,twhm
台湾话	taiwanhua,twh
台湾黄山雀	taiwanhuangshanque,twhsq
台湾鹪鹛	taiwanjiaomei,twjm
台湾酒红朱雀	taiwanjiuhongzhuque,twjhzq
台湾蓝鹊	taiwanlanque,twlq
台湾林鸲	taiwanlinqu,twlq
台湾民主自治同盟	taiwanminzhuzizhitongmeng,twmzzztm
台湾拟啄木鸟	taiwannizhuomuniao,twnzmn
台湾雀鹛	taiwanquemei,twqm
台湾山鹧鸪	taiwanshanzhegu,twszg
台湾省	taiwansheng,tws
台湾土狗	taiwantugou,twtg
台湾叶鼻蝠	taiwanyebifu,twybf
台湾紫啸鸫	taiwanzixiaodong,twzxd
台湾棕颈钩嘴鹛	taiwanzongjinggouzuimei,twzjgzm
台湾棕噪鹛	taiwanzongzaomei,twzzm
台位	taiwei,tw
台倭	taiwo,tw
台西	taixi,tx
台西乡	taixixiang,txx
台席	taixi,tx
台檄	taixi,tx
台辖	taixia,tx
台下	taixia,tx
台衔	taixian,tx
台宪	taixian,tx
台相	taixiang,tx
台谢	taixie,tx
台榭	taixie,tx
台星	taixing,tx
台铉	taixuan,tx
台严	taiyan,ty
台颜	taiyan,ty
台语	taiyu,ty
台驭	taiyu,ty
台狱	taiyu,ty
台岳	taiyue,ty
台杂	taiza,tz
台宰	taizai,tz
台盏	taizhan,tz
台琖	taizhan,tz
台站	taizhan,tz
台长	taizhang,tz
台照	taizhao,tz
台旨	taizhi,tz
台制	taizhi,tz
台秩	taizhi,tz
台中	taizhong,tz
台中市	taizhongshi,tzs
台中县	taizhongxian,tzx
台钟	taizhong,tz
台州	taizhou,tz
台州地区	taizhoudiqu,tzdq
台州市	taizhoushi,tzs
台柱	taizhu,tz
台柱子	taizhuzi,tzz
台资	taizi,tz
台子	taizi,tz
台宗	taizong,tz
台坐	taizuo,tz
台座	taizuo,tz
