叱拨	chibo,cb
叱叱	chi,c
叱斥	chi,c
叱搭	chida,cd
叱犊	chidu,cd
叱咄	chiduo,cd
叱干	chigan,cg
叱怪	chiguai,cg
叱诃	chihe,ch
叱呵	chihe,ch
叱喝	chihe,ch
叱呼	chihu,ch
叱叫	chijiao,cj
叱嗟	chijie,cj
叱嗟风云	chijiefengyun,cjfy
叱咀	chizui,cz
叱李	chili,cl
叱利	chili,cl
叱詈	chili,cl
叱列	chilie,cl
叱列伏	chiliefu,clf
叱令	chiling,cl
叱吕引	chiluyin,cly
叱罗	chiluo,cl
叱骂	chima,cm
叱名	chiming,cm
叱奴	chinu,cn
叱嚷	chirang,cr
叱辱	chiru,cr
叱石	chishi,cs
叱石成羊	chishichengyang,cscy
叱索	chisuo,cs
叱滩	chitan,ct
叱问	chiwen,cw
叱吸	chixi,cx
叱羊肠	chiyangchang,cyc
叱驭	chiyu,cy
叱责	chize,cz
叱责地	chizede,czd
叱吒	chizha,cz
叱咤	chizha,cz
叱咤风云	chizhafengyun,czfy
