右榜	youbang,yb
右壁厢	youbixiang,ybx
右臂	youbi,yb
右边	youbian,yb
右边儿	youbianer,ybe
右部	youbu,yb
右骖	youcan,yc
右藏	youcang,yc
右侧	youce,yc
右丞相	youchengxiang,ycx
右传之八章	youchuanzhibazhang,yczbz
右地	youdi,yd
右貂	youdiao,yd
右都御史	youduyushi,ydys
右对齐	youduiqi,ydq
右舵	youduo,yd
右耳	youer,ye
右方	youfang,yf
右飞	youfei,yf
右扶风	youfufeng,yff
右符	youfu,yf
右府	youfu,yf
右辅	youfu,yf
右个	youge,yg
右更	yougeng,yg
右广	youguang,yg
右横	youheng,yh
右翦左屠	youjianzuotu,yjzt
右箭头	youjiantou,yjt
右箭头键	youjiantou,yjt
右江	youjiang,yj
右江区	youjiangqu,yjq
右拒	youju,yj
右军	youjun,yj
右军习气	youjunxiqi,yjxq
右科	youke,yk
右客	youke,yk
右口	youkou,yk
右揆	youkui,yk
右肋	youle,yl
右列	youlie,yl
右面	youmian,ym
右派	youpai,yp
右派分子	youpaifenzi,ypfz
右戚	youqi,yq
右契	youqi,yq
右迁	youqian,yq
右佥都御史	youqianduyushi,yqdys
右牵	youqian,yq
右前卫	youqianwei,yqw
右寝	youqin,yq
右倾	youqing,yq
右券	youquan,yq
右衽	youren,yr
右上	youshang,ys
右哨	youshao,ys
右省	yousheng,ys
右师	youshi,ys
右史	youshi,ys
右侍郎	youshilang,ysl
右势下	youshixia,ysx
右手	youshou,ys
右手画圆	youshouhuayuan,yshy
右首	youshou,ys
右署	youshu,ys
右袒	youtan,yt
右堂	youtang,yt
右文	youwen,yw
右文说	youwenshuo,yws
右武	youwu,yw
右席	youxi,yx
右辖	youxia,yx
右下	youxia,yx
右贤	youxian,yx
右舷	youxian,yx
右相	youxiang,yx
右相丹青	youxiangdanqing,yxdq
右飨	youxiang,yx
右行	youxing,yx
右姓	youxing,yx
右序	youxu,yx
右旋地	youxuande,yxd
右选	youxuan,yx
右学	youxue,yx
右掖	youye,yy
右移	youyi,yy
右翼	youyi,yy
右臆	youyi,yy
右尹	youyin,yy
右鱼	youyu,yy
右与	youyu,yy
右玉	youyu,yy
右玉县	youyuxian,yyx
右垣	youyuan,yy
右援	youyuan,yy
右宰	youzai,yz
右仗	youzhang,yz
右执法	youzhifa,yzf
右职	youzhi,yz
右趾	youzhi,yz
右主	youzhu,yz
右转	youzhuan,yz
右族	youzu,yz
右座	youzuo,yz
