号板	haoban,hb
号躃	haobi,hb
号兵	haobing,hb
号簿	haobu,hb
号称	haocheng,hc
号辞	haoci,hc
号灯	haodeng,hd
号笛	haodi,hd
号谍	haodie,hd
号顿	haodun,hd
号房	haofang,hf
号服	haofu,hf
号弓	haogong,hg
号褂	haogua,hg
号寒啼饥	haohantiji,hhtj
号号	hao,h
号呼	haohu,hh
号火	haohuo,hh
号件	haojian,hj
号角	haojiao,hj
号叫	haojiao,hj
号噭	haojiao,hj
号戒	haojie,hj
号唫	haoyin,hy
号军	haojun,hj
号坎	haokan,hk
号坎儿	haokaner,hke
号哭	haoku,hk
号帘	haolian,hl
号令	haoling,hl
号令如山	haolingrushan,hlrs
号码	haoma,hm
号码机	haomaji,hmj
号码牌	haomapai,hmp
号脉	haomai,hm
号名	haoming,hm
号慕	haomu,hm
号呶	haonao,hn
号怒	haonu,hn
号牌	haopai,hp
号炮	haopao,hp
号擗	haopi,hp
号屏	haoping,hp
号旗	haoqi,hq
号泣	haoqi,hq
号群	haoqun,hq
号然	haoran,hr
号丧	haosang,hs
号色	haose,hs
号嗄	haoa,ha
号哨	haoshao,hs
号舍	haoshe,hs
号谥	haoshi,hs
号手	haoshou,hs
号数	haoshu,hs
号嘶	haosi,hs
号诉	haosu,hs
号愬	haoshuo,hs
号咷	haotao,ht
号咷大哭	haotaodaku,htdk
号啕	haotao,ht
号啕大哭	haotaodaku,htdk
号天	haotian,ht
号天扣地	haotiankoudi,htkd
号筒	haotong,ht
号恸	haotong,ht
号头	haotou,ht
号外	haowai,hw
号位	haowei,hw
号型	haoxing,hx
号衣	haoyi,hy
号音	haoyin,hy
号吟	haoyin,hy
号踊	haoyong,hy
号曰	haoyue,hy
号噪	haozao,hz
号召	haozhao,hz
号召力	haozhaoli,hzl
号踯	haozhi,hz
号纸	haozhi,hz
号志	haozhi,hz
号志灯	haozhideng,hzd
号钟	haozhong,hz
号子	haozi,hz
