各安生业	geanshengye,gasy
各白	gebai,gb
各白世人	gebaishiren,gbsr
各半	geban,gb
各奔东西	gebendongxi,gbdx
各奔前程	gebenqiancheng,gbqc
各别	gebie,gb
各别地	gebiede,gbd
各别世人	gebieshiren,gbsr
各不定	gebuding,gbd
各不相谋	gebuxiangmou,gbxm
各不相让	gebuxiangrang,gbxr
各不相同	gebuxiangtong,gbxt
各持己见	gechijijian,gcjj
各处	gechu,gc
各从其志	gecongqizhi,gcqz
各打五十大板	gedawushiban,gdwsb
各得其所	gedeqisuo,gdqs
各得其宜	gedeqiyi,gdqy
各地	gedi,gd
各方	gefang,gf
各负其责	gefuqize,gfqz
各干一行	geganyixing,ggyx
各个	ge,g
各个地	gede,gd
各个击破	gejipo,gjp
各各	ge,g
各国	geguo,gg
各级	geji,gj
各家各户	gejiahu,gjh
各界	gejie,gj
各界人士	gejierenshi,gjrs
各尽其职	gejinqizhi,gjqz
各尽所能	gejinsuoneng,gjsn
各就各位	gejiuwei,gjw
各拉丹冬峰	geladandongfeng,glddf
各拉丹冬山	geladandongshan,gldds
各拉丹冬雪山	geladandongxueshan,glddxs
各剌剌	gela,gl
各琅琅	gelang,gl
各类	gelei,gl
各领风骚	gelingfengsao,glfs
各落	geluo,gl
各扭儿	geniuer,gne
各取所需	gequsuoxu,gqsx
各取所长	gequsuochang,gqsc
各人	geren,gr
各人自扫门前雪	gerenzisaomenqianxue,grzsmqx
各肉儿各疼	gerouerteng,gret
各色	gese,gs
各色各样	geseyang,gsy
各色名样	gesemingyang,gsmy
各色人等	geserendeng,gsrd
各市地	geshide,gsd
各式各样	geshiyang,gsy
各抒己见	geshujijian,gsjj
各抒所见	geshusuojian,gssj
各司其事	gesiqishi,gsqs
各司其职	gesiqizhi,gsqz
各为其主	geweiqizhu,gwqz
各位	gewei,gw
各显其能	gexianqineng,gxqn
各显神通	gexianshentong,gxst
各显所长	gexiansuochang,gxsc
各行各业	gehangye,ghy
各行其道	gexingqidao,gxqd
各行其事	gexingqishi,gxqs
各行其是	gexingqishi,gxqs
各行其志	gexingqizhi,gxqz
各养的各疼	geyangdeteng,gydt
各样	geyang,gy
各异	geyi,gy
各有千秋	geyouqianqiu,gyqq
各有所短	geyousuoduan,gysd
各有所好	geyousuohao,gysh
各有所长	geyousuochang,gysc
各有所职	geyousuozhi,gysz
各扎邦	gezhabang,gzb
各支	gezhi,gz
各支支	gezhi,gz
各执己见	gezhijijian,gzjj
各执所见	gezhisuojian,gzsj
各执一词	gezhiyici,gzyc
各种	gezhong,gz
各种各样	gezhongyang,gzy
各种颜色	gezhongyanse,gzys
各自	gezi,gz
各自地	gezide,gzd
各自为战	geziweizhan,gzwz
各自为政	geziweizheng,gzwz
