吉安	jian,ja
吉安地区	jiandiqu,jadq
吉安市	jianshi,jas
吉安县	jianxian,jax
吉安乡	jianxiang,jax
吉百利	jibaili,jbl
吉拜	jibai,jb
吉贝	jibei,jb
吉贝裘	jibeiqiu,jbq
吉本斯	jibensi,jbs
吉伯特氏症候群	jiboteshizhenghouqun,jbtszhq
吉卜	jibu,jb
吉卜力工作室	jibuligongzuoshi,jblgzs
吉卜赛	jibusai,jbs
吉卜赛人	jibusairen,jbsr
吉布地	jibudi,jbd
吉布提	jibuti,jbt
吉财	jicai,jc
吉昌	jichang,jc
吉臣	jichen,jc
吉辰	jichen,jc
吉谶	jichen,jc
吉词	jici,jc
吉从	jicong,jc
吉达	jida,jd
吉打	jida,jd
吉大港	jidagang,jdg
吉旦	jidan,jd
吉当当	jidang,jd
吉德	jide,jd
吉地	jidi,jd
吉迪恩	jidien,jde
吉禘	jidi,jd
吉典	jidian,jd
吉电子伏	jidianzifu,jdzf
吉佃王	jidianwang,jdw
吉吊	jidiao,jd
吉丁	jiding,jd
吉丁虫	jidingchong,jdc
吉丁当	jidingdang,jdd
吉丁疙疸	jidinggedan,jdgd
吉丢疙疸	jidiugedan,jdgd
吉丢古堆	jidiugudui,jdgd
吉恩	jien,je
吉尔伯特	jierbote,jebt
吉尔伯特群岛	jierbotequndao,jebtqd
吉尔达	jierda,jed
吉尔吉斯	jiersi,jes
吉尔吉斯人	jiersiren,jesr
吉尔吉斯斯坦	jiersitan,jest
吉尔吉斯坦	jiersitan,jest
吉尔吉斯族	jiersizu,jesz
吉服	jifu,jf
吉符	jifu,jf
吉福	jifu,jf
吉甫	jifu,jf
吉甫颂	jifusong,jfs
吉故	jigu,jg
吉卦	jigua,jg
吉馆	jiguan,jg
吉光	jiguang,jg
吉光凤羽	jiguangfengyu,jgfy
吉光片裘	jiguangpianqiu,jgpq
吉光片羽	jiguangpianyu,jgpy
吉光裘	jiguangqiu,jgq
吉圭	jigui,jg
吉亥	jihai,jh
吉诃德	jihede,jhd
吉呵德	jihede,jhd
吉亨	jiheng,jh
吉皇	jihuang,jh
吉黄	jihuang,jh
吉笄	ji,j
吉祭	ji,j
吉佳利	jijiali,jjl
吉驾	jijia,jj
吉金	jijin,jj
吉剧	jiju,jj
吉屦	jiju,jj
吉蠲	jijuan,jj
吉康	jikang,jk
吉拉德	jilade,jld
吉拉尼	jilani,jln
吉兰丹	jilandan,jld
吉兰丹河	jilandanhe,jldh
吉兰丹州	jilandanzhou,jldz
吉了	jile,jl
吉勒	jile,jl
吉礼	jili,jl
吉里巴斯	jilibasi,jlbs
吉里骨碌	jiligulu,jlgl
吉利	jili,jl
吉利草	jilicao,jlc
吉利地	jilide,jld
吉利服	jilifu,jlf
吉利区	jiliqu,jlq
吉良	jiliang,jl
吉量	jiliang,jl
吉列	jilie,jl
吉林	jilin,jl
吉林大学	jilindaxue,jldx
吉林省	jilinsheng,jls
吉林市	jilinshi,jls
吉令令	jiling,jl
吉隆	jilong,jl
吉隆坡	jilongpo,jlp
吉隆县	jilongxian,jlx
吉鲁巴	jiluba,jlb
吉禄	jilu,jl
吉罗米突	jiluomitu,jlmt
吉罗香	jiluoxiang,jlx
吉梦	jimeng,jm
吉米	jimi,jm
吉命	jiming,jm
吉莫	jimo,jm
吉莫靴	jimoxue,jmx
吉莫鞾	jimoxue,jmx
吉木乃	jimunai,jmn
吉木乃县	jimunaixian,jmnx
吉木萨尔	jimusaer,jmse
吉木萨尔县	jimusaerxian,jmsex
吉尼斯	jinisi,jns
吉尼系数	jinixishu,jnxs
吉普	jipu,jp
吉普车	jipuche,jpc
吉普女郎	jipunulang,jpnl
吉普赛人	jipusairen,jpsr
吉普斯夸	jipusikua,jpsk
吉期	jiqi,jq
吉器	jiqi,jq
吉阡	jiqian,jq
吉钱	jiqian,jq
吉强镇	jiqiangzhen,jqz
吉庆	jiqing,jq
吉庆花	jiqinghua,jqh
吉壤	jirang,jr
吉人	jiren,jr
吉人天相	jirentianxiang,jrtx
吉人自有天相	jirenziyoutianxiang,jrzytx
吉日	jiri,jr
吉日良辰	jiriliangchen,jrlc
吉日良时	jiriliangshi,jrls
吉瑞	jirui,jr
吉善	jishan,js
吉神	jishen,js
吉时	jishi,js
吉食	jishi,js
吉士	jishi,js
吉士粉	jishifen,jsf
吉事	jishi,js
吉事果	jishiguo,jsg
吉首	jishou,js
吉首市	jishoushi,jss
吉水	jishui,js
吉水县	jishuixian,jsx
吉朔	jishuo,js
吉巳	jisi,js
吉他	jita,jt
吉他谱	jitapu,jtp
吉他手	jitashou,jts
吉它	jita,jt
吉特巴	jiteba,jtb
吉田	jitian,jt
吉帖	jitie,jt
吉土	jitu,jt
吉娃娃	jiwa,jw
吉网	jiwang,jw
吉网罗钳	jiwangluoqian,jwlq
吉问	jiwen,jw
吉乌	jiwu,jw
吉物	jiwu,jw
吉席	jixi,jx
吉喜	jixi,jx
吉县	jixian,jx
吉祥	jixiang,jx
吉祥板	jixiangban,jxb
吉祥草	jixiangcao,jxc
吉祥杵	jixiangchu,jxc
吉祥海云	jixianghaiyun,jxhy
吉祥如意	jixiangruyi,jxry
