名班	mingban,mb
名邦	mingbang,mb
名榜	mingbang,mb
名宝	mingbao,mb
名辈	mingbei,mb
名笔	mingbi,mb
名辩	mingbian,mb
名标青史	mingbiaoqingshi,mbqs
名表	mingbiao,mb
名表郎官	mingbiaolangguan,mblg
名捕	mingbu,mb
名不符实	mingbufushi,mbfs
名不副实	mingbufushi,mbfs
名不见经传	mingbujianjingzhuan,mbjjz
名不虚传	mingbuxuchuan,mbxc
名不虚得	mingbuxude,mbxd
名不虚立	mingbuxuli,mbxl
名不正	mingbuzheng,mbz
名不正言不顺	mingbuzhengyanshun,mbzys
名部	mingbu,mb
名簿	mingbu,mb
名才	mingcai,mc
名材	mingcai,mc
名菜	mingcai,mc
名册	mingce,mc
名茶	mingcha,mc
名察	mingcha,mc
名产	mingchan,mc
名场	mingchang,mc
名倡	mingchang,mc
名唱	mingchang,mc
名臣	mingchen,mc
名称	mingcheng,mc
名称标签	mingchengbiaoqian,mcbq
名称权	mingchengquan,mcq
名城	mingcheng,mc
名程	mingcheng,mc
名驰遐迩	mingchixiaer,mcxe
名厨	mingchu,mc
名川	mingchuan,mc
名垂后世	mingchuihoushi,mchs
名垂千古	mingchuiqiangu,mcqg
名垂青史	mingchuiqingshi,mcqs
名垂万古	mingchuiwangu,mcwg
名垂竹帛	mingchuizhubo,mczb
名词	mingci,mc
名词性地	mingcixingde,mcxd
名次	mingci,mc
名刺	mingci,mc
名从主人	mingcongzhuren,mczr
名存实亡	mingcunshiwang,mcsw
名达	mingda,md
名答	mingda,md
名单	mingdan,md
名旦	mingdan,md
名德	mingde,md
名德重望	mingdezhongwang,mdzw
名地	mingdi,md
名第	mingdi,md
名牒	mingdie,md
名都	mingdou,md
名额	minge,me
名儿	minger,me
名阀	mingfa,mf
名法	mingfa,mf
名藩	mingfan,mf
名方	mingfang,mf
名分	mingfen,mf
名符其实	mingfuqishi,mfqs
名父	mingfu,mf
名副其实	mingfuqishi,mfqs
名高	minggao,mg
名高难副	minggaonanfu,mgnf
名高天下	minggaotianxia,mgtx
名根	minggen,mg
名工	minggong,mg
名公	minggong,mg
名公巨卿	minggongjuqing,mgjq
名公巨人	minggongjuren,mgjr
名公钜卿	minggongjuqing,mgjq
名公钜人	minggongjuren,mgjr
名古屋	mingguwu,mgw
名贯	mingguan,mg
名贵	minggui,mg
名过其实	mingguoqishi,mgqs
名豪	minghao,mh
名号	minghao,mh
名号侯	minghaohou,mhh
名花	minghua,mh
名花有主	minghuayouzhu,mhyz
名华	minghua,mh
名画	minghua,mh
名画家	minghuajia,mhj
名宦	minghuan,mh
名讳	minghui,mh
名姬	mingji,mj
名鞿利鞚	mingjilikong,mjlk
名级	mingji,mj
名籍	mingji,mj
名妓	mingji,mj
名迹	mingji,mj
名绩	mingji,mj
名家	mingjia,mj
名家驹	mingjiaju,mjj
名家子	mingjiazi,mjz
名价	mingjia,mj
名间	mingjian,mj
名间乡	mingjianxiang,mjx
名俭	mingjian,mj
名柬	mingjian,mj
名检	mingjian,mj
名件	mingjian,mj
名将	mingjiang,mj
名缰	mingjiang,mj
名缰利锁	mingjianglisuo,mjls
名匠	mingjiang,mj
名角	mingjue,mj
名角儿	mingjueer,mje
名叫	mingjiao,mj
名教	mingjiao,mj
名教罪人	mingjiaozuiren,mjzr
名节	mingjie,mj
名杰	mingjie,mj
名酒	mingjiu,mj
名驹	mingju,mj
名句	mingju,mj
名隽	mingjun,mj
名爵	mingjue,mj
名俊	mingjun,mj
名儁	mingjun,mj
名科	mingke,mk
名口	mingkou,mk
名蓝	minglan,ml
名郎	minglang,ml
名狼藉地	minglangjide,mljd
名理	mingli,ml
名利	mingli,ml
名利场	minglichang,mlc
名利奴	minglinu,mln
名利双收	minglishuangshou,mlss
名例	mingli,ml
名量词	mingliangci,mlc
名列	minglie,ml
名列前茅	minglieqianmao,mlqm
名烈	minglie,ml
名伶	mingling,ml
名流	mingliu,ml
名流巨子	mingliujuzi,mljz
名录	minglu,ml
名录服务	minglufuwu,mlfw
名路	minglu,ml
名録	minglu,ml
名伦	minglun,ml
名论	minglun,ml
名落孙山	mingluosunshan,mlss
名马	mingma,mm
名满天下	mingmantianxia,mmtx
名贸实易	mingmaoshiyi,mmsy
名门	mingmen,mm
名门世族	mingmenshizu,mmsz
名门望族	mingmenwangzu,mmwz
名命	ming,m
名模	mingmo,mm
名母	mingmu,mm
名木	mingmu,mm
名目	mingmu,mm
名目繁多	mingmufanduo,mmfd
名讴	mingou,mo
名牌	mingpai,mp
名篇	mingpian,mp
名片	mingpian,mp
名票	mingpiao,mp
名品	mingpin,mp
名气	mingqi,mq
名器	mingqi,mq
名签	mingqian,mq
名亲	mingqin,mq
名卿	mingqing,mq
名卿巨公	mingqingjugong,mqjg
名卿钜公	mingqingjugong,mqjg
名区	mingqu,mq
名曲	mingqu,mq
名人	mingren,mr
名人地	mingrende,mrd
名人录	mingrenlu,mrl
名人效应	mingrenxiaoying,mrxy
名儒	mingru,mr
名色	mingse,ms
名僧	mingseng,ms
名刹	mingcha,mc
名山	mingshan,ms
名山大川	mingshandachuan,msdc
名山胜川	mingshanshengchuan,mssc
名山胜水	mingshanshengshui,msss
名山事业	mingshanshiye,mssy
名山县	mingshanxian,msx
名山之席	mingshanzhixi,mszx
名赏	mingshang,ms
名声	mingsheng,ms
名声过实	mingshengguoshi,msgs
名声籍甚	mingshengjishen,msjs
名胜	mingsheng,ms
名胜古迹	mingshengguji,msgj
名尸	mingshi,ms
名师	mingshi,ms
名师出高徒	mingshichugaotu,mscgt
名识	mingshi,ms
