吏毕	libi,lb
吏兵	libing,lb
吏部	libu,lb
吏部郎	libulang,lbl
吏部眠	libumian,lbm
吏才	licai,lc
吏材	licai,lc
吏曹	licao,lc
吏从	licong,lc
吏道	lidao,ld
吏典	lidian,ld
吏读式	lidushi,lds
吏牍	lidu,ld
吏蠹	lidu,ld
吏遯	lidun,ld
吏额	lie,le
吏法	lifa,lf
吏方	lifang,lf
吏房	lifang,lf
吏俸	lifeng,lf
吏干	ligan,lg
吏鬼	ligui,lg
吏家	lijia,lj
吏节	lijie,lj
吏巾	lijin,lj
吏科	like,lk
吏课	like,lk
吏理	li,l
吏力	li,l
吏禄	lilu,ll
吏门	limen,lm
吏民	limin,lm
吏目	limu,lm
吏能	lineng,ln
吏气	liqi,lq
吏人	liren,lr
吏戎	lirong,lr
吏舍	lishe,ls
吏士	lishi,ls
吏事	lishi,ls
吏势	lishi,ls
吏书	lishu,ls
吏属	lishu,ls
吏术	lishu,ls
吏饕	litao,lt
吏体	liti,lt
吏文	liwen,lw
吏习	lixi,lx
吏胥	lixu,lx
吏议	liyi,ly
吏役	liyi,ly
吏隐	liyin,ly
吏用	liyong,ly
吏员	liyuan,ly
吏垣	liyuan,ly
吏皁	lizao,lz
吏政	lizheng,lz
吏职	lizhi,lz
吏治	lizhi,lz
吏秩	lizhi,lz
吏卒	lizu,lz
吏最	lizui,lz
吏佐	lizuo,lz
