否败	pibai,pb
否闭	pibi,pb
否剥	pibao,pb
否道	pidao,pd
否德	pide,pd
否定	fouding,fd
否定地	foudengde,fdd
否定句	foudingju,fdj
否定判断	foudingpanduan,fdpd
否定之否定规律	foudingzhiguilu,fdzgl
否否	fou,f
否妇	pifu,pf
否鬲	pige,pg
否隔	pige,pg
否极泰回	pijitaihui,pjth
否极泰来	pijitailai,pjtl
否极阳回	pijiyanghui,pjyh
否结	pijie,pj
否决	foujue,fj
否决票	foujuepiao,fjp
否决权	foujuequan,fjq
否口	pikou,pk
否戾	pili,pl
否屈	piqu,pq
否去泰来	piqutailai,pqtl
否认	fouren,fr
否塞	pisai,ps
否桑	pisang,ps
否泰	pitai,pt
否往泰来	piwangtailai,pwtl
否心	fouxin,fx
否有效	fouyouxiao,fyx
否运	piyun,py
否臧	pizang,pz
否则	fouze,fz
否滞	pizhi,pz
否终复泰	pizhongfutai,pzft
否终斯泰	fouzhongsitai,fzst
否终则泰	pizhongzetai,pzzt
