吴安王	wuanwang,waw
吴坂	wuban,wb
吴邦国	wubangguo,wbg
吴榜	wubang,wb
吴堡	wubu,wb
吴堡县	wubuxian,wbx
吴濞	wubi,wb
吴拨四	wubosi,wbs
吴蔡	wucai,wc
吴蔡体	wucaiti,wct
吴蚕	wucan,wc
吴阊	wuchang,wc
吴承恩	wuchengen,wce
吴楚	wuchu,wc
吴楚帆	wuchufan,wcf
吴川	wuchuan,wc
吴川市	wuchuanshi,wcs
吴莼	wuchun,wc
吴大伯	wudabo,wdb
吴大皇帝	wudahuangdi,wdhd
吴带当风	wudaidangfeng,wddf
吴刀	wudao,wd
吴舠	wudao,wd
吴地	wudi,wd
吴邓	wudeng,wd
吴殿	wudian,wd
吴调	wudiao,wd
吴都	wudou,wd
吴娥	wue,we
吴儿	wuer,we
吴二娘	wuerniang,wen
吴二娘曲	wuerniangqu,wenq
吴分	wufen,wf
吴封	wufeng,wf
吴服	wufu,wf
吴富体	wufuti,wft
吴干	wugan,wg
吴刚	wugang,wg
吴戈	wuge,wg
吴哥城	wugecheng,wgc
吴哥窟	wugeku,wgk
吴歌	wuge,wg
吴根越角	wugenyuejiao,wgyj
吴羹	wugeng,wg
吴耿	wugeng,wg
吴公	wugong,wg
吴公台	wugongtai,wgt
吴宫	wugong,wg
吴宫燕	wugongyan,wgy
吴钩	wugou,wg
吴关	wuguan,wg
吴观	wuguan,wg
吴官正	wuguanzheng,wgz
吴馆	wuguan,wg
吴光	wuguang,wg
吴光剑	wuguangjian,wgj
吴广	wuguang,wg
吴国	wuguo,wg
吴晗	wuhan,wh
吴好山	wuhaoshan,whs
吴鸿	wuhong,wh
吴画	wuhua,wh
吴回	wuhui,wh
吴会	wuhui,wh
吴姬	wuji,wj
吴激	wuji,wj
吴祭酒	wujijiu,wjj
吴嘉经	wujiajing,wjj
吴甲	wujia,wj
吴笺	wujian,wj
吴趼人	wujianren,wjr
吴建豪	wujianhao,wjh
吴剑	wujian,wj
吴江	wujiang,wj
吴江市	wujiangshi,wjs
吴锦	wujin,wj
吴京	wujing,wj
吴敬梓	wujingzi,wjz
吴绢	wujuan,wj
吴均体	wujunti,wjt
吴郡星郎	wujunxinglang,wjxl
吴口	wukou,wk
吴魁	wukui,wk
吴蓝	wulan,wl
吴练	wulian,wl
吴梁	wuliang,wl
吴绫	wuling,wl
吴罗	wuluo,wl
吴梅	wumei,wm
吴门	wumen,wm
吴门派	wumenpai,wmp
吴门卒	wumenzu,wmz
吴蒙	wumeng,wm
吴孟超	wumengchao,wmc
吴绵	wumian,wm
吴棉	wumian,wm
吴緜	wumian,wm
吴娘	wuniang,wn
吴娘曲	wuniangqu,wnq
吴牛	wuniu,wn
吴牛喘	wuniuchuan,wnc
吴牛喘月	wuniuchuanyue,wncy
吴牛见月	wuniujianyue,wnjy
吴侬	wunong,wn
吴侬娇语	wunongjiaoyu,wnjy
吴侬软语	wunongruanyu,wnry
吴派	wupai,wp
吴庖	wupao,wp
吴醥	wupiao,wp
吴旗	wuqi,wq
吴旗县	wuqixian,wqx
吴起	wuqi,wq
吴起县	wuqixian,wqx
吴钱	wuqian,wq
吴桥	wuqiao,wq
吴桥县	wuqiaoxian,wqx
吴清源	wuqingyuan,wqy
吴趋	wuqu,wq
吴趋曲	wuqu,wq
吴泉	wuquan,wq
吴人	wuren,wr
吴人不识越境	wurenbushiyuejing,wrbsyj
吴仁宝	wurenbao,wrb
吴任臣	wurenchen,wrc
吴三桂	wusangui,wsg
吴山	wushan,ws
吴生	wusheng,ws
吴生体	wushengti,wst
吴声	wusheng,ws
吴石	wushi,ws
吴市	wushi,ws
吴市吹箫	wushichuixiao,wscx
吴市隐	wushiyin,wsy
吴市之箫	wushizhixiao,wszx
吴姝	wushu,ws
吴蜀	wushu,ws
吴霜	wushuang,ws
吴丝	wusi,ws
吴淞	wusong,ws
吴酸	wusuan,ws
吴台	wutai,wt
吴太伯	wutaibo,wtb
吴体	wuti,wt
吴天明	wutianming,wtm
吴亭	wuting,wt
吴头楚尾	wutouchuwei,wtcw
吴娃	wuwa,ww
吴娃越艳	wuwayueyan,wwyy
吴王	wuwang,ww
吴王阖庐	wuwanghelu,wwhl
吴王阖闾	wuwanghelu,wwhl
吴王脍余	wuwangkuaiyu,wwky
吴沃尧	wuwoyao,wwy
吴下	wuxia,wx
吴下阿蒙	wuxiaameng,wxam
吴先主	wuxianzhu,wxz
吴县	wuxian,wx
吴相庙	wuxiangmiao,wxm
吴绡	wuxiao,wx
吴兴	wuxing,wx
吴兴区	wuxingqu,wxq
吴兴体	wuxingti,wxt
吴岫	wuxiu,wx
吴盐	wuyan,wy
吴燕	wuyan,wy
吴羊	wuyang,wy
吴谣	wuyao,wy
吴謡	wuyao,wy
吴冶	wuye,wy
吴仪	wuyi,wy
吴音	wuyin,wy
吴闉	wuyin,wy
吴吟	wuyin,wy
吴永刚	wuyonggang,wyg
吴咏	wuyong,wy
吴用	wuyong,wy
吴余鲙	wuyukuai,wyk
吴愉	wuyu,wy
吴歈	wuyu,wy
吴语	wuyu,wy
吴玉章	wuyuzhang,wyz
吴苑	wuyuan,wy
吴岳	wuyue,wy
吴粤	wuyue,wy
吴越	wuyue,wy
吴越春秋	wuyuechunqiu,wycq
吴越曲	wuyuequ,wyq
吴越同舟	wuyuetongzhou,wytz
吴札	wuzha,wz
吴赵	wuzhao,wz
吴镇宇	wuzhenyu,wzy
吴质	wuzhi,wz
吴中	wuzhong,wz
吴中区	wuzhongqu,wzq
吴中四杰	wuzhongsijie,wzsj
吴中四士	wuzhongsishi,wzss
吴忠	wuzhong,wz
吴忠市	wuzhongshi,wzs
吴妆	wuzhuang,wz
吴装	wuzhuang,wz
吴子	wuzi,wz
吴自牧	wuzimu,wzm
吴尊	wuzun,wz
吴作栋	wuzuodong,wzd
