命案	mingan,ma
命薄	mingbo,mb
命薄缘悭	mingbaoyuanqian,mbyq
命笔	mingbi,mb
命不久已	mingbujiuyi,mbjy
命材	mingcai,mc
命彩	mingcai,mc
命草	mingcao,mc
命车	mingche,mc
命臣	mingchen,mc
命称	mingcheng,mc
命敕	mingchi,mc
命俦啸侣	mingchouxiaolu,mcxl
命词	mingci,mc
命词遣意	mingciqianyi,mcqy
命辞遣意	mingciqianyi,mcqy
命赐	mingci,mc
命大	mingda,md
命代	mingdai,md
命盗案	mingdaoan,mda
命镫	mingdeng,md
命蒂	mingdi,md
命蔕	mingdi,md
命钉	mingding,md
命定	mingding,md
命毒	mingdu,md
命犯	mingfan,mf
命分	mingfen,mf
命风	mingfeng,mf
命夫	mingfu,mf
命服	mingfu,mf
命妇	mingfu,mf
命赴黄泉	mingfuhuangquan,mfhq
命干	minggan,mg
命诰	minggao,mg
命根	minggen,mg
命根子	minggenzi,mgz
命工	minggong,mg
命宫	minggong,mg
命故	minggu,mg
命关	mingguan,mg
命官	mingguan,mg
命棺	mingguan,mg
命馆	mingguan,mg
命管	mingguan,mg
命光	mingguang,mg
命归黄泉	mingguihuangquan,mghq
命圭	minggui,mg
命龟	minggui,mg
命珪	minggui,mg
命过	mingguo,mg
命禾	minghe,mh
命祜	minghu,mh
命籍	mingji,mj
命祭	mingji,mj
命家	mingjia,mj
命价	mingjia,mj
命驾	mingjia,mj
命蹇	mingjian,mj
命蹇时乖	mingjianshiguai,mjsg
命将	mingjiang,mj
命郊	mingjiao,mj
命教	mingjiao,mj
命釂	mingjiao,mj
命节	mingjie,mj
命介	mingjie,mj
命戒	mingjie,mj
命金	mingjin,mj
命酒	mingjiu,mj
命屦	mingju,mj
命爵	mingjue,mj
命客	mingke,mk
命苦	mingku,mk
命快	mingkuai,mk
命亏	mingkui,mk
命乐	mingle,ml
命里注定	minglizhuding,mlzd
命理	mingli,ml
命理学	minglixue,mlx
命历	mingli,ml
命吏	mingli,ml
命令	mingling,ml
命令句	minglingju,mlj
命令列	minglinglie,mll
命令式	minglingshi,mls
命令式地	minglingshide,mlsd
命令行	minglinghang,mlh
命令主义	minglingzhuyi,mlzy
命笼	minglong,ml
命禄	minglu,ml
命路	minglu,ml
命箓	minglu,ml
命侣	minglu,ml
命旅	minglu,ml
命缕	minglu,ml
命履	minglu,ml
命脉	mingmai,mm
命门	mingmen,mm
命民	mingmin,mm
命名	ming,m
命名地	mingde,md
命名法	mingfa,mf
命名日	mingri,mr
命名系统	mingxitong,mxt
命命鸟	mingniao,mn
命偶	mingou,mo
命盘	mingpan,mp
命篇	mingpian,mp
命铺	mingpu,mp
命期	mingqi,mq
命悭	mingqian,mq
命卿	mingqing,mq
命日	mingri,mr
命若悬丝	mingruoxuansi,mrxs
命觞	mingshang,ms
命使	mingshi,ms
命士	mingshi,ms
命氏	mingshi,ms
命世	mingshi,ms
命世才	mingshicai,msc
命世之才	mingshizhicai,mszc
命事	mingshi,ms
命谥	mingshi,ms
命书	mingshu,ms
命术	mingshu,ms
命数	mingshu,ms
命帅	mingshuai,ms
命祀	mingsi,ms
命素	mingsu,ms
命讨	mingtao,mt
命题	mingti,mt
命题逻辑	mingtiluoji,mtlj
命体	mingti,mt
命通	mingtong,mt
命途	mingtu,mt
命途多舛	mingtuduochuan,mtdc
命途坎坷	mingtukanke,mtkk
命危	mingwei,mw
命席	mingxi,mx
命舃	mingtuo,mt
命限	mingxian,mx
命相	mingxiang,mx
命啸	mingxiao,mx
命姓	mingxing,mx
命意	mingyi,my
命硬	mingying,my
命运	mingyun,my
命在朝夕	mingzaichaoxi,mzcx
命在旦夕	mingzaidanxi,mzdx
命诏	mingzhao,mz
命棹	mingzhao,mz
命趾	mingzhi,mz
命志	mingzhi,mz
命秩	mingzhi,mz
命中	mingzhong,mz
命中率	mingzhonglu,mzl
命中注定	mingzhongzhuding,mzzd
命终	mingzhong,mz
命诸侯	mingzhuhou,mzh
命麈	mingzhu,mz
命浊	mingzhuo,mz
命酌	mingzhuo,mz
命梓	mingzi,mz
命宗	mingzong,mz
