咎败	jiubai,jb
咎丑	jiuchou,jc
咎恶	jiue,je
咎罚	jiufa,jf
咎鼓	jiugu,jg
咎过	jiuguo,jg
咎害	jiuhai,jh
咎患	jiuhuan,jh
咎悔	jiuhui,jh
咎毁	jiuhui,jh
咎教	jiujiao,jj
咎戒	jiujie,jj
咎累	jiulei,jl
咎戾	jiuli,jl
咎吝	jiulin,jl
咎魅	jiumei,jm
咎愆	jiuqian,jq
咎谴	jiuqian,jq
咎省	jiusheng,js
咎氏	jiushi,js
咎祟	jiusui,js
咎陶	jiutao,jt
咎慝	jiute,jt
咎祥	jiuxiang,jx
咎谢	jiuxie,jx
咎衅	jiuxin,jx
咎舋	jiuxin,jx
咎言	jiuyan,jy
咎殃	jiuyang,jy
咎繇	jiuyao,jy
咎由自取	jiuyouziqu,jyzq
咎有应得	jiuyouyingde,jyyd
咎誉	jiuyu,jy
咎责	jiuze,jz
咎谪	jiuzhe,jz
咎征	jiuzheng,jz
咎证	jiuzheng,jz
咎罪	jiuzui,jz
