咏唱	yongchang,yc
咏嘲风月	yongchaofengyue,ycfy
咏春	yongchun,yc
咏春拳	yongchunquan,ycq
咏德	yongde,yd
咏歌	yongge,yg
咏謌	yongge,yg
咏归	yonggui,yg
咏画	yonghua,yh
咏怀	yonghuai,yh
咏哦	yongo,yo
咏仁	yongren,yr
咏桑寓柳	yongsangyuliu,ysyl
咏扇	yongshan,ys
咏诗	yongshi,ys
咏史	yongshi,ys
咏思	yongsi,ys
咏颂	yongsong,ys
咏叹	yongtan,yt
咏叹调	yongtandiao,ytd
咏陶	yongtao,yt
咏题	yongti,yt
咏物	yongwu,yw
咏想	yongxiang,yx
咏醒	yongxing,yx
咏絮	yongxu,yx
咏雪	yongxue,yx
咏谑	yongxue,yx
咏言	yongyan,yy
咏謡	yongyao,yy
咏吟	yongyin,yy
咏雩	yongyu,yy
咏语	yongyu,yy
咏月嘲风	yongyuechaofeng,yycf
咏月嘲花	yongyuechaohua,yych
咏赞	yongzan,yz
咏沼	yongzhao,yz
咏志	yongzhi,yz
咏瞩	yongzhu,yz
咏字	yongzi,yz
