咸安宫	xianangong,xag
咸安宫官学	xianangongguanxue,xaggx
咸安区	xiananqu,xaq
咸菜	xiancai,xc
咸草	xiancao,xc
咸潮	xianchao,xc
咸池	xianchi,xc
咸豉	xianchi,xc
咸黜	xianchu,xc
咸鹾	xiancuo,xc
咸淡	xiandan,xd
咸腓	xianfei,xf
咸丰	xianfeng,xf
咸丰庚申	xianfenggengshen,xfgs
咸丰县	xianfeng,xf
咸风蛋雨	xianfengdanyu,xfdy
咸福宫	xianfugong,xfg
咸感	xiangan,xg
咸海	xianhai,xh
咸和	xianhe,xh
咸黑	xianhei,xh
咸頀	xianhu,xh
咸华	xianhua,xh
咸濩	xianhu,xh
咸虀	xianji,xj
咸皆	xianjie,xj
咸解	xianjie,xj
咸津津	xianjin,xj
咸津津儿	xianjiner,xje
咸浸浸	xianjin,xj
咸京	xianjing,xj
咸茎	xianjing,xj
咸镜	xianjing,xj
咸镜北道	xianjingbeidao,xjbd
咸镜道	xianjingdao,xjd
咸镜南道	xianjingnandao,xjnd
咸苦	xianku,xk
咸溜溜	xianliu,xl
咸刘	xianliu,xl
咸卤	xianlu,xl
咸洛	xianluo,xl
咸墨	xianmo,xm
咸鸟	xianniao,xn
咸宁	xianning,xn
咸宁地区	xianningdiqu,xndq
咸宁市	xianningshi,xns
咸平	xianping,xp
咸秦	xianqin,xq
咸丘	xianqiu,xq
咸泉	xianquan,xq
咸壤	xianrang,xr
咸肉	xianrou,xr
咸肉庄	xianrouzhuang,xrz
咸若	xianruo,xr
咸涩	xianse,xs
咸韶	xianshao,xs
咸绳	xiansheng,xs
咸湿	xianshi,xs
咸水	xianshui,xs
咸水湖	xianshuihu,xsh
咸水妹	xianshuimei,xsm
咸丝丝	xiansi,xs
咸丝丝儿	xiansier,xse
咸酥鸡	xiansuji,xsj
咸酸	xiansuan,xs
咸唐	xiantang,xt
咸同	xiantong,xt
咸土	xiantu,xt
咸丸子	xianwanzi,xwz
咸味	xianwei,xw
咸五登三	xianwudengsan,xwds
咸舃	xiantuo,xt
咸舄	xianxi,xx
咸潟	xianxi,xx
咸夏	xianxia,xx
咸腥	xianxing,xx
咸兴	xianxing,xx
咸兴市	xianxingshi,xxs
咸鸭蛋	xianyadan,xyd
咸鸭卵	xianyaluan,xyl
咸盐	xianyan,xy
咸阳	xianyang,xy
咸阳地区	xianyangdiqu,xydq
咸阳宫	xianyanggong,xyg
咸阳火	xianyanghuo,xyh
咸阳桥	xianyangqiao,xyq
咸阳市	xianyangshi,xys
咸阳一炬	xianyangyiju,xyyj
咸英	xianying,xy
咸韺	xianying,xy
咸鱼	xianyu,xy
咸鱼翻身	xianyufanshen,xyfs
咸与惟新	xianyuweixin,xywx
咸与维新	xianyuweixin,xywx
咸渊	xianyuan,xy
咸杬子	xianyuanzi,xyz
咸云	xianyun,xy
咸汁	xianzhi,xz
咸陟	xianzhi,xz
咸秩	xianzhi,xz
咸猪手	xianzhushou,xzs
咸擢	xianzhuo,xz
咸菹	xianzu,xz
咸葅	xianzu,xz
咸嘴淡舌	xianzuidanshe,xzds
