哈巴	haba,hb
哈巴儿	habaer,hbe
哈巴狗	habagou,hbg
哈巴谷书	habagushu,hbgs
哈巴河	habahe,hbh
哈巴河县	habahexian,hbhx
哈巴罗夫斯克	habaluofusike,hblfsk
哈巴雪山	habaxueshan,hbxs
哈叭狗	habagou,hbg
哈棒	habang,hb
哈贝尔	habeier,hbe
哈贝马斯	habeimasi,hbms
哈比人	habiren,hbr
哈伯	habo,hb
哈伯玛斯	habomasi,hbms
哈伯太空望远镜	habotaikongwangyuanjing,hbtkwyj
哈勃	habo,hb
哈博罗内	haboluonei,hbln
哈布斯堡	habusibao,hbsb
哈哧	hachi,hc
哈哒	hada,hd
哈荅	hada,hd
哈达	hada,hd
哈沓	hata,ht
哈答	hada,hd
哈得斯	hadesi,hds
哈德斯	hadesi,hds
哈德逊河	hadexunhe,hdxh
哈迪	hadi,hd
哈迪斯	hadisi,hds
哈敦	hadun,hd
哈恩	haen,he
哈尔滨	haerbin,heb
哈尔滨工业大学	haerbingongyedaxue,hebgydx
哈尔滨市	haerbinshi,hebs
哈尔登	haerdeng,hed
哈尔斯塔	haersita,hest
哈丰角	hafengjiao,hfj
哈佛	hafo,hf
哈佛大学	hafodaxue,hfdx
哈该书	hagaishu,hgs
哈根达斯	hagendasi,hgds
哈哈	ha,h
哈哈大笑	hadaxiao,hdx
哈哈地笑	hadexiao,hdx
哈哈儿	haer,he
哈哈镜	hajing,hj
哈哈笑	haxiao,hx
哈号	hahao,hh
哈哄哄	hahong,hh
哈话	hahua,hh
哈吉	haji,hj
哈吉斯	hajisi,hjs
哈季奇	hajiqi,hjq
哈啾	hajiu,hj
哈扣	hakou,hk
哈拉	hala,hl
哈拉尔五世	halaerwushi,hlews
哈拉雷	halalei,hll
哈拉帕文化	halapawenhua,hlpwh
哈拉子	halazi,hlz
哈喇	hala,hl
哈喇子	halazi,hlz
哈剌	hala,hl
哈剌基酒	halajijiu,hljj
哈剌契丹	halaqidan,hlqd
哈莱姆	halaimu,hlm
哈雷彗星	haleihuixing,hlhx
哈肋巴	haleiba,hlb
哈里	hali,hl
哈里发	halifa,hlf
哈里发帝国	halifadiguo,hlfdg
哈里发塔	halifata,hlft
哈里斯堡	halisibao,hlsb
哈利	hali,hl
哈利伯顿	halibodun,hlbd
哈利迪亚	halidiya,hldy
哈利法克斯	halifakesi,hlfks
哈利路亚	haliluya,hlly
哈灵根	halinggen,hlg
哈喽	halou,hl
哈伦裤	halunku,hlk
哈啰	haluo,hl
哈啰出行	haluochuxing,hlcx
哈罗	haluo,hl
哈罗德	haluode,hld
哈马尔	hamaer,hme
哈马黑拉岛	hamaheiladao,hmhld
哈马斯	hamasi,hms
哈梅内伊	hameineiyi,hmny
哈蒙德	hamengde,hmd
哈迷	hami,hm
哈米尔卡	hamierka,hmek
哈米吉多顿	hamijiduodun,hmjdd
哈密	hami,hm
哈密地区	hamidiqu,hmdq
哈密瓜	hamigua,hmg
哈密市	hamishi,hms
哈蜜瓜	hamigua,hmg
哈摩辣	hamola,hml
哈姆雷特	hamuleite,hmlt
哈拿	hana,hn
哈尼	hani,hn
哈尼族	hanizu,hnz
哈奴曼	hanuman,hnm
哈努卡	hanuka,hnk
哈努卡节	hanukajie,hnkj
哈珀	hapo,hp
哈普西科德	hapuxikede,hpxkd
哈气	haqi,hq
哈欠	haqian,hq
哈日	hari,hr
哈日族	harizu,hrz
哈萨克	hasake,hsk
哈萨克人	hasakeren,hskr
哈萨克斯坦	hasakesitan,hskst
哈萨克文	hasakewen,hskw
哈萨克语	hasakeyu,hsky
哈萨克族	hasakezu,hskz
哈桑	hasang,hs
哈什	hashi,hs
哈什蚂	hashima,hsm
哈士蟆	hashima,hsm
哈士奇	hashiqi,hsq
哈苏	hasu,hs
哈特福德	hatefude,htfd
哈屯	hatun,ht
哈瓦那	hawana,hwn
哈西纳	haxina,hxn
哈希	haxi,hx
哈昔泥	haxini,hxn
哈呀	haya,hy
哈腰	hayao,hy
