唯阿	weia,wa
唯成分论	weichengfenlun,wcfl
唯独	weidu,wd
唯读	weidu,wd
唯饭	weifan,wf
唯粉	weifen,wf
唯复	weifu,wf
唯谨	weijin,wj
唯恐	weikong,wk
唯恐天下不乱	weikongtianxiabuluan,wktxbl
唯理论	weililun,wll
唯力是视	weilishi,wls
唯利是求	weilishiqiu,wlsq
唯利是视	weilishi,wls
唯利是图	weilishitu,wlst
唯邻是卜	weilinshibu,wlsb
唯美	weimei,wm
唯美主义	weimeizhuyi,wmzy
唯妙唯肖	weimiaoxiao,wmx
唯命是从	weimingshicong,wmsc
唯命是听	weimingshiting,wmst
唯诺	weinuo,wn
唯喏	weinuo,wn
唯其	weiqi,wq
唯其如此	weiqiruci,wqrc
唯然	weiran,wr
唯识	weishi,ws
唯识宗	weishizong,wsz
唯所欲为	weisuoyu,wsy
唯唯	wei,w
唯唯否否	weifou,wf
唯唯连声	weiliansheng,wls
唯唯诺诺	weinuo,wn
唯我独尊	weiwoduzun,wwdz
唯我论	weiwolun,wwl
唯吾独尊	weiwuduzun,wwdz
唯物	weiwu,ww
唯物辩证法	weiwubianzhengfa,wwbzf
唯物论	weiwulun,wwl
唯物史观	weiwushiguan,wwsg
唯物主义	weiwuzhuyi,wwzy
唯象	weixiang,wx
唯象理论	weixianglilun,wxll
唯心	weixin,wx
唯心辩证法	weixinbianzhengfa,wxbzf
唯心论	weixinlun,wxl
唯心史观	weixinshiguan,wxsg
唯心主义	weixinzhuyi,wxzy
唯一	weiyi,wy
唯一性	weiyixing,wyx
唯意志论	weiyizhilun,wyzl
唯有	weiyou,wy
