嗟嗷	jieao,ja
嗟恻	jiece,jc
嗟称	jiecheng,jc
嗟蹙	jiecu,jc
嗟悼	jiedao,jd
嗟毒	jiedu,jd
嗟愕	jiee,je
嗟愤	jiefen,jf
嗟夫	jiefu,jf
嗟伏	jiefu,jf
嗟服	jiefu,jf
嗟骇	jiehai,jh
嗟乎	jiehu,jh
嗟呼	jiehu,jh
嗟虖	jiehu,jh
嗟悔无及	jiehuiwuji,jhwj
嗟嗟	jie,j
嗟金	jiejin,jj
嗟矜	jiejin,jj
嗟惊	jiejing,jj
嗟惧	jieju,jj
嗟慨	jiekai,jk
嗟苦	jieku,jk
嗟来	jielai,jl
嗟来食	jielaishi,jls
嗟来之食	jielaizhishi,jlzs
嗟美	jiemei,jm
嗟愍	jiemin,jm
嗟慕	jiemu,jm
嗟哦	jieo,jo
嗟泣	jieqi,jq
嗟诮	jieqiao,jq
嗟丘	jieqiu,jq
嗟屈	jiequ,jq
嗟伤	jieshang,js
嗟赏	jieshang,js
嗟尚	jieshang,js
嗟食	jieshi,js
嗟颂	jiesong,js
嗟叹	jietan,jt
嗟痛	jietong,jt
嗟惋	jiewan,jw
嗟味	jiewei,jw
嗟唏	jiexi,jx
嗟惜	jiexi,jx
嗟欷	jiexi,jx
嗟嘻	jiexi,jx
嗟羡	jiexian,jx
嗟吁	jieyu,jy
嗟嘘	jiexu,jx
嗟讶	jieya,jy
嗟呀	jieya,jy
嗟仰	jieyang,jy
嗟异	jieyi,jy
嗟隐	jieyin,jy
嗟咏	jieyong,jy
嗟忧	jieyou,jy
嗟虞墩	jieyudun,jyd
嗟怨	jieyuan,jy
嗟哉	jiezai,jz
嗟赞	jiezan,jz
嗟唶	jie,j
嗟重	jiezhong,jz
嗟兹乎	jiezihu,jzh
嗟咨	jiezi,jz
嗟嗞乎	jiezihu,jzh
