嘴巴	zuiba,zb
嘴巴子	zuibazi,zbz
嘴笨	zuiben,zb
嘴不严	zuibuyan,zby
嘴馋	zuichan,zc
嘴敞	zuichang,zc
嘴唇	zuichun,zc
嘴儿	zuier,ze
嘴乖	zuiguai,zg
嘴尖	zuijian,zj
嘴尖舌头快	zuijianshetoukuai,zjstk
嘴角	zuijiao,zj
嘴紧	zuijin,zj
嘴啃泥	zuikenni,zkn
嘴快	zuikuai,zk
嘴快舌长	zuikuaishechang,zksc
嘴快心直	zuikuaixinzhi,zkxz
嘴牢	zuilao,zl
嘴里	zuili,zl
嘴脸	zuilian,zl
嘴炮	zuipao,zp
嘴皮子	zuipizi,zpz
嘴欠	zuiqian,zq
嘴琴	zuiqin,zq
嘴清舌白	zuiqingshebai,zqsb
嘴软	zuiruan,zr
嘴松	zuisong,zs
嘴碎	zuisui,zs
嘴损	zuisun,zs
嘴甜	zuitian,zt
嘴甜心苦	zuitianxinku,ztxk
嘴头	zuitou,zt
嘴稳	zuiwen,zw
嘴严	zuiyan,zy
嘴硬	zuiying,zy
嘴硬心软	zuiyingxinruan,zyxr
嘴直	zuizhi,zz
嘴直心快	zuizhixinkuai,zzxk
嘴子	zuizi,zz
