囚车	qiuche,qc
囚犯	qiufan,qf
囚服	qiufu,qf
囚俘	qiufu,qf
囚锢锋	qiugufeng,qgf
囚籍	qiuji,qj
囚髻	qiuji,qj
囚解	qiujie,qj
囚禁	qiujin,qj
囚拘	qiuju,qj
囚牢	qiulao,ql
囚梁	qiuliang,ql
囚笼	qiulong,ql
囚虏	qiulu,ql
囚録	qiulu,ql
囚绿记	qiuluji,qlj
囚命	qiuming,qm
囚囊的	qiunangde,qnd
囚攮的	qiunangde,qnd
囚牛	qiuniu,qn
囚奴	qiunu,qn
囚人	qiuren,qr
囚杀	qiusha,qs
囚山	qiushan,qs
囚室	qiushi,qs
囚首	qiushou,qs
囚首垢面	qiushougoumian,qsgm
囚首丧面	qiushousangmian,qssm
囚锁	qiusuo,qs
囚鏁	qiusuo,qs
囚徒	qiutu,qt
囚系	qiuxi,qx
囚衣	qiuyi,qy
囚饮	qiuyin,qy
囚执	qiuzhi,qz
囚絷	qiuzhi,qz
囚制	qiuzhi,qz
囚桎	qiuzhi,qz
