圜抱	huanbao,hb
圜狴	huanbi,hb
圜陈	huanchen,hc
圜道	huandao,hd
圜堵	huandu,hd
圜法	huanfa,hf
圜方	huanfang,hf
圜扉	huanfei,hf
圜府	huanfu,hf
圜盖	huangai,hg
圜冠	huanguan,hg
圜好	huanhao,hh
圜壶	huanhu,hh
圜货	huanhuo,hh
圜流	huanliu,hl
圜率	huanlu,hl
圜门	huanmen,hm
圜魄	huanpo,hp
圜钱	huanqian,hq
圜墙	yuanqiang,yq
圜丘	yuanqiu,yq
圜邱	huanqiu,hq
圜阙	huanque,hq
圜舍	huanshe,hs
圜视	huanshi,hs
圜室	huanshi,hs
圜坛	huantan,ht
圜焘	huantao,ht
圜土	yuantu,yt
圜围	huanwei,hw
圜宰	huanzai,hz
圜凿方枘	huanzaofangrui,hzfr
圜则	huanze,hz
圜钟	huanzhong,hz
圜转	huanzhuan,hz
