垫隘	dianai,da
垫板	dianban,db
垫办	dianban,db
垫背	dianbei,db
垫被	dianbei,db
垫本	dianben,db
垫补	dianbu,db
垫财	diancai,dc
垫踹窝	dianchuaiwo,dcw
垫喘儿	dianchuaner,dce
垫档	diandang,dd
垫刀	diandao,dd
垫底	diandi,dd
垫底儿	diandier,dde
垫底费	diandifei,ddf
垫儿	dianer,de
垫发	dianfa,df
垫付	dianfu,df
垫高	diangao,dg
垫话	dianhua,dh
垫昏	dianhun,dh
垫肩	dianjian,dj
垫江	dianjiang,dj
垫江县	dianjiangxian,djx
垫角	dianjiao,dj
垫脚	dianjiao,dj
垫脚凳	dianjiaodeng,djd
垫脚石	dianjiaoshi,djs
垫借	dianjie,dj
垫巾	dianjin,dj
垫款	diankuan,dk
垫料	dianliao,dl
垫裂	dianlie,dl
垫没	dianmei,dm
垫陌	dianmo,dm
垫溺	dianni,dn
垫片	dianpian,dp
垫平	dianping,dp
垫球	dianqiu,dq
垫圈	dianjuan,dj
垫濡	dianru,dr
垫洳	dianru,dr
垫褥	dianru,dr
垫上	dianshang,ds
垫上运动	dianshangyundong,dsyd
垫舌根	dianshegen,dsg
垫湿	dianshi,ds
垫沃	dianwo,dw
垫戏	dianxi,dx
垫弦	dianxian,dx
垫陷	dianxian,dx
垫箱钱	dianxiangqian,dxq
垫腰	dianyao,dy
垫溢	dianyi,dy
垫支	dianzhi,dz
垫子	dianzi,dz
