基板	jiban,jb
基本	jiben,jb
基本词汇	jibencihui,jbch
基本单位	jibendanwei,jbdw
基本点	jibendian,jbd
基本定理	jibendingli,jbdl
基本多文种平面	jibenduowenzhongpingmian,jbdwzpm
基本法	jibenfa,jbf
基本概念	jibengainian,jbgn
基本功	jibengong,jbg
基本建设	jibenjianshe,jbjs
基本利率	jibenlilu,jbll
基本粒子	jibenlizi,jblz
基本矛盾	jibenmaodun,jbmd
基本盘	jibenpan,jbp
基本上	jibenshang,jbs
基本上地	jibenshangde,jbsd
基本完成	jibenwancheng,jbwc
基本需要	jibenxuyao,jbxy
基本原理	jibenyuanli,jbyl
基本原则	jibenyuanze,jbyz
基陛	jibi,jb
基波	jibo,jb
基布兹	jibuzi,jbz
基步	jibu,jb
基材	jicai,jc
基测	jice,jc
基层	jiceng,jc
基础	jichu,jc
基础病	jichubing,jcb
基础地	jichude,jcd
基础教育	jichujiaoyu,jcjy
基础结构	jichujiegou,jcjg
基础课	jichuke,jck
基础设施	jichusheshi,jcss
基础设施即服务	jichusheshifuwu,jcssfw
基础速率	jichusulu,jcsl
基础问题	jichuwenti,jcwt
基床	jichuang,jc
基地	jidi,jd
基地恐怖组织	jidikongbuzuzhi,jdkbzz
基地组织	jidizuzhi,jdzz
基底	jidi,jd
基底动脉	jididongmai,jddm
基底神经节孙损伤	jidishenjingjiesunshang,jdsjjss
基底细胞癌	jidixibaoai,jdxba
基点	jidian,jd
基甸	jidian,jd
基调	jidiao,jd
基督	jidu,jd
基督城	jiducheng,jdc
基督教	jidujiao,jdj
基督教科学派	jidujiaokexuepai,jdjkxp
基督教民主联盟	jidujiaominzhulianmeng,jdjmzlm
基督教派	jidujiaopai,jdjp
基督教徒	jidujiaotu,jdjt
基督圣体节	jidushengtijie,jdstj
基督徒	jidutu,jdt
基督新教	jiduxinjiao,jdxj
基多	jiduo,jd
基尔	jier,je
基尔特	jierte,jet
基肥	jifei,jf
基辅	jifu,jf
基辅罗斯	jifuluosi,jfls
基改	jigai,jg
基干	jigan,jg
基构	jigou,jg
基祸	jihuo,jh
基级	ji,j
基极	ji,j
基加利	jijiali,jjl
基价	jijia,jj
基建	jijian,jj
基脚	jijiao,jj
基阶	jijie,jj
基金	jijin,jj
基金会	jijinhui,jjh
基扃	jijiong,jj
基坑	jikeng,jk
基孔肯雅热	jikongkenyare,jkkyr
基拉韦厄	jilaweie,jlwe
基佬	jilao,jl
基里巴斯	jilibasi,jlbs
基里巴斯共和国	jilibasigongheguo,jlbsghg
基隆	jilong,jl
基隆市	jilongshi,jls
基罗米突	jiluomitu,jlmt
基马尔革命	jimaergeming,jmegm
基面	jimian,jm
基民党	jimindang,jmd
基命	jiming,jm
基奈	jinai,jn
基尼系数	jinixishu,jnxs
基年	jinian,jn
基诺族	jinuozu,jnz
基盘	jipan,jp
基频	jipin,jp
基普	jipu,jp
基情	jiqing,jq
基桑加尼	jisangjiani,jsjn
基色	jise,js
基射	jishe,js
基石	jishi,js
基数	jishu,js
基数词	jishuci,jsc
基台	jitai,jt
基体	jiti,jt
基图	jitu,jt
基团	jituan,jt
基网	jiwang,jw
基围	jiwei,jw
基围虾	jiweixia,jwx
基西纽	jixiniu,jxn
基希讷乌	jixinewu,jxnw
基线	jixian,jx
基谐波	jixiebo,jxb
基辛格	jixinge,jxg
基墟	jixu,jx
基绪	jixu,jx
基牙	jiya,jy
基岩	jiyan,jy
基业	jiye,jy
基因	jiyin,jy
基因改造	jiyingaizao,jygz
基因工程	jiyingongcheng,jygc
基因技术	jiyinshu,jys
基因库	jiyinku,jyk
基因扩大	jiyinkuoda,jykd
基因码	jiyinma,jym
基因染色体异常	jiyinransetiyichang,jyrstyc
基因体	jiyinti,jyt
基因突变	jiyintubian,jytb
基因图谱	jiyintupu,jytp
基因型	jiyinxing,jyx
基因修改	jiyinxiugai,jyxg
基因学	jiyinxue,jyx
基因治疗	jiyinzhiliao,jyzl
基因组	jiyinzu,jyz
基因座	jiyinzuo,jyz
基音	jiyin,jy
基友	jiyou,jy
基于	jiyu,jy
基宇	jiyu,jy
基原	jiyuan,jy
基源	jiyuan,jy
基站	jizhan,jz
基兆	jizhao,jz
基桢	jizhen,jz
基墌	jizhi,jz
基址	jizhi,jz
基趾	jizhi,jz
基质	jizhi,jz
基质膜	jizhimo,jzm
基跱	jizhi,jz
基筑	jizhu,jz
基桩	jizhuang,jz
基准	jizhun,jz
基祚	jizuo,jz
基座	jizuo,jz
