增白	zengbai,zb
增白剂	zengbaiji,zbj
增编	zengbian,zb
增冰	zengbing,zb
增兵	zengbing,zb
增拨	zengbo,zb
增补	zengbu,zb
增产	zengchan,zc
增巢	zengchao,zc
增成	zengcheng,zc
增城	zengcheng,zc
增城区	zengchengqu,zcq
增稠	zengchou,zc
增稠剂	zengchouji,zcj
增大	zengda,zd
增调	zengdiao,zd
增订	zengding,zd
增订本	zengdingben,zdb
增多	zengduo,zd
增防	zengfang,zf
增奉	zengfeng,zf
增幅	zengfu,zf
增高	zenggao,zg
增宫	zenggong,zg
增构	zenggou,zg
增光	zengguang,zg
增光添彩	zengguangtiancai,zgtc
增广	zengguang,zg
增广生	zengguangsheng,zgs
增辉	zenghui,zh
增加	zengjia,zj
增加值	zengjiazhi,zjz
增减	zengjian,zj
增建	zengjian,zj
增进	zengjin,zj
增剧	zengju,zj
增刊	zengkan,zk
增累	zenglei,zl
增量	zengliang,zl
增量参数	zengliangcanshu,zlcs
增年	zengnian,zn
增派	zengpai,zp
增强	zengqiang,zq
增泉	zengquan,zq
增容	zengrong,zr
增三和弦	zengsanhexian,zshx
增色	zengse,zs
增删	zengshan,zs
增伤	zengshang,zs
增设	zengshe,zs
增生	zengsheng,zs
增饰	zengshi,zs
增逝	zengshi,zs
增收	zengshou,zs
增收节支	zengshoujiezhi,zsjz
增薮	zengsou,zs
增速	zengsu,zs
增塑剂	zengsuji,zsj
增损	zengsun,zs
增拓	zengtuo,zt
增添	zengtian,zt
增田	zengtian,zt
增温	zengwen,zw
增温层	zengwenceng,zwc
增息	zengxi,zx
增欷	zengxi,zx
增羡	zengxian,zx
增效	zengxiao,zx
增修	zengxiu,zx
增选	zengxuan,zx
增压	zengya,zy
增益	zengyi,zy
增盈	zengying,zy
增与	zengyu,zy
增援	zengyuan,zy
增增	zeng,z
增长	zengzhang,zz
增长地	zengzhangde,zzd
增长点	zengzhangdian,zzd
增长率	zengzhanglu,zzl
增长速度	zengzhangsudu,zzsd
增长天	zengzhangtian,zzt
增长天王	zengzhangtianwang,zztw
增长主	zengzhangzhu,zzz
增支	zengzhi,zz
增值	zengzhi,zz
增值税	zengzhishui,zzs
增殖	zengzhi,zz
增殖反应堆	zengzhifanyingdui,zzfyd
增至	zengzhi,zz
增秩	zengzhi,zz
增置	zengzhi,zz
增重	zengzhong,zz
增重粉	zengzhongfen,zzf
增砖添瓦	zengzhuantianwa,zztw
增资	zengzi,zz
