复按	fuan,fa
复版	fuban,fb
复被	fubei,fb
复本	fuben,fb
复本位制	fubenweizhi,fbwz
复比	fubi,fb
复壁	fubi,fb
复变	fubian,fb
复变函数	fubianhanshu,fbhs
复变函数论	fubianhanshulun,fbhsl
复补	fubu,fb
复瓿	fubu,fb
复槽水	fucaoshui,fcs
复查	fucha,fc
复陈	fuchen,fc
复仇	fuchou,fc
复仇地	fuchoude,fcd
复仇的火焰	fuchoudehuoyan,fcdhy
复仇女神	fuchounushen,fcns
复雠	fuchou,fc
复出	fuchu,fc
复除	fuchu,fc
复词	fuci,fc
复次	fuci,fc
复沓	futa,ft
复大	fuda,fd
复旦	fudan,fd
复旦大学	fudandaxue,fddx
复蹈前辙	fudaoqianzhe,fdqz
复道	fudao,fd
复电	fudian,fd
复殿	fudian,fd
复迭	fudie,fd
复叠	fudie,fd
复栋	fudong,fd
复读	fudu,fd
复读机	fuduji,fdj
复读生	fudusheng,fds
复发	fufa,ff
复反	fufan,ff
复返	fufan,ff
复方	fufang,ff
复分解反应	fufenjiefanying,ffjfy
复分钱	fufenqian,ffq
复风之报	fufengzhibao,ffzb
复服	fu,f
复辅音	fuyin,fy
复岗	fugang,fg
复阁	fuge,fg
复格	fuge,fg
复工	fugong,fg
复共轭	fugonge,fge
复古	fugu,fg
复古会	fuguhui,fgh
复故	fugu,fg
复光	fuguang,fg
复归	fugui,fg
复圭	fugui,fg
复国	fuguo,fg
复果	fuguo,fg
复还	fuhuan,fh
复函	fuhan,fh
复航	fuhang,fh
复合	fuhe,fh
复合材料	fuhecailiao,fhcl
复合词	fuheci,fhc
复合词素词	fuhecisu,fhcs
复合肥料	fuhefeiliao,fhfl
复合弓	fuhegong,fhg
复合函数	fuhehanshu,fhhs
复合量词	fuheliangci,fhlc
复合母音	fuhemuyin,fhmy
复合判断	fuhepanduan,fhpd
复合三段论	fuhesanduanlun,fhsdl
复合物	fuhewu,fhw
复合型	fuhexing,fhx
复合元音	fuheyuanyin,fhyy
复合制	fuhezhi,fhz
复核	fuhe,fh
复隍	fuhuang,fh
复回	fuhui,fh
复会	fuhui,fh
复婚	fuhun,fh
复魂	fuhun,fh
复活	fuhuo,fh
复活的军团	fuhuodejuntuan,fhdjt
复活节	fuhuojie,fhj
复活节岛	fuhuojiedao,fhjd
复活赛	fuhuosai,fhs
复籍	fuji,fj
复检	fujian,fj
复建	fujian,fj
复健	fujian,fj
复交	fujiao,fj
复结	fujie,fj
复境	fujing,fj
复旧	fujiu,fj
复旧如初	fujiuruchu,fjrc
复句	fuju,fj
复刊	fukan,fk
复刻	fuke,fk
复客	fuke,fk
复课	fuke,fk
复垦	fuken,fk
复裈	fukun,fk
复礼	fuli,fl
复理石	fulishi,fls
复利	fuli,fl
复联	fulian,fl
复岭	fuling,fl
复陆	fulu,fl
复履	fulu,fl
复萌	fumeng,fm
复免	fumian,fm
复面	fumian,fm
复面拜门	fumianbaimen,fmbm
复庙	fumiao,fm
复名	fuming,fm
复名数	fumingshu,fms
复明	fuming,fm
复命	fuming,fm
复逆	funi,fn
复排	fupai,fp
复盘	fupan,fp
复陂	fubei,fb
复陂谣	fubeiyao,fby
复陂謡	fubeiyao,fby
复辟	fubi,fb
复平面	fupingmian,fpm
复评	fuping,fp
复魄	fupo,fp
复朴	fupiao,fp
复衾	fuqin,fq
复寝	fuqin,fq
复却	fuque,fq
复裙	fuqun,fq
复任	furen,fr
复襦	furu,fr
复塞	fusai,fs
复赛	fusai,fs
复三	fusan,fs
复色光	fuseguang,fsg
复衫	fushan,fs
复社	fushe,fs
复身	fushen,fs
复审	fushen,fs
复生	fusheng,fs
复圣	fusheng,fs
复时	fushi,fs
复始	fushi,fs
复驶	fushi,fs
复市	fushi,fs
复示	fushi,fs
复式	fushi,fs
复视	fushi,fs
复试	fushi,fs
复室	fushi,fs
复谥	fushi,fs
复书	fushu,fs
复述	fushu,fs
复数	fushu,fs
