夙爱	suai,sa
夙本	suben,sb
夙秉	subing,sb
夙禀	subing,sb
夙成	sucheng,sc
夙诚	sucheng,sc
夙仇	suchou,sc
夙雠	suchou,sc
夙达	suda,sd
夙德	sude,sd
夙敌	sudi,sd
夙凋	sudiao,sd
夙分	sufen,sf
夙负	sufu,sf
夙根	sugen,sg
夙构	sugou,sg
夙孤	sugu,sg
夙好	suhao,sh
夙怀	suhuai,sh
夙慧	suhui,sh
夙疾	suji,sj
夙见	sujian,sj
夙旧	sujiu,sj
夙就	sujiu,sj
夙龄	suling,sl
夙敏	sumin,sm
夙命	suming,sm
夙慕	sumu,sm
夙念	sunian,sn
夙孽	sunie,sn
夙诺	sunuo,sn
夙期	suqi,sq
夙契	suqi,sq
夙日	suri,sr
夙儒	suru,sr
夙沙	susha,ss
夙尚	sushang,ss
夙生	susheng,ss
夙世	sushi,ss
夙世冤家	sushiyuanjia,ssyj
夙世冤业	sushiyuanye,ssyy
夙素	su,s
夙望	suwang,sw
夙闻	suwen,sw
夙悟	suwu,sw
夙夕	suxi,sx
夙昔	suxi,sx
夙习	suxi,sx
夙嫌	suxian,sx
夙宵	suxiao,sx
夙心	suxin,sx
夙兴	suxing,sx
夙兴昧旦	suxingmeidan,sxmd
夙兴夜处	suxingyechu,sxyc
夙兴夜寐	suxingyemei,sxym
夙业	suye,sy
夙夜	suye,sy
夙夜不解	suyebujie,sybj
夙夜匪解	suyefeijie,syfj
夙夜匪懈	suyefeixie,syfx
夙夜在公	suyezaigong,syzg
夙谊	suyi,sy
夙意	suyi,sy
夙因	suyin,sy
夙缘	suyuan,sy
夙怨	suyuan,sy
夙愿	suyuan,sy
夙愿得偿	suyuandechang,sydc
夙愿以偿	suyuanyichang,syyc
夙陨	suyun,sy
夙殒	suyun,sy
夙贼	suzei,sz
夙知	suzhi,sz
夙志	suzhi,sz
夙智	suzhi,sz
