契爱	qiai,qa
契苾	qibi,qb
契苾儿	qibier,qbe
契苾羽	qibiyu,qby
契臂	qibi,qb
契船求剑	qichuanqiujian,qcqj
契丹	qidan,qd
契丹文	qidanwen,qdw
契刀	qidao,qd
契弟	qidi,qd
契分	qifen,qf
契父	qifu,qf
契骨	qigu,qg
契好	qihao,qh
契诃夫	qihefu,qhf
契合	qihe,qh
契合金兰	qihejinlan,qhjl
契厚	qihou,qh
契会	qihui,qh
契机	qiji,qj
契己	qiji,qj
契家	qijia,qj
契箭	qijian,qj
契交	qijiao,qj
契经	qijing,qj
契据	qiju,qj
契卡	qika,qk
契勘	qikan,qk
契阔	qikuo,qk
契领	qiling,ql
契令	qiling,ql
契妈	qima,qm
契密	qimi,qm
契面银	qimianyin,qmy
契末	qimo,qm
契母	qimu,qm
契慕	qimu,qm
契契	qi,q
契洽	qiqia,qq
契切	qiqie,qq
契券	qiquan,qq
契若金兰	qiruojinlan,qrjl
契沙比克湾	qishabikewan,qsbkw
契书	qishu,qs
契税	qishui,qs
契帖	qitie,qt
契讬	qituo,qt
契托	qituo,qt
契文	qiwen,qw
契悟	qiwu,qw
契心	qixin,qx
契需	qixu,qx
契繻	qixu,qx
契爷	qiye,qy
契义	qiyi,qy
契谊	qiyi,qy
契意	qiyi,qy
契友	qiyou,qy
契约	qiyue,qy
契约精神	qiyuejingshen,qyjs
契约桥牌	qiyueqiaopai,qyqp
契约上地	qiyueshangde,qysd
契丈	qizhang,qz
契纸	qizhi,qz
契重	qizhong,qz
契子	qizi,qz
