奢傲	sheao,sa
奢薄	shebao,sb
奢比	shebi,sb
奢侈	shechi,sc
奢侈地	shechide,scd
奢侈浪费	shechilangfei,sclf
奢侈品	shechipin,scp
奢宕	shedang,sd
奢荡	shedang,sd
奢放	shefang,sf
奢费	shefei,sf
奢广	sheguang,sg
奢豪	shehao,sh
奢华	shehua,sh
奢僭	shejian,sj
奢竞	shejing,sj
奢阔	shekuo,sk
奢丽	sheli,sl
奢龙	shelong,sl
奢糜	shemi,sm
奢靡	shemi,sm
奢摩他	shemota,smt
奢摩它	shemota,smt
奢虐	shenue,sn
奢盼	shepan,sp
奢绮	sheqi,sq
奢求	sheqiu,sq
奢尚	sheshang,ss
奢太	shetai,st
奢忲	shetai,st
奢汰	shetai,st
奢泰	shetai,st
奢谈	shetan,st
奢望	shewang,sw
奢香	shexiang,sx
奢想	shexiang,sx
奢佚	sheyi,sy
奢易	sheyi,sy
奢易俭难	sheyijiannan,syjn
奢逸	sheyi,sy
奢溢	sheyi,sy
奢淫	sheyin,sy
奢欲	sheyu,sy
奢豫	sheyu,sy
奢愿	sheyuan,sy
奢奓	shezha,sz
奢遮	shezhe,sz
奢恣	shezi,sz
奢纵	shezong,sz
