奸暴	jianbao,jb
奸本	jianben,jb
奸敝	jianbi,jb
奸弊	jianbi,jb
奸便	jianbian,jb
奸不厮瞒	jianbusiman,jbsm
奸不厮欺	jianbusiqi,jbsq
奸谗	jianchan,jc
奸谄	jianchan,jc
奸猖	jianchang,jc
奸臣	jianchen,jc
奸胆	jiandan,jd
奸党	jiandang,jd
奸盗	jiandao,jd
奸道	jiandao,jd
奸刁	jiandiao,jd
奸谍	jiandie,jd
奸毒	jiandu,jd
奸蠧	jiandu,jd
奸蠹	jiandu,jd
奸端	jianduan,jd
奸惰	jianduo,jd
奸讹	jiane,je
奸恶	jiane,je
奸法	jianfa,jf
奸犯	jianfan,jf
奸非	jianfei,jf
奸锋	jianfeng,jf
奸夫	jianfu,jf
奸夫淫妇	jianfuyin,jfy
奸伏	jianfu,jf
奸富	jianfu,jf
奸故	jiangu,jg
奸怪	jianguai,jg
奸官	jianguan,jg
奸官污吏	jianguanwuli,jgwl
奸宄	jiangui,jg
奸轨	jiangui,jg
奸诡	jiangui,jg
奸豪	jianhao,jh
奸滑	jianhua,jh
奸猾	jianhua,jh
奸回	jianhui,jh
奸秽	jianhui,jh
奸计	jianji,jj
奸奸	jian,j
奸渐	jian,j
奸狡	jianjiao,jj
奸矫	jianjiao,jj
奸桀	jianjie,jj
奸咎	jianjiu,jj
奸谲	jianjue,jj
奸刻	jianke,jk
奸狯	jiankuai,jk
奸兰	jianlan,jl
奸吏	jianli,jl
奸利	jianli,jl
奸掳烧杀	jianlushaosha,jlss
奸路	jianlu,jl
奸虑	jianlu,jl
奸乱	jianluan,jl
奸媚	jianmei,jm
奸门	jianmen,jm
奸萌	jianmeng,jm
奸民	jianmin,jm
奸命	jianming,jm
奸谋	jianmou,jm
奸逆	jianni,jn
奸匿	jianni,jn
奸孼	jiannie,jn
奸孽	jiannie,jn
奸佞	jianning,jn
奸朋	jianpeng,jp
奸骗	jianpian,jp
奸欺	jianqi,jq
奸旗鼓	jianqigu,jqg
奸钱	jianqian,jq
奸强	jianqiang,jq
奸巧	jianqiao,jq
奸禽	jianqin,jq
奸情	jianqing,jq
奸权	jianquan,jq
奸人	jianren,jr
奸壬	jianren,jr
奸色	jianse,js
奸杀	jiansha,js
奸商	jianshang,js
奸声	jiansheng,js
奸尸	jianshi,js
奸市	jianshi,js
奸事	jianshi,js
奸竖	jianshu,js
奸数	jianshu,js
奸说	jianshuo,js
奸私	jiansi,js
奸宿	jiansu,js
奸愬	jianshuo,js
奸态	jiantai,jt
奸贪	jiantan,jt
奸慝	jiante,jt
奸通	jiantong,jt
奸同鬼蜮	jiantongguiyu,jtgy
奸偷	jiantou,jt
奸徒	jiantu,jt
奸顽	jianwan,jw
奸枉	jianwang,jw
奸罔	jianwang,jw
奸妄	jianwang,jw
奸威	jianwei,jw
奸违	jianwei,jw
奸唯	jianwei,jw
奸伪	jianwei,jw
奸为	jianwei,jw
奸污	jianwu,jw
奸细	jianxi,jx
奸侠	jianxia,jx
奸黠	jianxia,jx
奸憸	jianxian,jx
奸险	jianxian,jx
奸相	jianxiang,jx
奸小	jianxiao,jx
奸笑	jianxiao,jx
奸邪	jianxie,jx
奸衺	jianxie,jx
奸心	jianxin,jx
奸衅	jianxin,jx
奸舋	jianxin,jx
奸行	jianxing,jx
奸幸	jianxing,jx
奸凶	jianxiong,jx
奸雄	jianxiong,jx
奸胥	jianxu,jx
奸牙	jianya,jy
奸言	jianyan,jy
奸盐	jianyan,jy
奸淫	jianyin,jy
奸淫掳掠	jianyinlulue,jyll
奸隐	jianyin,jy
奸由	jianyou,jy
奸谀	jianyu,jy
奸誉	jianyu,jy
奸赃	jianzang,jz
奸臧	jianzang,jz
奸贼	jianzei,jz
奸诈	jianzha,jz
奸诈地	jianzhade,jzd
奸占	jianzhan,jz
奸兆	jianzhao,jz
奸铸	jianzhu,jz
奸状	jianzhuang,jz
奸子	jianzi,jz
