姿表	zibiao,zb
姿禀	zibing,zb
姿才	zicai,zc
姿采	zicai,zc
姿彩	zicai,zc
姿操	zicao,zc
姿调	zidiao,zd
姿度	zidu,zd
姿格	zige,zg
姿婎	zihui,zh
姿慧	zihui,zh
姿貌	zimao,zm
姿美	zimei,zm
姿媚	zimei,zm
姿年	zinian,zn
姿器	ziqi,zq
姿情	ziqing,zq
姿容	zirong,zr
姿色	zise,zs
姿神	zishen,zs
姿式	zishi,zs
姿势	zishi,zs
姿首	zishou,zs
姿肆	zisi,zs
姿态	zitai,zt
姿态婀娜	zitaienuo,zten
姿态万方	zitaiwanfang,ztwf
姿体	ziti,zt
姿望	ziwang,zw
姿相	zixiang,zx
姿形	zixing,zx
姿性	zixing,zx
姿颜	ziyan,zy
姿仪	ziyi,zy
姿意	ziyi,zy
姿意妄为	ziyiwangwei,zyww
姿影	ziying,zy
姿宇	ziyu,zy
姿语	ziyu,zy
姿韵	ziyun,zy
姿制	zizhi,zz
姿质	zizhi,zz
姿致	zizhi,zz
姿状	zizhuang,zz
姿姿媚媚	zimei,zm
