字爱	ziai,za
字串	zichuan,zc
字词	zici,zc
字典	zidian,zd
字典纸	zidianzhi,zdz
字调	zidiao,zd
字段	ziduan,zd
字符	zifu,zf
字符串	zifuchuan,zfc
字符集	zifuji,zfj
字幅	zifu,zf
字格	zige,zg
字根	zigen,zg
字根表	zigenbiao,zgb
字根合体字	zigenheti,zght
字根通用码	zigentongyongma,zgtym
字孤	zigu,zg
字号	zihao,zh
字画	zihua,zh
字汇	zihui,zh
字集	ziji,zj
字迹	ziji,zj
字迹清楚地	zijiqingchude,zjqcd
字脚	zijiao,zj
字节	zijie,zj
字节数	zijieshu,zjs
字节跳动	zijietiaodong,zjtd
字经三写	zijingsanxie,zjsx
字句	ziju,zj
字据	ziju,zj
字库	ziku,zk
字块	zikuai,zk
字类	zilei,zl
字里行间	zilihangjian,zlhj
字例	zili,zl
字林	zilin,zl
字马	zima,zm
字码	zima,zm
字码儿	zimaer,zme
字氓	zimeng,zm
字萌	zimeng,zm
字谜	zimi,zm
字面	zimian,zm
字面地	zimiande,zmd
字民	zimin,zm
字模	zimu,zm
字墨	zimo,zm
字母	zimu,zm
字母表	zimubiao,zmb
字母词	zimuci,zmc
字母地	zimude,zmd
字母顺序	zimushunxu,zmsx
字幕	zimu,zm
字盘	zipan,zp
字牝	zipin,zp
字人	ziren,zr
字乳	ziru,zr
字史	zishi,zs
字势	zishi,zs
字首	zishou,zs
字书	zishu,zs
字数	zishu,zs
字顺文从	zishunwencong,zswc
字素	zisu,zs
字体	ziti,zt
字条	zitiao,zt
字帖	zitie,zt
字帖儿	zitieer,zte
字头	zitou,zt
字图	zitu,zt
字微	ziwei,zw
字尾	ziwei,zw
字舞	ziwu,zw
字挟风霜	zixiefengshuang,zxfs
字形	zixing,zx
字形地	zixingde,zxd
字型	zixing,zx
字学	zixue,zx
字眼	ziyan,zy
字眼儿	ziyaner,zye
字养	ziyang,zy
字样	ziyang,zy
字义	ziyi,zy
字音	ziyin,zy
字印	ziyin,zy
字育	ziyu,zy
字元	ziyuan,zy
字元集	ziyuanji,zyj
字源	ziyuan,zy
字约	ziyue,zy
字孕	ziyun,zy
字札	zizha,zz
字债	zizhai,zz
字斟句酌	zizhenjuzhuo,zzjz
字正腔圆	zizhengqiangyuan,zzqy
字纸	zizhi,zz
字纸篮	zizhilan,zzl
字纸篓	zizhilou,zzl
字纸篓子	zizhilou,zzl
字纸簏	zizhilu,zzl
字指	zizhi,zz
字字珠玑	zizhuji,zzj
字字珠玉	zizhuyu,zzy
字组	zizu,zz
