宁安	ningan,na
宁安市	ninganshi,nas
宁边	ningbian,nb
宁便	ningbian,nb
宁波	ningbo,nb
宁波地区	ningbodiqu,nbdq
宁波市	ningboshi,nbs
宁昌	ningchang,nc
宁城	ningcheng,nc
宁城县	ningchengxian,ncx
宁遫	ningchi,nc
宁绸	ningchou,nc
宁处	ningchu,nc
宁当	ningdang,nd
宁德	ningde,nd
宁德地区	ningdediqu,nddq
宁德市	ningdeshi,nds
宁底	ningdi,nd
宁柢	ningdi,nd
宁丁	ningding,nd
宁定	ningding,nd
宁都	ningdu,nd
宁都县	ningduxian,ndx
宁洱	ninger,ne
宁洱哈尼族彝族自治县	ningerhanizuyizizhixian,nehnzyzzx
宁洱县	ningerxian,nex
宁方	ningfang,nf
宁封	ningfeng,nf
宁封子	ningfengzi,nfz
宁附	ningfu,nf
宁冈	ninggang,ng
宁冈县	ninggangxian,ngx
宁告	ninggao,ng
宁哥	ningge,ng
宁歌	ningge,ng
宁固	ninggu,ng
宁晷	ninggui,ng
宁国	ningguo,ng
宁国市	ningguoshi,ngs
宁海	ninghai,nh
宁海县	ninghaixian,nhx
宁和	ninghe,nh
宁河	ninghe,nh
宁河县	ninghexian,nhx
宁侯	ninghou,nh
宁候	ninghou,nh
宁化	ninghua,nh
宁化县	ninghuaxian,nhx
宁吉	ningji,nj
宁极	ningji,nj
宁集	ningji,nj
宁辑	ningji,nj
宁济	ningji,nj
宁佳	ningjia,nj
宁家	ningjia,nj
宁嘉	ningjia,nj
宁俭	ningjian,nj
宁江	ningjiang,nj
宁江区	ningjiangqu,njq
宁津	ningjin,nj
宁津县	ningjinxian,njx
宁晋	ningjin,nj
宁晋县	ningjinxian,njx
宁觐	ningjin,nj
宁靖	ningjing,nj
宁静	ningjing,nj
宁静地	ningjingde,njd
宁静以致远	ningjingyizhiyuan,njyzy
宁静致远	ningjingzhiyuan,njzy
宁居	ningju,nj
宁康	ningkang,nk
宁考	ningkao,nk
宁可	ningke,nk
宁可清贫	ningkeqingpin,nkqp
宁可玉碎	ningkeyusui,nkys
宁肯	ningken,nk
宁蒗	ninglang,nl
宁蒗县	ninglangxian,nlx
宁蒗彝族自治县	ninglangyizuzizhixian,nlyzzzx
宁乐	ningle,nl
宁了	ningle,nl
宁僚	ningliao,nl
宁陵	ningling,nl
宁陵县	ninglingxian,nlx
宁乱	ningluan,nl
宁谧	ningmi,nm
宁民	ningmin,nm
宁明	ningming,nm
宁明县	ningmingxian,nmx
宁奈	ningnai,nn
宁耐	ningnai,nn
宁南	ningnan,nn
宁南县	ningnanxian,nnx
宁内	ningnei,nn
宁平	ningping,np
宁戚	ningqi,nq
宁戚歌	ningqige,nqg
宁强	ningqiang,nq
宁强县	ningqiangxian,nqx
宁亲	ningqin,nq
宁曲勿折	ningquwuzhe,nqwz
宁渠	ningqu,nq
宁缺毋滥	ningquewulan,nqwl
宁缺勿滥	ningquewulan,nqwl
宁人	ningren,nr
宁日	ningri,nr
宁陕	ningshan,ns
宁陕县	ningshanxian,nsx
宁神	ningshen,ns
宁生	ningsheng,ns
宁省	ningsheng,ns
宁顺	ningshun,ns
宁死不屈	ningsibuqu,nsbq
宁死不辱	ningsiburu,nsbr
宁俗	ningsu,ns
宁肃	ningsu,ns
宁岁	ningsui,ns
宁所	ningsuo,ns
宁泰	ningtai,nt
宁体	ningti,nt
宁帖	ningtie,nt
宁贴	ningtie,nt
宁王	ningwang,nw
宁为鸡口	ningweijikou,nwjk
宁为玉碎	ningweiyusui,nwys
宁位	ningwei,nw
宁武	ningwu,nw
宁武县	ningwuxian,nwx
宁武子	ningwuzi,nwz
宁息	ningxi,nx
宁夏	ningxia,nx
宁夏回族自治区	ningxiahuizuzizhiqu,nxhzzzq
宁夏省	ningxiasheng,nxs
宁县	ningxian,nx
宁乡	ningxiang,nx
宁乡县	ningxiangxian,nxx
宁心	ningxin,nx
宁馨	ningxin,nx
宁馨儿	ningxiner,nxe
宁许	ningxu,nx
宁晏	ningyan,ny
宁阳	ningyang,ny
宁阳县	ningyangxian,nyx
宁野	ningye,ny
宁业	ningye,ny
宁一	ningyi,ny
宁壹	ningyi,ny
宁乂	ningyi,ny
宁意	ningyi,ny
宁殷	ningyin,ny
宁盈	ningying,ny
宁宇	ningyu,ny
宁远	ningyuan,ny
宁远县	ningyuanxian,nyx
宁愿	ningyuan,ny
宁宅	ningzhai,nz
宁折不弯	ningzhebuwan,nzbw
宁止	ningzhi,nz
宁子	ningzi,nz
宁宗	ningzong,nz
宁左勿右	ningzuowuyou,nzwy
