审案	shenan,sa
审办	shenban,sb
审报	shenbao,sb
审备	shenbei,sb
审编	shenbian,sb
审辨	shenbian,sb
审别	shenbie,sb
审博	shenbo,sb
审参	shencan,sc
审册	shence,sc
审查	shencha,sc
审察	shencha,sc
审处	shenchu,sc
审单	shendan,sd
审当	shendang,sd
审的	shende,sd
审敌	shendi,sd
审谛	shendi,sd
审订	shending,sd
审定	shending,sd
审读	shendu,sd
审度	shenduo,sd
审度时势	shenduoshi,sds
审端	shenduan,sd
审断	shenduan,sd
审尔	shener,se
审发	shenfa,sf
审罚	shenfa,sf
审分	shenfen,sf
审覆	shenfu,sf
审改	shengai,sg
审干	shengan,sg
审稿	shengao,sg
审稿人	shengaoren,sgr
审顾	shengu,sg
审观	shenguan,sg
审官	shenguan,sg
审官院	shenguanyuan,sgy
审合	shenhe,sh
审核	shenhe,sh
审覈	shenhe,sh
审画	shenhua,sh
审稽	shenji,sj
审级	shenji,sj
审级制度	shenjizhidu,sjzd
审几度势	shenjidushi,sjds
审己	shenji,sj
审己度人	shenjiduoren,sjdr
审计	shenji,sj
审计师	shenjishi,sjs
审计署	shenjishu,sjs
审计员	shenjiyuan,sjy
审计长	shenjizhang,sjz
审见	shenjian,sj
审鉴	shenjian,sj
审交	shenjiao,sj
审结	shenjie,sj
审谨	shenjin,sj
审究	shenjiu,sj
审鞫	shenju,sj
审决	shenjue,sj
审勘	shenkan,sk
审看	shenkan,sk
审考	shenkao,sk
审克	shenke,sk
审览	shenlan,sl
审乐	shenle,sl
审礼	shenli,sl
审理	shenli,sl
审练	shenlian,sl
审量	shenliang,sl
审料	shenliao,sl
审録	shenlu,sl
审律	shenlu,sl
审虑	shenlu,sl
审美	shenmei,sm
审美地	shenmeide,smd
审美观	shenmeiguan,smg
审美活动	shenmeihuodong,smhd
审美快感	shenmeikuaigan,smkg
审美上地	shenmeishangde,smsd
审美眼光	shenmeiyanguang,smyg
审密	shenmi,sm
审名	shenming,sm
审谋	shenmou,sm
审拟	shenni,sn
审判	shenpan,sp
审判官	shenpanguan,spg
审判栏	shenpanlan,spl
审判权	shenpanquan,spq
审判上地	shenpanshangde,spsd
审判厅	shenpanting,spt
审判庭	shenpanting,spt
审判席	shenpanxi,spx
审判员	shenpanyuan,spy
审判长	shenpanzhang,spz
审判者	shenpanzhe,spz
审批	shenpi,sp
审评	shenping,sp
审期	shenqi,sq
审求	shenqiu,sq
审曲	shenqu,sq
审曲面势	shenqumianshi,sqms
审曲面埶	shenqumianshi,sqms
审权	shenquan,sq
审然	shenran,sr
审人	shenren,sr
审赏	shenshang,ss
审慎	shen,s
审慎地	shende,sd
审慎行事	shenxingshi,sxs
审声	shensheng,ss
审省	shensheng,ss
审时	shenshi,ss
审时度势	shenshiduo,ssd
审识	shenshi,ss
审实	shenshi,ss
审势	shenshi,ss
审视	shenshi,ss
审饰	shenshi,ss
审释	shenshi,ss
审諟	shenshi,ss
审守	shenshou,ss
审数	shenshu,ss
审说	shenshuo,ss
审思	shensi,ss
审题	shenti,st
审听	shenting,st
审图	shentu,st
审问	shenwen,sw
审物	shenwu,sw
审悉	shenxi,sx
审细	shenxi,sx
审详	shenxiang,sx
审校	shenjiao,sj
审信	shenxin,sx
审刑	shenxing,sx
审刑院	shenxingyuan,sxy
审行	shenxing,sx
审形	shenxing,sx
审讯	shenxun,sx
审验	shenyan,sy
审议	shenyi,sy
审音	shenyin,sy
审雨堂	shenyutang,syt
审语	shenyu,sy
审谕	shenyu,sy
审喻	shenyu,sy
审阅	shenyue,sy
审择	shenze,sz
审责	shenze,sz
审正	shenzheng,sz
审知	shenzhi,sz
审质	shenzhi,sz
审重	shenzhong,sz
审注	shenzhu,sz
审酌	shenzhuo,sz
