室奥	shiao,sa
室隩	shiyu,sy
室不崇坛	shibuchongtan,sbct
室颤	shichan,sc
室处	shichu,sc
室第	shidi,sd
室迩人遐	shierrenxia,serx
室迩人遥	shierrenyao,sery
室迩人远	shierrenyuan,sery
室奉	shifeng,sf
室妇	shifu,sf
室祭	shiji,sj
室家	shijia,sj
室居	shiju,sj
室客	shike,sk
室老	shilao,sl
室庐	shilu,sl
室闾	shilu,sl
室妹	shimei,sm
室内	shinei,sn
室内江流	shineijiangliu,snjl
室内乐	shineiyue,sny
室内设计	shineisheji,snsj
室内装潢	shineizhuanghuang,snzh
室怒市色	shinuse,sns
室女	shinu,sn
室女宫	shinugong,sng
室女座	shinuzuo,snz
室妾	shiqie,sq
室人	shiren,sr
室如县罄	shiruxianqing,srxq
室如悬磬	shiruxuanqing,srxq
室如悬罄	shiruxuanqing,srxq
室舍	shishe,ss
室氏	shi,s
室市	shi,s
室事	shi,s
室授	shishou,ss
室属	shishu,ss
室宿	shisu,ss
室孙	shisun,ss
室堂	shitang,st
室町	shiting,st
室町幕府	shitingmufu,stmf
室徒四壁	shitusibi,stsb
室外	shiwai,sw
室韦	shiwei,sw
室温	shiwen,sw
室庑	shiwu,sw
室匣	shixia,sx
室学	shixue,sx
室友	shiyou,sy
室隅	shiyu,sy
室宇	shiyu,sy
室宅	shizhai,sz
室制	shizhi,sz
室中	shizhong,sz
室子	shizi,sz
室族	shizu,sz
