察按	chaan,ca
察辨	chabian,cb
察辩	chabian,cb
察捕	chabu,cb
察布查尔	chabuer,cbe
察布查尔锡伯自治县	chabuerxibozizhixian,cbexbzzx
察布查尔县	chabuerxian,cbex
察察	cha,c
察察而明	chaerming,cem
察察为明	chaweiming,cwm
察辞	chaci,cc
察伺	chasi,cs
察典	chadian,cd
察度	chadu,cd
察断	chaduan,cd
察夺	chaduo,cd
察尔汗盐湖	chaerhanyanhu,cehyh
察访	chafang,cf
察风	chafeng,cf
察观	chaguan,cg
察官	chaguan,cg
察哈尔	chahaer,che
察哈尔右翼后旗	chahaeryouyihouqi,cheyyhq
察哈尔右翼前旗	chahaeryouyiqianqi,cheyyqq
察哈尔右翼中旗	chahaeryouyizhongqi,cheyyzq
察罕	chahan,ch
察合台	chagetai,cgt
察核	chahe,ch
察惠	chahui,ch
察慧	chahui,ch
察己知人	chajizhiren,cjzr
察见	chajian,cj
察见渊鱼	chajianyuanyu,cjyy
察见渊鱼者不祥	chajianyuanyuzhebuxiang,cjyyzbx
察今知古	chajinzhigu,cjzg
察警	chajing,cj
察究	chajiu,cj
察举	chaju,cj
察觉	chajue,cj
察勘	chakan,ck
察看	chakan,ck
察考	chakao,ck
察刻	chake,ck
察览	chalan,cl
察里津	chalijin,clj
察里津保卫战	chalijinbaoweizhan,cljbwz
察理	chali,cl
察吏	chali,cl
察廉	chalian,cl
察谅	chaliang,cl
察脉	chamai,cm
察眉	chamei,cm
察敏	chamin,cm
察纳	chana,cn
察判	chapan,cp
察色	chase,cs
察失	chashi,cs
察识	chashi,cs
察士	chashi,cs
察世俗每月统记传	chashisumeiyuetongjichuan,cssmytjc
察事	chashi,cs
察视	chashi,cs
察收	chashou,cs
察书	chashu,cs
察恕	chashu,cs
察探	chatan,ct
察听	chating,ct
察推	chatui,ct
察微	chawei,cw
察微知著	chaweizhizhu,cwzz
察问	chawen,cw
察悉	chaxi,cx
察相	chaxiang,cx
察晓	chaxiao,cx
察选	chaxuan,cx
察雅	chaya,cy
察雅县	chayaxian,cyx
察言	chayan,cy
察言观色	chayanguanse,cygs
察言观行	chayanguanxing,cygx
察颜观色	chayanguanse,cygs
察验	chayan,cy
察议	chayi,cy
察隅	chayu,cy
察隅县	chayuxian,cyx
察狱	chayu,cy
察渊鱼	chayuanyu,cyy
察院	chayuan,cy
察阅	chayue,cy
察允	chayun,cy
察战	chazhan,cz
察照	chazhao,cz
察知	chazhi,cz
察只	chazhi,cz
察子	chazi,cz
