尚白	shangbai,sb
尚比亚	shangbiya,sby
尚齿	shangchi,sc
尚辞	shangci,sc
尚存	shangcun,sc
尚待	shangdai,sd
尚尔	shanger,se
尚方	shangfang,sf
尚方宝剑	shangfangbaojian,sfbj
尚方剑	shangfangjian,sfj
尚方舃	shangfangtuo,sft
尚方斩马剑	shangfangzhanmajian,sfzmj
尚方仗	shangfangzhang,sfz
尚甫	shangfu,sf
尚父	shangfu,sf
尚古	shanggu,sg
尚古子	shangguzi,sgz
尚古自	shangguzi,sgz
尚故自	shangguzi,sgz
尚冠	shangguan,sg
尚好	shanghao,sh
尚可	shangke,sk
尚可地	shangkede,skd
尚口	shangkou,sk
尚论	shanglun,sl
尚慕杰	shangmujie,smj
尚年	shangnian,sn
尚平	shangping,sp
尚气	shangqi,sq
尚且	shangqie,sq
尚卿	shangqing,sq
尚然	shangran,sr
尚食	shangshi,ss
尚书	shangshu,ss
尚书经	shangshujing,ssj
尚书郎	shangshulang,ssl
尚书履	shangshulu,ssl
尚书省	shangshusheng,sss
尚同	shangtong,st
尚韦	shangwei,sw
尚未	shangwei,sw
尚未解决	shangweijiejue,swjj
尚文	shangwen,sw
尚无	shangwu,sw
尚武	shangwu,sw
尚兀	shangwu,sw
尚兀自	shangwuzi,swz
尚席	shangxi,sx
尚享	shangxiang,sx
尚飨	shangxiang,sx
尚小云	shangxiaoyun,sxy
尚行	shangxing,sx
尚虚中馈	shangxuzhongkui,sxzk
尚玄	shangxuan,sx
尚羊	shangyang,sy
尚阳	shangyang,sy
尚佯	shangyang,sy
尚仪	shangyi,sy
尚义	shangyi,sy
尚义县	shangyixian,syx
尚犹	shangyou,sy
尚猷	shangyou,sy
尚友	shangyou,sy
尚右	shangyou,sy
尚远	shangyuan,sy
尚章	shangzhang,sz
尚志	shangzhi,sz
尚志市	shangzhishi,szs
尚主	shangzhu,sz
尚子	shangzi,sz
尚字	shangzi,sz
尚自	shangzi,sz
尚左	shangzuo,sz
