层阿	cenga,ca
层饱	cengbao,cb
层报	cengbao,cb
层陛	cengbi,cb
层碧	cengbi,cb
层壁	cengbi,cb
层标	cengbiao,cb
层冰	cengbing,cb
层波	cengbo,cb
层层	ceng,c
层层传达	cengchuanda,ccd
层层迭迭	cengdie,cd
层层叠叠	cengdie,cd
层层加码	cengjiama,cjm
层巢	cengchao,cc
层城	cengcheng,cc
层出	cengchu,cc
层出不穷	cengchubuqiong,ccbq
层出迭见	cengchudiejian,ccdj
层出叠见	cengchudiejian,ccdj
层次	cengci,cc
层次分明	cengcifenming,ccfm
层沓	cengta,ct
层递	cengdi,cd
层颠	cengdian,cd
层巅	cengdian,cd
层殿	cengdian,cd
层迭	cengdie,cd
层叠	cengdie,cd
层栋	cengdong,cd
层峰	cengfeng,cf
层复	cengfu,cf
层覆	cengfu,cf
层阁	cengge,cg
层亘	cenggen,cg
层构	cenggou,cg
层观	cengguan,cg
层汉	cenghan,ch
层壑	cenghe,ch
层积云	cengjiyun,cjy
层级	cengji,cj
层见错出	cengjiancuochu,cjcc
层见迭出	cengxiandiechu,cxdc
层见叠出	cengjiandiechu,cjdc
层椒	cengjiao,cj
层禁	cengjin,cj
层峻	cengjun,cj
层空	cengkong,ck
层岚	cenglan,cl
层累	cenglei,cl
层离法地	cenglifade,clfd
层理	cengli,cl
层林	cenglin,cl
层流	cengliu,cl
层龙绝艺	cenglongjueyi,cljy
层楼	cenglou,cl
层峦	cengluan,cl
层峦迭嶂	cengluandiezhang,cldz
层峦叠嶂	cengluandiezhang,cldz
层罗	cengluo,cl
层甍	cengmeng,cm
层密	cengmi,cm
层面	cengmian,cm
层盘	cengpan,cp
层朋	cengpeng,cp
层穹	cengqiong,cq
层曲	cengqu,cq
层泉	cengquan,cq
层山	cengshan,cs
层深	cengshen,cs
层台	cengtai,ct
层台累榭	cengtaileixie,ctlx
层涛	cengtao,ct
层崄	cengxian,cx
层霄	cengxiao,cx
层秀	cengxiu,cx
层轩	cengxuan,cx
层压	cengya,cy
层压式推销	cengyashituixiao,cystx
层岩	cengyan,cy
层嵒	cengyan,cy
层巘	cengyan,cy
层掖	cengye,cy
层阴	cengyin,cy
层闉	cengyin,cy
层楹	cengying,cy
层隅	cengyu,cy
层云	cengyun,cy
层嶂	cengzhang,cz
层折	cengshe,cs
层峙	cengzhi,cz
层宙	cengzhou,cz
层状	cengzhuang,cz
层子	cengzi,cz
