工本	gongben,gb
工本费	gongbenfei,gbf
工笔	gongbi,gb
工笔画	gongbihua,gbh
工兵	gongbing,gb
工布	gongbu,gb
工布江达	gongbujiangda,gbjd
工布江达县	gongbujiangdaxian,gbjdx
工部	gongbu,gb
工部局	gongbuju,gbj
工厂	gongchang,gc
工场	gongchang,gc
工场手工业	gongchangshouye,gcsy
工潮	gongchao,gc
工程	gongcheng,gc
工程兵	gongchengbing,gcb
工程车	gongchengche,gcc
工程队	gongchengdui,gcd
工程热物理学	gongchengrewulixue,gcrwlx
工程师	gongchengshi,gcs
工程食品	gongchengshipin,gcsp
工程塑料	gongchengsuliao,gcsl
工程图	gongchengtu,gct
工程图学	gongchengtuxue,gctx
工程学	gongchengxue,gcx
工迟	gongchi,gc
工尺	gongche,gc
工尺谱	gongchepu,gcp
工倕	gongchui,gc
工党	gongdang,gd
工德	gongde,gd
工地	gongdi,gd
工地秀	gongdixiu,gdx
工丁	gongding,gd
工读	gongdu,gd
工读教育	gongdujiaoyu,gdjy
工读生	gongdusheng,gds
工读学校	gongduxuexiao,gdxx
工笃	gongdu,gd
工段	gongduan,gd
工段长	gongduanchang,gdc
工坊	gongfang,gf
工房	gongfang,gf
工分	gongfen,gf
工蜂	gongfeng,gf
工夫	gongfu,gf
工夫茶	gongfucha,gfc
工功	gong,g
工瞽	gonggu,gg
工关	gongguan,gg
工官	gongguan,gg
工会	gonghui,gh
工机	gongji,gj
工籍	gongji,gj
工伎	gongji,gj
工技	gongji,gj
工贾	gongjia,gj
工价	gongjia,gj
工架	gongjia,gj
工间	gongjian,gj
工间操	gongjiancao,gjc
工件	gongjian,gj
工匠	gongjiang,gj
工交	gongjiao,gj
工脚	gongjiao,gj
工缴费	gongjiaofei,gjf
工捷	gongjie,gj
工金	gongjin,gj
工具	gongju,gj
工具钢	gongjugang,gjg
工具机	gongjuji,gjj
工具栏	gongjulan,gjl
工具书	gongjushu,gjs
工具条	gongjutiao,gjt
工具箱	gongjuxiang,gjx
工绝	gongjue,gj
工爵	gongjue,gj
工竣	gongjun,gj
工楷	gongkai,gk
工科	gongke,gk
工课	gongke,gk
工口	eiluo,el
工矿	gongkuang,gk
工矿用地	gongkuangyongdi,gkyd
工力	gongli,gl
工力悉敌	gonglixidi,glxd
工丽	gongli,gl
工联主义	gonglianzhuyi,glzy
工粮	gongliang,gl
工寮	gongliao,gl
工料	gongliao,gl
工龄	gongling,gl
工娄	gonglou,gl
工偻	gonglu,gl
工贸	gongmao,gm
工民	gongmin,gm
工名	gongming,gm
工墨	gongmo,gm
工农	gongnong,gn
工农兵	gongnongbing,gnb
工农兵方向	gongnongbingfangxiang,gnbfx
工农兵学员	gongnongbingxueyuan,gnbxy
工农红军	gongnonghongjun,gnhj
工农联盟	gongnonglianmeng,gnlm
工农区	gongnongqu,gnq
工农速成中学	gongnongsuchengzhongxue,gnsczx
工农业	gongnongye,gny
工女	gongnu,gn
工牌	gongpai,gp
工棚	gongpeng,gp
工票	gongpiao,gp
工频	gongpin,gp
工期	gongqi,gq
工奇	gongqi,gq
工绮	gongqi,gq
工气	gongqi,gq
工钱	gongqian,gq
工巧	gongqiao,gq
工巧明	gongqiaoming,gqm
工切	gongqie,gq
工青妇	gongqingfu,gqf
工区	gongqu,gq
工雀	gongque,gq
工人	gongren,gr
工人党	gongrendang,grd
工人阶级	gongrenjieji,grjj
工人日报	gongrenribao,grrb
工人士	gongrenshi,grs
工人运动	gongrenyundong,gryd
工人周刊	gongrenzhoukan,grzk
工日	gongri,gr
工容	gongrong,gr
工缛	gongru,gr
工伤	gongshang,gs
工伤保险	gongshangbaoxian,gsbx
工伤假	gongshangjia,gsj
工商	gongshang,gs
工商管理硕士	gongshangguanlishuoshi,gsglss
工商界	gongshangjie,gsj
工商局	gongshangju,gsj
工商联	gongshanglian,gsl
工商税	gongshangshui,gss
工商业	gongshangye,gsy
工商业者	gongshangyezhe,gsyz
工商银行	gongshangyinhang,gsyh
工师	gongshi,gs
工时	gongshi,gs
工食	gongshi,gs
工市	gongshi,gs
工事	gongshi,gs
工输	gongshu,gs
工藤	gongteng,gt
工体	gongti,gt
工头	gongtou,gt
工徒	gongtu,gt
工团主义	gongtuanzhuyi,gtzy
工委	gongwei,gw
工稳	gongwen,gw
工饩	gongxi,gx
工细	gongxi,gx
工效	gongxiao,gx
工校	gongxiao,gx
工械	gongxie,gx
工薪	gongxin,gx
工薪阶层	gongxinjieceng,gxjc
工薪族	gongxinzu,gxz
工信部	gongxinbu,gxb
工行	gonghang,gh
工休	gongxiu,gx
工糈	gongxu,gx
工序	gongxu,gx
工学	gongxue,gx
工学院	gongxueyuan,gxy
工言	gongyan,gy
工要	gongyao,gy
工业	gongye,gy
工业病	gongyebing,gyb
工业布局	gongyebuju,gybj
工业产品	gongyechanpin,gycp
工业城市	gongyechengshi,gycs
工业大学	gongyedaxue,gydx
工业电视	gongyedianshi,gyds
工业革命	gongyegeming,gygm
工业规划	gongyeguihua,gygh
工业国	gongyeguo,gyg
工业化	gongyehua,gyh
工业化国家	gongyehuaguojia,gyhgj
工业基地	gongyejidi,gyjd
工业建筑	gongyejianzhu,gyjz
工业类型	gongyeleixing,gylx
工业美术	gongyemeishu,gyms
工业配置	gongyepeizhi,gypz
工业品	gongyepin,gyp
工业七国集团	gongyeqiguojituan,gyqgjt
工业气压	gongyeqiya,gyqy
工业区	gongyequ,gyq
工业区位论	gongyequweilun,gyqwl
工业设计	gongyesheji,gysj
工业社会	gongyeshehui,gysh
工业社会学	gongyeshehuixue,gyshx
工业生产体系	gongyeshengchantixi,gysctx
工业体系	gongyetixi,gytx
工业现代化	gongyexiandaihua,gyxdh
工业学校	gongyexuexiao,gyxx
工业用拖拉机	gongyeyongtuolaji,gyytlj
工业园区	gongyeyuanqu,gyyq
工蚁	gongyi,gy
工艺	gongyi,gy
工艺流程	gongyiliucheng,gylc
工艺美术	gongyimeishu,gyms
工艺品	gongyipin,gyp
工艺师	gongyishi,gys
工役	gongyi,gy
工银	gongyin,gy
工尹	gongyin,gy
工用	gongyong,gy
工友	gongyou,gy
工于	gongyu,gy
工于心计	gongyuxinji,gyxj
工余	gongyu,gy
工娱疗法	gongyuliaofa,gylf
工欲善其事	gongyushanqishi,gysqs
工员	gongyuan,gy
工运	gongyun,gy
工宰	gongzai,gz
工贼	gongzei,gz
工战	gongzhan,gz
工长	gongzhang,gz
工账	gongzhang,gz
工整	gongzheng,gz
工正	gongzheng,gz
工致	gongzhi,gz
工种	gongzhong,gz
工祝	gongzhu,gz
工装	gongzhuang,gz
工装裤	gongzhuangku,gzk
工拙	gongzhuo,gz
工资	gongzi,gz
工资标准	gongzibiaozhun,gzbz
工资分	gongzifen,gzf
工资率	gongzilu,gzl
工资总额	gongzizonge,gzze
工字钢	gongzigang,gzg
工字梁	gongziliang,gzl
工作	gongzuo,gz
工作报告	gongzuobaogao,gzbg
工作表	gongzuobiao,gzb
工作餐	gongzuocan,gzc
工作单位	gongzuodanwei,gzdw
工作地	gongzuode,gzd
工作队	gongzuodui,gzd
工作服	gongzuofu,gzf
工作管理员	gongzuoguanliyuan,gzgly
工作过度	gongzuoguodu,gzgd
工作记忆	gongzuojiyi,gzjy
工作狂	gongzuokuang,gzk
工作量	gongzuoliang,gzl
工作列	gongzuolie,gzl
工作流	gongzuoliu,gzl
工作流程	gongzuoliucheng,gzlc
工作面	gongzuomian,gzm
工作母机	gongzuomuji,gzmj
工作人员	gongzuorenyuan,gzry
工作日	gongzuori,gzr
工作时间	gongzuoshijian,gzsj
工作室	gongzuoshi,gzs
工作台	gongzuotai,gzt
工作委员会	gongzuoweiyuanhui,gzwyh
工作午餐	gongzuowucan,gzwc
工作站	gongzuozhan,gzz
工作者	gongzuozhe,gzz
工作证	gongzuozheng,gzz
工作组	gongzuozu,gzz
